,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,6.0,59,36,2,2,AT,11,1.0543465614318848,2000,1e-05,20,0.1,-0.7178513,0,-0.8316769,-0.053091586,-0.6150648,-0.5812734,-0.74124724,-2.0861626e-07,0.51246333,0.42725587,0.4577308,-0.8599421,-1.1892864
1,213.0,693,313,3,3,AT,11,1.0543465614318848,2000,1e-05,20,0.1,-0.7178513,0,-0.8316769,-0.053091586,-0.6150648,-0.5812734,-0.74124724,-2.0861626e-07,0.51246333,0.42725587,0.4577308,-0.8599421,-1.1892864
2,4.0,60,36,2,2,AT,11,2.1175808906555176,4000,1e-05,20,0.1,-1.6313095,1,-0.8723492,-0.12499875,-0.9194882,-0.57204,-0.6667499,-1.4901161e-07,0.44936782,0.087431416,0.46045393,-1.0738066,-1.3324223
3,227.0,772,361,3,3,AT,11,2.1175808906555176,4000,1e-05,20,0.1,-1.6313095,1,-0.8723492,-0.12499875,-0.9194882,-0.57204,-0.6667499,-1.4901161e-07,0.44936782,0.087431416,0.46045393,-1.0738066,-1.3324223
4,3.0,60,36,2,2,AT,11,3.1834521293640137,6000,1e-05,20,0.1,-3.0510876,2,-0.88550115,-0.24218279,-1.2488223,-0.57933116,-0.61876065,-1.6391277e-07,0.44088668,-0.22218326,0.5983918,-1.1733452,-1.4351704
5,168.0,774,361,3,3,AT,11,3.1834521293640137,6000,1e-05,20,0.1,-3.0510876,2,-0.88550115,-0.24218279,-1.2488223,-0.57933116,-0.61876065,-1.6391277e-07,0.44088668,-0.22218326,0.5983918,-1.1733452,-1.4351704
6,3.0,60,36,2,2,AT,11,4.2734644412994385,8000,1e-05,20,0.1,-5.0095615,3,-0.8517886,-0.38053453,-1.5488014,-0.6054046,-0.5813697,-1.8253922e-07,0.38582706,-0.5230834,0.7166452,-1.2547972,-1.5474421
7,244.0,774,361,3,3,AT,11,4.2734644412994385,8000,1e-05,20,0.1,-5.0095615,3,-0.8517886,-0.38053453,-1.5488014,-0.6054046,-0.5813697,-1.8253922e-07,0.38582706,-0.5230834,0.7166452,-1.2547972,-1.5474421
8,4.0,60,36,2,2,AT,11,5.338622570037842,10000,1e-05,20,0.1,-7.492861,4,-0.7778938,-0.5211955,-1.8464007,-0.634497,-0.55659115,-2.8312206e-07,0.29340488,-0.8277605,0.7507399,-1.3410656,-1.6568196
9,200.0,774,361,3,3,AT,11,5.338622570037842,10000,1e-05,20,0.1,-7.492861,4,-0.7778938,-0.5211955,-1.8464007,-0.634497,-0.55659115,-2.8312206e-07,0.29340488,-0.8277605,0.7507399,-1.3410656,-1.6568196
10,3.0,60,36,2,2,AT,11,6.404936075210571,12000,1e-05,20,0.1,-10.525631,5,-0.7141674,-0.65491086,-2.0735204,-0.64886236,-0.5295234,-4.172325e-07,0.16610558,-1.1165406,0.71619755,-1.4122053,-1.7563581
11,165.0,775,362,3,3,AT,11,6.404936075210571,12000,1e-05,20,0.1,-10.525631,5,-0.7141674,-0.65491086,-2.0735204,-0.64886236,-0.5295234,-4.172325e-07,0.16610558,-1.1165406,0.71619755,-1.4122053,-1.7563581
12,3.0,60,36,2,2,AT,11,7.470407485961914,14000,1e-05,20,0.1,-13.754027,6,-0.6826783,-0.78389233,-2.2808974,-0.6925453,-0.52370286,-4.172325e-07,-0.05085549,-1.3939252,0.6959616,-1.4807206,-1.8274348
13,203.0,775,362,3,3,AT,11,7.470407485961914,14000,1e-05,20,0.1,-13.754027,6,-0.6826783,-0.78389233,-2.2808974,-0.6925453,-0.52370286,-4.172325e-07,-0.05085549,-1.3939252,0.6959616,-1.4807206,-1.8274348
14,3.0,60,36,2,2,AT,11,8.562299013137817,16000,1e-05,20,0.1,-16.608511,7,-0.63917696,-0.9289398,-2.4243908,-0.7368953,-0.54726356,-7.1525574e-07,-0.32296473,-1.6548488,0.69689035,-1.6229857,-1.8961164
15,142.0,775,362,3,3,AT,11,8.562299013137817,16000,1e-05,20,0.1,-16.608511,7,-0.63917696,-0.9289398,-2.4243908,-0.7368953,-0.54726356,-7.1525574e-07,-0.32296473,-1.6548488,0.69689035,-1.6229857,-1.8961164
16,3.0,60,36,2,2,AT,11,9.636992454528809,18000,1e-05,20,0.1,-19.306738,8,-0.604593,-1.1051219,-2.5151272,-0.8134706,-0.58296573,-7.1525574e-07,-0.6368493,-1.9438016,0.6907346,-1.7877486,-1.9660667
17,152.0,777,364,3,3,AT,11,9.636992454528809,18000,1e-05,20,0.1,-19.306738,8,-0.604593,-1.1051219,-2.5151272,-0.8134706,-0.58296573,-7.1525574e-07,-0.6368493,-1.9438016,0.6907346,-1.7877486,-1.9660667
18,3.0,60,36,2,2,AT,11,10.705301284790039,20000,1e-05,20,0.1,-22.099442,9,-0.5712855,-1.2416348,-2.5630264,-0.80380285,-0.5799975,-8.34465e-07,-0.9236267,-2.1405756,0.6667802,-1.8994632,-2.055039
