,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,151.0,2.0,0.0,1.0,0.0,11.95,12.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,1
1,7.0,6.0,10.0,8.0,149.0,2.0,0.0,1.0,0.0,12.54,13.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,2
2,8.0,6.0,12.0,8.0,147.0,2.0,0.0,1.0,0.0,13.5,12.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,3
3,9.0,6.0,14.0,8.0,152.0,2.0,0.0,1.0,0.0,14.0,16.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,4
4,10.0,6.0,16.0,8.0,153.0,2.0,0.0,1.0,0.0,14.48,15.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,5
5,11.0,6.0,18.0,8.0,134.0,2.0,0.0,1.0,0.0,14.99,14.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,6
6,12.0,6.0,20.0,8.0,175.0,2.0,0.0,1.0,0.0,15.5,18.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,7
7,13.0,6.0,22.0,8.0,171.0,2.0,0.0,1.0,0.0,15.53,19.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,8
8,14.0,6.0,24.0,8.0,162.0,2.0,0.0,1.0,0.0,15.53,23.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,9
9,15.0,6.0,26.0,8.0,145.0,2.0,0.0,1.0,0.0,16.0,24.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,10
10,16.0,6.0,28.0,8.0,159.0,2.0,0.0,1.0,0.0,16.0,22.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,11
11,17.0,6.0,30.0,8.0,172.0,2.0,0.0,1.0,0.0,15.5,19.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,12
12,18.0,6.0,32.0,8.0,176.0,2.0,0.0,1.0,0.0,15.98,33.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,13
13,19.0,6.0,34.0,8.0,168.0,2.0,0.0,1.0,0.0,15.5,29.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,14
14,20.0,6.0,36.0,8.0,147.0,2.0,0.0,1.0,0.0,15.5,24.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,1,15
15,15.0,0.0,22.0,0.0,153.0,4.0,0.0,0.0,1.0,0.0,15.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,1
16,27.0,22.0,46.0,36.0,180.0,13.0,0.0,1.0,0.0,15.47,24.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,2
17,37.0,25.0,69.0,40.0,182.0,23.0,0.0,1.0,0.0,16.96,36.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,3
18,49.0,25.0,97.0,39.0,215.0,41.0,0.0,1.0,0.0,18.48,47.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,4
19,63.0,33.0,132.0,47.0,224.0,56.0,0.0,1.0,0.0,19.92,53.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,5
20,79.0,25.0,173.0,39.0,258.0,86.0,0.0,1.0,0.0,23.92,83.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,6
21,97.0,32.0,219.0,46.0,283.0,111.0,0.0,1.0,0.0,27.92,96.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,7
22,117.0,40.0,272.0,55.0,325.0,143.0,0.0,1.0,0.0,22.71,126.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,8
23,139.0,40.0,331.0,54.0,339.0,178.0,0.0,1.0,0.0,30.8,105.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,9
24,163.0,39.0,395.0,54.0,377.0,214.0,0.0,1.0,0.0,42.8,132.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,10
25,189.0,43.0,465.0,59.0,438.0,254.0,0.0,1.0,0.0,62.91,149.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,11
26,217.0,42.0,544.0,59.0,525.0,307.0,0.0,1.0,0.0,88.96,191.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,12
27,247.0,52.0,627.0,70.0,580.0,351.0,0.0,1.0,0.0,117.93,200.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,13
28,279.0,40.0,712.0,61.0,649.0,413.0,0.0,1.0,0.0,138.93,193.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,14
29,313.0,33.0,810.0,47.0,774.0,477.0,0.0,1.0,0.0,51.08,263.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,2,15
30,15.0,0.0,14.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,16.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,1
31,90.0,0.0,167.0,0.0,241.0,39.0,0.0,0.0,3.0,0.0,80.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,2
32,210.0,123.0,482.0,227.0,415.0,218.0,0.0,1.0,0.0,47.7,175.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,3
33,332.0,151.0,849.0,275.0,650.0,430.0,0.0,1.0,0.0,151.83,190.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,4
34,498.0,185.0,1414.0,343.0,1039.0,784.0,0.0,1.0,0.0,133.2,270.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,5
35,709.0,189.0,2153.0,344.0,1881.0,1252.0,0.0,1.0,0.0,52.3,343.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,6
36,978.0,269.0,3209.0,492.0,3708.0,1982.0,0.0,1.0,0.0,212.42,539.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,7
37,1305.0,247.0,4473.0,446.0,7284.0,2859.0,0.0,1.0,0.0,88.94,649.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,8
38,1698.0,174.0,6194.0,321.0,13208.0,4074.0,0.0,1.0,0.0,211.03,899.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,9
39,2163.0,257.0,8184.0,468.0,23220.0,5553.0,0.0,1.0,0.0,223.44,1395.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,10
40,2703.0,334.0,10482.0,576.0,43271.0,7298.0,0.0,1.0,0.0,216.82,1769.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,11
41,3333.0,316.0,13472.0,561.0,74424.0,9461.0,0.0,1.0,0.0,87.25,2298.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,12
42,4050.0,405.0,16548.0,718.0,121900.0,11617.0,0.0,1.0,0.0,54.24,2838.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,13
43,4863.0,310.0,20452.0,557.0,197207.0,14559.0,0.0,1.0,0.0,112.37,3672.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,14
44,5778.0,376.0,24855.0,673.0,313660.0,17876.0,0.0,1.0,0.0,259.15,4648.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,3,15
45,21.0,0.0,20.0,0.0,195.0,0.0,0.0,0.0,1.0,0.0,38.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,4,1
46,32.0,0.0,31.0,0.0,182.0,0.0,0.0,0.0,3.0,0.0,32.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,4,2
47,766.0,0.0,1810.0,0.0,826.0,114.0,0.0,0.0,30.0,0.0,328.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,4,3
48,1848.0,857.0,5128.0,1601.0,6180.0,1491.0,0.0,1.0,0.0,105.57,826.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,4,4
49,3215.0,911.0,9954.0,1680.0,26011.0,3505.0,0.0,1.0,0.0,227.26,1643.0,True,new,experiments/results/AT_2_2/3stepQ/1.onnx,AT,4,5
