,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,11.0,64,43,2,2,AT,11,10132.11537027359,15200000,48.60283800115638,0
1,907.0,877,500,3,3,AT,11,10132.11537027359,15200000,48.60283800115638,0
2,8.0,67,42,2,2,AT,11,4297.2788717746735,7000000,109.73512245277522,1
3,552.0,895,484,3,3,AT,11,4297.2788717746735,7000000,109.73512245277522,1
4,5.0,46,29,2,2,AT,11,1440.250681400299,2400000,54.86316033923799,2
5,100.0,419,244,3,3,AT,11,1440.250681400299,2400000,54.86316033923799,2
6,7.0,56,39,2,2,AT,11,3555.339169025421,5800000,120.62439335059169,3
7,236.0,548,347,3,3,AT,11,3555.339169025421,5800000,120.62439335059169,3
8,7.0,60,39,2,2,AT,11,13794.951276779175,19000000,31.204377633909743,4
9,575.0,627,359,3,3,AT,11,13794.951276779175,19000000,31.204377633909743,4
10,6.0,53,33,2,2,AT,11,5188.244953393936,8400000,85.12343380280271,5
11,128.0,446,255,3,3,AT,11,5188.244953393936,8400000,85.12343380280271,5
12,8.0,68,44,2,2,AT,11,12673.484464168549,17800000,33.58616600340727,6
13,736.0,987,540,3,3,AT,11,12673.484464168549,17800000,33.58616600340727,6
14,6.0,59,41,2,2,AT,11,3303.5739431381226,5400000,124.75924628858296,7
15,654.0,937,492,3,3,AT,11,3303.5739431381226,5400000,124.75924628858296,7
16,8.0,66,41,2,2,AT,11,10585.244193792343,15600000,43.637027675130575,8
17,511.0,931,472,3,3,AT,11,10585.244193792343,15600000,43.637027675130575,8
18,8.0,68,47,2,2,AT,11,5324.49972486496,8600000,71.19866554904095,9
19,424.0,591,343,3,3,AT,11,5324.49972486496,8600000,71.19866554904095,9
20,6.0,48,33,2,2,AT,11,4555.280604839325,7400000,105.4389882957269,10
21,104.0,414,251,3,3,AT,11,4555.280604839325,7400000,105.4389882957269,10
22,8.0,75,48,2,2,AT,11,4809.255921840668,7800000,81.46434559021966,11
23,546.0,837,529,3,3,AT,11,4809.255921840668,7800000,81.46434559021966,11
24,5.0,49,31,2,2,AT,11,1934.0886464118958,3200000,103.7352215337943,12
25,108.0,448,260,3,3,AT,11,1934.0886464118958,3200000,103.7352215337943,12
26,8.0,68,46,2,2,AT,11,11927.801765441895,17000000,39.57724990535339,13
27,463.0,691,438,3,3,AT,11,11927.801765441895,17000000,39.57724990535339,13
28,6.0,57,41,2,2,AT,11,1563.7496891021729,2600000,70.00370700197253,14
29,218.0,628,413,3,3,AT,11,1563.7496891021729,2600000,70.00370700197253,14
30,8.0,78,51,2,2,AT,11,12312.25004696846,17400000,34.26349140815765,15
31,486.0,910,552,3,3,AT,11,12312.25004696846,17400000,34.26349140815765,15
32,8.0,66,47,2,2,AT,11,6633.231379985809,10600000,73.46667119994055,16
33,614.0,752,479,3,3,AT,11,6633.231379985809,10600000,73.46667119994055,16
34,6.0,56,36,2,2,AT,11,9781.973855257034,14800000,49.89012393380531,17
35,387.0,734,451,3,3,AT,11,9781.973855257034,14800000,49.89012393380531,17
36,8.0,67,43,2,2,AT,11,2924.1777625083923,4800000,127.43454845664655,18
37,339.0,731,411,3,3,AT,11,2924.1777625083923,4800000,127.43454845664655,18
38,7.0,56,36,2,2,AT,11,6774.096967220306,10800000,72.50232603800764,19
39,399.0,819,423,3,3,AT,11,6774.096967220306,10800000,72.50232603800764,19
40,9.0,81,51,2,2,AT,11,7628.425397872925,12000000,65.01978672616497,20
41,220.0,935,512,3,3,AT,11,7628.425397872925,12000000,65.01978672616497,20
42,6.0,51,34,2,2,AT,11,2179.3668723106384,3600000,117.7458804064113,21
43,93.0,407,237,3,3,AT,11,2179.3668723106384,3600000,117.7458804064113,21
44,8.0,71,48,2,2,AT,11,1199.9046359062195,2000000,14.697273770452673,22
45,286.0,908,566,3,3,AT,11,1199.9046359062195,2000000,14.697273770452673,22
46,7.0,60,39,2,2,AT,11,9619.931838989258,14600000,51.8509451952097,23
47,425.0,716,409,3,3,AT,11,9619.931838989258,14600000,51.8509451952097,23
48,7.0,63,38,2,2,AT,11,9300.333764791489,14200000,53.85612402544059,24
49,329.0,953,509,3,3,AT,11,9300.333764791489,14200000,53.85612402544059,24
50,8.0,64,41,2,2,AT,11,963.8712167739868,1600000,-14.375437297629716,25
51,357.0,850,497,3,3,AT,11,963.8712167739868,1600000,-14.375437297629716,25
52,7.0,58,36,2,2,AT,11,1318.24253988266,2200000,29.777172397903605,26
53,170.0,597,391,3,3,AT,11,1318.24253988266,2200000,29.777172397903605,26
54,6.0,49,32,2,2,AT,11,2056.4000935554504,3400000,119.68329344251806,27
55,155.0,555,366,3,3,AT,11,2056.4000935554504,3400000,119.68329344251806,27
56,7.0,60,45,2,2,AT,11,3807.1249577999115,6200000,111.12984011516009,28
57,186.0,666,439,3,3,AT,11,3807.1249577999115,6200000,111.12984011516009,28
58,6.0,58,40,2,2,AT,11,3174.206705570221,5200000,120.52904083937452,29
59,147.0,569,358,3,3,AT,11,3174.206705570221,5200000,120.52904083937452,29
60,7.0,59,38,2,2,AT,11,13040.73820924759,18200000,31.393786691843143,30
61,413.0,661,365,3,3,AT,11,13040.73820924759,18200000,31.393786691843143,30
62,8.0,69,44,2,2,AT,11,7331.737339019775,11600000,63.548887068801704,31
63,214.0,950,506,3,3,AT,11,7331.737339019775,11600000,63.548887068801704,31
64,8.0,70,45,2,2,AT,11,6113.113363981247,9800000,71.00711282192741,32
65,303.0,840,449,3,3,AT,11,6113.113363981247,9800000,71.00711282192741,32
66,5.0,46,30,2,2,AT,11,9459.52183508873,14400000,56.18245842157418,33
67,222.0,626,371,3,3,AT,11,9459.52183508873,14400000,56.18245842157418,33
68,6.0,58,39,2,2,AT,11,8676.267399072647,13400000,61.227144793225555,34
69,217.0,725,466,3,3,AT,11,8676.267399072647,13400000,61.227144793225555,34
70,9.0,72,45,2,2,AT,11,13602.020072460175,18800000,29.569855562898887,35
71,460.0,870,516,3,3,AT,11,13602.020072460175,18800000,29.569855562898887,35
72,7.0,64,42,2,2,AT,11,5592.823682546616,9000000,73.43353379214572,36
73,142.0,517,289,3,3,AT,11,5592.823682546616,9000000,73.43353379214572,36
74,6.0,49,32,2,2,AT,11,8070.1510944366455,12600000,67.76159701829177,37
75,212.0,652,354,3,3,AT,11,8070.1510944366455,12600000,67.76159701829177,37
76,5.0,53,39,2,2,AT,11,8828.617330312729,13600000,56.547424362877656,38
77,264.0,830,518,3,3,AT,11,8828.617330312729,13600000,56.547424362877656,38
78,7.0,66,43,2,2,AT,11,6373.27493596077,10200000,72.15866369482893,39
79,273.0,783,457,3,3,AT,11,6373.27493596077,10200000,72.15866369482893,39
80,5.0,41,27,2,2,AT,11,374.6342577934265,600000,-21.02349587897366,40
81,85.0,345,229,3,3,AT,11,374.6342577934265,600000,-21.02349587897366,40
82,6.0,51,29,2,2,AT,11,7916.873415231705,12400000,62.5129637745694,41
83,370.0,696,380,3,3,AT,11,7916.873415231705,12400000,62.5129637745694,41
84,8.0,77,44,2,2,AT,11,4177.063303232193,6800000,112.18524080136278,42
85,121.0,466,277,3,3,AT,11,4177.063303232193,6800000,112.18524080136278,42
86,6.0,52,31,2,2,AT,11,1081.1708271503448,1800000,3.381586114975128,43
87,147.0,619,378,3,3,AT,11,1081.1708271503448,1800000,3.381586114975128,43
88,6.0,59,39,2,2,AT,11,14191.60150051117,19400000,31.331024992779135,44
89,197.0,740,407,3,3,AT,11,14191.60150051117,19400000,31.331024992779135,44
90,4.0,39,25,2,2,AT,11,13224.189391374588,18400000,33.880414408853895,45
91,232.0,652,367,3,3,AT,11,13224.189391374588,18400000,33.880414408853895,45
92,6.0,55,33,2,2,AT,11,4676.6485159397125,7600000,99.30513656415472,46
93,278.0,503,252,3,3,AT,11,4676.6485159397125,7600000,99.30513656415472,46
94,5.0,44,29,2,2,AT,11,4932.444073915482,8000000,93.77283690979519,47
95,143.0,490,291,3,3,AT,11,4932.444073915482,8000000,93.77283690979519,47
96,7.0,69,44,2,2,AT,11,13990.245309114456,19200000,31.826479106563042,48
97,224.0,764,433,3,3,AT,11,13990.245309114456,19200000,31.826479106563042,48
98,8.0,72,46,2,2,AT,11,8218.819801092148,12800000,57.8734834914966,49
99,304.0,937,503,3,3,AT,11,8218.819801092148,12800000,57.8734834914966,49
100,8.0,66,41,2,2,AT,11,10758.945783376694,15800000,38.79239866706225,50
101,239.0,842,435,3,3,AT,11,10758.945783376694,15800000,38.79239866706225,50
102,6.0,52,38,2,2,AT,11,5719.9310755729675,9200000,74.42317487046971,51
103,59.0,273,189,3,3,AT,11,5719.9310755729675,9200000,74.42317487046971,51
104,7.0,61,40,2,2,AT,11,10993.819849014282,16000000,32.16185120915989,52
105,361.0,915,517,3,3,AT,11,10993.819849014282,16000000,32.16185120915989,52
106,6.0,56,36,2,2,AT,11,6905.279732227325,11000000,74.50195407963291,53
107,140.0,507,264,3,3,AT,11,6905.279732227325,11000000,74.50195407963291,53
108,5.0,46,32,2,2,AT,11,5449.0564494133,8800000,76.96481876824183,54
109,314.0,501,311,3,3,AT,11,5449.0564494133,8800000,76.96481876824183,54
110,7.0,63,40,2,2,AT,11,2427.620888233185,4000000,115.67921892504404,55
111,141.0,584,364,3,3,AT,11,2427.620888233185,4000000,115.67921892504404,55
112,5.0,47,33,2,2,AT,11,7186.588034629822,11400000,74.29649485764116,56
113,588.0,662,435,3,3,AT,11,7186.588034629822,11400000,74.29649485764116,56
114,6.0,53,35,2,2,AT,11,3932.259621858597,6400000,111.44140012198217,57
115,132.0,477,278,3,3,AT,11,3932.259621858597,6400000,111.44140012198217,57
116,9.0,79,49,2,2,AT,11,124.89324140548706,200000,-31.37025853883129,58
117,399.0,993,550,3,3,AT,11,124.89324140548706,200000,-31.37025853883129,58
118,8.0,67,45,2,2,AT,11,845.9449920654297,1400000,-21.317118321194467,59
119,368.0,905,553,3,3,AT,11,845.9449920654297,1400000,-21.317118321194467,59
120,7.0,54,32,2,2,AT,11,7771.895224571228,12200000,63.73345849338297,60
121,193.0,690,367,3,3,AT,11,7771.895224571228,12200000,63.73345849338297,60
122,9.0,74,46,2,2,AT,11,610.8227934837341,1000000,-25.630658598293262,61
123,341.0,848,536,3,3,AT,11,610.8227934837341,1000000,-25.630658598293262,61
124,6.0,58,40,2,2,AT,11,3681.763013601303,6000000,118.09812048506984,62
125,129.0,490,305,3,3,AT,11,3681.763013601303,6000000,118.09812048506984,62
126,8.0,68,44,2,2,AT,11,11169.572666168213,16200000,39.01880765576233,63
127,168.0,520,319,3,3,AT,11,11169.572666168213,16200000,39.01880765576233,63
128,6.0,58,40,2,2,AT,11,249.99882864952087,400000,-25.682921171286363,64
129,130.0,579,352,3,3,AT,11,249.99882864952087,400000,-25.682921171286363,64
130,8.0,69,47,2,2,AT,11,6244.941919088364,10000000,72.0877805807401,65
131,411.0,876,515,3,3,AT,11,6244.941919088364,10000000,72.0877805807401,65
132,7.0,62,39,2,2,AT,11,12105.738883256912,17200000,32.10789715948141,66
133,155.0,578,349,3,3,AT,11,12105.738883256912,17200000,32.10789715948141,66
134,5.0,50,34,2,2,AT,11,2302.889479160309,3800000,114.24872332065382,67
135,109.0,459,276,3,3,AT,11,2302.889479160309,3800000,114.24872332065382,67
136,7.0,62,42,2,2,AT,11,5975.058891773224,9600000,70.87531902821333,68
137,122.0,490,312,3,3,AT,11,5975.058891773224,9600000,70.87531902821333,68
138,7.0,61,37,2,2,AT,11,1688.7323021888733,2800000,98.11881734911375,69
139,312.0,683,388,3,3,AT,11,1688.7323021888733,2800000,98.11881734911375,69
140,8.0,67,41,2,2,AT,11,11361.64193558693,16400000,40.54362085050544,70
141,93.0,402,285,3,3,AT,11,11361.64193558693,16400000,40.54362085050544,70
142,7.0,67,47,2,2,AT,11,9948.861820936203,15000000,45.85998313994625,71
143,319.0,852,543,3,3,AT,11,9948.861820936203,15000000,45.85998313994625,71
144,7.0,67,43,2,2,AT,11,9145.151745557785,14000000,56.24463360871408,72
145,204.0,689,351,3,3,AT,11,9145.151745557785,14000000,56.24463360871408,72
146,7.0,65,43,2,2,AT,11,6503.335283041,10400000,73.6776487339672,73
147,240.0,742,477,3,3,AT,11,6503.335283041,10400000,73.6776487339672,73
148,7.0,69,44,2,2,AT,11,2553.093246459961,4200000,116.35722530676881,74
149,208.0,636,392,3,3,AT,11,2553.093246459961,4200000,116.35722530676881,74
150,8.0,75,50,2,2,AT,11,4429.078193902969,7200000,104.80321857513054,75
151,363.0,962,560,3,3,AT,11,4429.078193902969,7200000,104.80321857513054,75
152,7.0,57,40,2,2,AT,11,10365.266391992569,15400000,45.32669491617648,76
153,546.0,939,533,3,3,AT,11,10365.266391992569,15400000,45.32669491617648,76
154,7.0,63,44,2,2,AT,11,7037.710032463074,11200000,71.72631192122962,77
155,185.0,664,439,3,3,AT,11,7037.710032463074,11200000,71.72631192122962,77
156,7.0,66,45,2,2,AT,11,11752.13387966156,16800000,38.3637331090988,78
157,215.0,700,438,3,3,AT,11,11752.13387966156,16800000,38.3637331090988,78
158,8.0,63,43,2,2,AT,11,5063.141794204712,8200000,100.63051887370838,79
159,167.0,593,357,3,3,AT,11,5063.141794204712,8200000,100.63051887370838,79
160,7.0,65,43,2,2,AT,11,11563.686704874039,16600000,36.92211563736569,80
161,260.0,796,491,3,3,AT,11,11563.686704874039,16600000,36.92211563736569,80
