,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,6.0,6.0,8.0,8.0,182.0,2.0,0.0,1.0,0.0,17.2,10.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,1,0
1,7.0,6.0,10.0,8.0,181.0,2.0,0.0,2.0,0.0,17.21,14.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,2,0
2,8.0,6.0,12.0,8.0,208.0,2.0,0.0,2.0,0.0,18.72,28.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,3,0
3,9.0,6.0,14.0,8.0,175.0,2.0,0.0,1.0,0.0,20.18,24.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,4,0
4,10.0,6.0,16.0,8.0,180.0,3.0,0.0,2.0,0.0,20.18,26.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,5,0
5,11.0,6.0,18.0,8.0,211.0,2.0,0.0,1.0,0.0,20.69,30.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,6,0
6,12.0,6.0,20.0,8.0,234.0,3.0,0.0,2.0,0.0,20.69,42.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,7,0
7,13.0,6.0,22.0,8.0,208.0,2.0,0.0,1.0,0.0,20.69,36.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,8,0
8,14.0,6.0,24.0,8.0,194.0,2.0,0.0,1.0,0.0,21.14,42.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,9,0
9,15.0,6.0,26.0,8.0,196.0,2.0,0.0,1.0,0.0,21.17,43.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,10,0
10,16.0,6.0,28.0,8.0,227.0,2.0,0.0,1.0,0.0,21.17,49.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,11,0
11,17.0,6.0,30.0,8.0,212.0,2.0,0.0,1.0,0.0,21.65,58.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,12,0
12,18.0,6.0,32.0,8.0,220.0,3.0,0.0,2.0,0.0,22.66,62.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,13,0
13,19.0,6.0,34.0,8.0,219.0,2.0,0.0,1.0,0.0,23.14,61.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,14,0
14,20.0,6.0,36.0,8.0,288.0,3.0,0.0,2.0,0.0,23.14,109.0,new,experiments/results/AT_2_2/5mill_JE20/0.onnx,AT,1,15,0
