,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,6.0,6.0,8.0,8.0,182.0,2.0,0.0,1.0,0.0,16.18,12.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,1,0
1,7.0,6.0,10.0,8.0,164.0,2.0,0.0,1.0,0.0,17.73,17.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,2,0
2,8.0,6.0,12.0,8.0,172.0,2.0,0.0,1.0,0.0,18.21,24.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,3,0
3,9.0,6.0,14.0,8.0,192.0,2.0,0.0,1.0,0.0,19.2,22.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,4,0
4,10.0,6.0,16.0,8.0,205.0,2.0,0.0,1.0,0.0,19.7,33.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,5,0
5,11.0,6.0,18.0,8.0,183.0,2.0,0.0,1.0,0.0,20.18,28.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,6,0
6,12.0,6.0,20.0,8.0,231.0,2.0,0.0,1.0,0.0,20.69,35.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,7,0
7,13.0,6.0,22.0,8.0,200.0,2.0,0.0,1.0,0.0,20.66,34.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,8,0
8,14.0,6.0,24.0,8.0,245.0,2.0,0.0,1.0,0.0,20.69,43.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,9,0
9,15.0,6.0,26.0,8.0,234.0,2.0,0.0,1.0,0.0,21.17,48.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,10,0
10,16.0,6.0,28.0,8.0,223.0,2.0,0.0,1.0,0.0,21.17,52.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,11,0
11,17.0,6.0,30.0,8.0,224.0,2.0,0.0,1.0,0.0,21.65,56.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,12,0
12,18.0,6.0,32.0,8.0,253.0,2.0,0.0,1.0,0.0,22.66,61.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,13,0
13,19.0,6.0,34.0,8.0,237.0,2.0,0.0,1.0,0.0,22.66,63.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,14,0
14,20.0,6.0,36.0,8.0,269.0,2.0,0.0,1.0,0.0,23.14,77.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,1,15,0
15,23.0,0.0,35.0,0.0,241.0,2.0,0.0,0.0,3.0,0.0,50.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,1,0
16,37.0,27.0,67.0,45.0,244.0,5.0,0.0,1.0,10.0,22.18,76.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,2,0
17,51.0,27.0,103.0,45.0,278.0,5.0,0.0,1.0,14.0,23.62,73.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,3,0
18,67.0,27.0,147.0,45.0,307.0,5.0,0.0,1.0,18.0,25.62,118.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,4,0
19,85.0,31.0,199.0,51.0,470.0,4.0,0.0,1.0,22.0,28.66,141.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,5,0
20,105.0,27.0,259.0,45.0,389.0,5.0,0.0,1.0,26.0,17.42,203.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,6,0
21,127.0,37.0,327.0,60.0,405.0,5.0,0.0,1.0,30.0,22.52,215.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,7,0
22,151.0,35.0,403.0,57.0,563.0,5.0,0.0,1.0,34.0,29.52,331.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,8,0
23,177.0,33.0,487.0,54.0,645.0,5.0,0.0,1.0,38.0,35.69,406.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,9,0
24,205.0,47.0,579.0,75.0,754.0,4.0,0.0,1.0,42.0,43.7,500.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,10,0
25,235.0,55.0,679.0,87.0,823.0,4.0,0.0,1.0,46.0,54.76,569.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,11,0
26,267.0,31.0,787.0,51.0,867.0,4.0,0.0,1.0,50.0,67.84,638.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,12,0
27,301.0,47.0,903.0,75.0,1056.0,4.0,0.0,1.0,54.0,82.95,799.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,13,0
28,337.0,27.0,1027.0,45.0,1067.0,5.0,0.0,1.0,58.0,100.04,797.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,14,0
29,375.0,43.0,1159.0,69.0,1279.0,4.0,0.0,1.0,62.0,120.16,1001.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,2,15,0
30,64.0,0.0,112.0,0.0,295.0,14.0,0.0,0.0,11.0,0.0,92.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,3,1,0
31,180.0,0.0,338.0,0.0,431.0,24.0,0.0,0.0,78.0,0.0,213.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,3,2,0
32,327.0,147.0,685.0,273.0,692.0,63.0,0.0,1.0,168.0,52.37,440.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,3,3,0
33,513.0,149.0,1195.0,276.0,1151.0,119.0,0.0,1.0,276.0,111.49,760.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,3,4,0
34,753.0,160.0,1915.0,301.0,1675.0,282.0,0.0,1.0,408.0,155.5,945.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,3,5,0
35,1053.0,148.0,2881.0,274.0,2557.0,517.0,0.0,1.0,564.0,136.68,1329.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,3,6,0
36,1419.0,211.0,4129.0,400.0,3837.0,712.0,0.0,1.0,744.0,82.95,1769.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,3,7,0
37,,,,,,,,,,,,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,3,8,0
38,104.0,0.0,172.0,0.0,425.0,0.0,0.0,0.0,7.0,0.0,212.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,4,1,0
39,644.0,0.0,1276.0,0.0,1335.0,192.0,0.0,0.0,319.0,0.0,752.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,4,2,0
40,1674.0,0.0,3434.0,0.0,3307.0,546.0,0.0,0.0,1045.0,0.0,1595.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,4,3,0
41,,,,,,,,,,,,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,4,4,0
42,132.0,0.0,197.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,235.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,5,1,0
43,1598.0,0.0,3379.0,0.0,3912.0,686.0,0.0,0.0,799.0,0.0,1770.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,5,2,0
44,,,,,,,,,,,,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,5,3,0
45,323.0,0.0,523.0,0.0,643.0,0.0,0.0,0.0,1.0,0.0,445.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,6,1,0
46,1992.0,0.0,4372.0,0.0,3688.0,0.0,0.0,0.0,527.0,0.0,3302.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,6,2,0
47,708.0,0.0,1142.0,0.0,1228.0,0.0,0.0,0.0,1.0,0.0,977.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,7,1,0
48,,,,,,,,,,,,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,7,2,0
49,910.0,0.0,1422.0,0.0,1572.0,0.0,0.0,0.0,1.0,0.0,1325.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,8,1,0
50,1972.0,0.0,3327.0,0.0,3588.0,0.0,0.0,0.0,1.0,0.0,3312.0,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,9,1,0
51,,,,,,,,,,,,new,experiments/results/AT_2_2/5mill_JE_D/0.onnx,AT,10,1,0
52,6.0,6.0,8.0,8.0,187.0,2.0,0.0,1.0,0.0,17.2,15.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,1,1
53,7.0,6.0,9.0,8.0,174.0,2.0,0.0,1.0,0.0,17.7,18.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,2,1
54,6.0,6.0,8.0,8.0,169.0,2.0,0.0,1.0,0.0,18.21,18.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,3,1
55,7.0,6.0,9.0,8.0,170.0,2.0,0.0,1.0,0.0,19.2,20.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,4,1
56,7.0,6.0,9.0,8.0,175.0,2.0,0.0,1.0,0.0,19.7,24.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,5,1
57,7.0,6.0,9.0,8.0,193.0,2.0,0.0,1.0,0.0,19.7,25.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,6,1
58,7.0,6.0,9.0,8.0,182.0,2.0,0.0,1.0,0.0,20.21,29.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,7,1
59,7.0,6.0,9.0,8.0,179.0,2.0,0.0,1.0,0.0,20.18,26.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,8,1
60,7.0,6.0,9.0,8.0,218.0,2.0,0.0,1.0,0.0,20.24,37.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,9,1
61,7.0,6.0,9.0,8.0,186.0,2.0,0.0,1.0,0.0,20.21,34.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,10,1
62,7.0,6.0,9.0,8.0,203.0,2.0,0.0,1.0,0.0,20.18,40.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,11,1
63,7.0,6.0,9.0,8.0,193.0,2.0,0.0,1.0,0.0,20.24,38.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,12,1
64,7.0,6.0,9.0,8.0,217.0,2.0,0.0,1.0,0.0,21.7,43.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,13,1
65,7.0,6.0,9.0,8.0,219.0,2.0,0.0,1.0,0.0,21.7,46.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,14,1
66,7.0,6.0,9.0,8.0,206.0,2.0,0.0,1.0,0.0,21.26,51.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,1,15,1
67,20.0,0.0,31.0,0.0,221.0,6.0,0.0,0.0,1.0,0.0,46.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,1,1
68,34.0,22.0,58.0,36.0,244.0,16.0,0.0,1.0,5.0,22.18,67.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,2,1
69,31.0,20.0,52.0,30.0,227.0,15.0,0.0,1.0,0.0,22.18,64.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,3,1
70,51.0,20.0,90.0,30.0,288.0,20.0,0.0,1.0,0.0,24.66,106.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,4,1
71,70.0,20.0,134.0,30.0,347.0,34.0,0.0,1.0,0.0,28.18,149.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,5,1
72,88.0,20.0,169.0,30.0,430.0,41.0,0.0,1.0,0.0,17.43,224.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,6,1
73,108.0,20.0,210.0,30.0,420.0,47.0,0.0,1.0,0.0,22.46,240.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,7,1
74,130.0,20.0,254.0,30.0,509.0,53.0,0.0,1.0,0.0,28.52,289.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,8,1
75,154.0,20.0,279.0,30.0,609.0,37.0,0.0,1.0,0.0,31.62,397.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,9,1
