,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,37,23,61,33,175,10,0,1,10,18.18,13.0,new,experiments/results/AT_2_2/5mill_RA/0.onnx,AT,2,2,2.2514467239379883,0,1e-05,20,0.1,15,True,10000,True,10000,True,False,0
1,37,31,65,53,166,22,0,1,10,18.66,18.0,new,experiments/results/AT_2_2/5mill_RA/1.onnx,AT,2,2,76.00274920463562,50000,1e-05,20,0.1,15,True,10000,True,10000,True,False,1
2,37,23,59,33,174,18,0,2,8,18.66,25.0,new,experiments/results/AT_2_2/5mill_RA/2.onnx,AT,2,2,149.3466136455536,100000,1e-05,20,0.1,15,True,10000,True,10000,True,False,2
3,37,20,59,30,159,7,0,1,6,18.18,20.0,new,experiments/results/AT_2_2/5mill_RA/3.onnx,AT,2,2,222.59408950805664,150000,1e-05,20,0.1,15,True,10000,True,10000,True,False,3
4,37,27,65,45,189,8,0,1,8,18.18,12.0,new,experiments/results/AT_2_2/5mill_RA/4.onnx,AT,2,2,296.6281168460846,200000,1e-05,20,0.1,15,True,10000,True,10000,True,False,4
5,35,23,58,33,185,6,0,1,8,18.18,19.0,new,experiments/results/AT_2_2/5mill_RA/5.onnx,AT,2,2,370.39467787742615,250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,5
6,37,25,65,39,162,19,0,1,9,18.66,16.0,new,experiments/results/AT_2_2/5mill_RA/6.onnx,AT,2,2,445.31077098846436,300000,1e-05,20,0.1,15,True,10000,True,10000,True,False,6
7,37,22,64,36,174,14,0,1,8,18.18,23.0,new,experiments/results/AT_2_2/5mill_RA/7.onnx,AT,2,2,521.1163272857666,350000,1e-05,20,0.1,15,True,10000,True,10000,True,False,7
8,28,20,43,30,159,7,0,1,3,17.62,16.0,new,experiments/results/AT_2_2/5mill_RA/8.onnx,AT,2,2,597.9289088249207,400000,1e-05,20,0.1,15,True,10000,True,10000,True,False,8
9,37,27,65,45,179,21,0,1,8,18.66,12.0,new,experiments/results/AT_2_2/5mill_RA/9.onnx,AT,2,2,672.3189389705658,450000,1e-05,20,0.1,15,True,10000,True,10000,True,False,9
10,33,23,51,33,157,6,0,1,6,17.62,11.0,new,experiments/results/AT_2_2/5mill_RA/10.onnx,AT,2,2,748.2683985233307,500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,10
11,25,23,40,33,176,12,0,1,0,17.62,12.0,new,experiments/results/AT_2_2/5mill_RA/11.onnx,AT,2,2,824.4919335842133,550000,1e-05,20,0.1,15,True,10000,True,10000,True,False,11
