,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,193.0,2.0,0.0,1.0,0.0,17.2,16.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,1
1,7.0,6.0,10.0,8.0,167.0,2.0,0.0,1.0,0.0,17.23,17.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,2
2,8.0,6.0,12.0,8.0,167.0,2.0,0.0,1.0,0.0,17.73,17.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,3
3,9.0,6.0,14.0,8.0,179.0,2.0,0.0,1.0,0.0,18.69,18.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,4
4,10.0,6.0,16.0,8.0,182.0,2.0,0.0,1.0,0.0,19.7,29.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,5
5,11.0,6.0,18.0,8.0,198.0,2.0,0.0,2.0,0.0,20.18,27.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,6
6,12.0,6.0,20.0,8.0,203.0,2.0,0.0,2.0,0.0,20.69,38.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,7
7,13.0,7.0,21.0,9.0,195.0,2.0,0.0,1.0,0.0,20.18,39.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,8
8,14.0,7.0,23.0,9.0,223.0,2.0,0.0,1.0,0.0,20.66,37.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,9
9,15.0,12.0,20.0,14.0,195.0,2.0,0.0,2.0,0.0,21.17,39.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,10
10,16.0,13.0,21.0,15.0,244.0,2.0,0.0,2.0,0.0,21.68,62.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,11
11,17.0,8.0,28.0,10.0,235.0,2.0,0.0,1.0,0.0,21.65,49.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,12
12,18.0,8.0,30.0,10.0,234.0,2.0,0.0,1.0,0.0,22.66,57.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,13
13,19.0,9.0,31.0,11.0,240.0,2.0,0.0,1.0,0.0,22.66,67.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,14
14,20.0,9.0,33.0,11.0,249.0,2.0,0.0,1.0,0.0,23.14,91.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,1,15
15,6.0,0.0,5.0,0.0,193.0,0.0,0.0,0.0,1.0,0.0,23.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,1
16,33.0,23.0,52.0,33.0,208.0,8.0,0.0,2.0,8.0,21.65,52.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,2
17,47.0,23.0,84.0,33.0,264.0,14.0,0.0,2.0,12.0,23.14,69.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,3
18,59.0,23.0,107.0,34.0,277.0,18.0,0.0,2.0,13.0,25.62,108.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,4
19,63.0,29.0,118.0,39.0,311.0,28.0,0.0,1.0,12.0,27.62,129.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,5
20,53.0,30.0,98.0,42.0,286.0,13.0,0.0,1.0,8.0,26.66,117.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,6
21,112.0,31.0,239.0,49.0,404.0,80.0,0.0,1.0,21.0,30.49,172.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,7
22,134.0,31.0,297.0,49.0,595.0,104.0,0.0,1.0,24.0,42.53,368.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,8
23,156.0,25.0,342.0,37.0,605.0,147.0,0.0,1.0,22.0,55.6,339.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,9
24,184.0,27.0,423.0,43.0,656.0,135.0,0.0,1.0,27.0,75.68,396.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,10
25,152.0,24.0,349.0,39.0,661.0,96.0,0.0,1.0,22.0,55.73,388.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,11
26,134.0,40.0,287.0,58.0,626.0,75.0,0.0,1.0,18.0,49.84,383.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,12
27,221.0,39.0,519.0,57.0,918.0,130.0,0.0,1.0,28.0,106.95,577.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,13
28,249.0,38.0,592.0,55.0,1126.0,222.0,0.0,1.0,27.0,138.04,737.0,new,experiments/results/AT_2_2/5mill_RR10k_D_N/62.onnx,AT,2,14
