,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,121.0,2.0,0.0,1.0,0.0,16.18,6.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,1
1,7.0,6.0,9.0,8.0,125.0,2.0,0.0,1.0,0.0,16.18,8.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,2
2,8.0,6.0,10.0,8.0,157.0,2.0,0.0,1.0,0.0,16.18,11.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,3
3,9.0,6.0,11.0,8.0,137.0,2.0,0.0,1.0,0.0,16.68,12.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,4
4,10.0,7.0,12.0,9.0,136.0,2.0,0.0,1.0,0.0,16.66,10.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,5
5,11.0,7.0,13.0,9.0,160.0,2.0,0.0,1.0,0.0,16.66,14.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,6
6,12.0,7.0,14.0,9.0,178.0,2.0,0.0,1.0,0.0,17.2,13.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,7
7,13.0,7.0,15.0,9.0,147.0,2.0,0.0,1.0,0.0,17.62,12.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,8
8,14.0,8.0,16.0,10.0,177.0,2.0,0.0,1.0,0.0,17.62,21.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,9
9,15.0,8.0,17.0,10.0,183.0,2.0,0.0,1.0,0.0,18.18,20.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,10
10,16.0,8.0,18.0,10.0,172.0,2.0,0.0,1.0,0.0,18.66,24.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,11
11,17.0,8.0,19.0,10.0,168.0,2.0,0.0,1.0,0.0,18.66,22.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,12
12,18.0,9.0,20.0,11.0,172.0,2.0,0.0,1.0,0.0,19.14,20.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,13
13,19.0,9.0,21.0,11.0,206.0,2.0,0.0,1.0,0.0,19.62,21.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,14
14,20.0,9.0,22.0,11.0,184.0,2.0,0.0,1.0,0.0,20.18,23.0,new,experiments/results/AT_2_2/5mill_SL20/1.onnx,AT,1,15
