,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,175.0,2.0,0.0,2.0,0.0,17.2,13.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,1
1,7.0,6.0,10.0,8.0,186.0,2.0,0.0,2.0,0.0,17.73,17.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,2
2,8.0,6.0,12.0,8.0,165.0,3.0,0.0,2.0,0.0,19.2,17.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,3
3,9.0,6.0,14.0,8.0,192.0,3.0,0.0,2.0,0.0,19.73,23.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,4
4,10.0,6.0,16.0,8.0,195.0,4.0,0.0,2.0,0.0,20.18,33.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,5
5,11.0,6.0,18.0,8.0,194.0,4.0,0.0,2.0,0.0,20.18,25.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,6
6,12.0,6.0,20.0,8.0,186.0,5.0,0.0,2.0,0.0,20.66,32.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,7
7,13.0,6.0,22.0,8.0,205.0,5.0,0.0,2.0,0.0,21.17,33.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,8
8,14.0,6.0,24.0,8.0,210.0,6.0,0.0,2.0,0.0,20.66,52.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,9
9,15.0,6.0,26.0,8.0,203.0,6.0,0.0,2.0,0.0,21.17,48.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,10
10,16.0,6.0,28.0,8.0,219.0,7.0,0.0,2.0,0.0,21.65,53.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,11
11,17.0,6.0,30.0,8.0,220.0,7.0,0.0,2.0,0.0,21.65,66.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,12
12,18.0,6.0,32.0,8.0,233.0,8.0,0.0,2.0,0.0,22.66,59.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,13
13,19.0,6.0,34.0,8.0,255.0,8.0,0.0,2.0,0.0,23.14,80.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,14
14,20.0,6.0,36.0,8.0,256.0,8.0,0.0,2.0,0.0,23.62,68.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,1,15
15,5.0,0.0,4.0,0.0,199.0,0.0,0.0,0.0,1.0,0.0,19.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,2,1
16,37.0,27.0,67.0,45.0,219.0,10.0,0.0,1.0,10.0,22.18,57.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,2,2
17,51.0,27.0,103.0,45.0,266.0,11.0,0.0,1.0,14.0,23.7,95.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,2,3
18,67.0,27.0,146.0,45.0,275.0,27.0,0.0,1.0,18.0,27.14,109.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,2,4
19,85.0,30.0,196.0,48.0,343.0,21.0,0.0,1.0,22.0,9.39,153.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,2,5
20,105.0,22.0,249.0,36.0,411.0,27.0,0.0,1.0,26.0,19.45,199.0,new,experiments/results/AT_2_2/5mill_SL20/0.onnx,AT,2,6
