,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,6.0,57,41,2,2,AT,11,3285.1922760009766,6000000,-40.425118648044425,0
1,167.0,700,418,3,3,AT,11,3285.1922760009766,6000000,-40.425118648044425,0
2,7.0,61,39,2,2,AT,11,3563.712300300598,6500000,-40.286899615101255,1
3,211.0,710,381,3,3,AT,11,3563.712300300598,6500000,-40.286899615101255,1
4,6.0,54,37,2,2,AT,11,2726.790727853775,5000000,-39.642744152428975,2
5,116.0,751,414,3,3,AT,11,2726.790727853775,5000000,-39.642744152428975,2
6,6.0,54,35,2,2,AT,11,2171.9990816116333,4000000,-40.001790500879025,3
7,159.0,663,431,3,3,AT,11,2171.9990816116333,4000000,-40.001790500879025,3
8,6.0,54,37,2,2,AT,11,3008.746113061905,5500000,-39.42661303010821,4
9,146.0,676,387,3,3,AT,11,3008.746113061905,5500000,-39.42661303010821,4
10,7.0,62,41,2,2,AT,11,806.9719879627228,1500000,-39.06859540526441,5
11,237.0,707,449,3,3,AT,11,806.9719879627228,1500000,-39.06859540526441,5
12,6.0,58,36,2,2,AT,11,2445.6253623962402,4500000,-37.01575351073665,6
13,122.0,642,350,3,3,AT,11,2445.6253623962402,4500000,-37.01575351073665,6
14,6.0,48,29,2,2,AT,11,274.97892665863037,500000,-41.63583076316222,7
15,243.0,769,449,3,3,AT,11,274.97892665863037,500000,-41.63583076316222,7
16,6.0,55,36,2,2,AT,11,1899.8873233795166,3500000,-43.5057976016289,8
17,200.0,671,375,3,3,AT,11,1899.8873233795166,3500000,-43.5057976016289,8
18,9.0,74,45,2,2,AT,11,1348.0913109779358,2500000,-41.813763736894714,9
19,177.0,716,436,3,3,AT,11,1348.0913109779358,2500000,-41.813763736894714,9
20,8.0,72,44,2,2,AT,11,540.2776849269867,1000000,-42.82467924746432,10
21,237.0,750,433,3,3,AT,11,540.2776849269867,1000000,-42.82467924746432,10
22,6.0,56,36,2,2,AT,11,1076.0897476673126,2000000,-41.96169287054925,11
23,216.0,736,464,3,3,AT,11,1076.0897476673126,2000000,-41.96169287054925,11
24,5.0,40,25,2,2,AT,11,1628.2735874652863,3000000,-43.664743145118116,12
25,65.0,293,169,3,3,AT,11,1628.2735874652863,3000000,-43.664743145118116,12
