,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,17.0,2.0,0.0,2.0,0.0,15.16,new,r,AT,1,1
1,6.0,6.0,8.0,8.0,18.0,2.0,0.0,2.0,0.0,15.21,new,r,AT,1,2
2,7.0,6.0,9.0,8.0,25.0,2.0,0.0,2.0,0.0,15.23,new,r,AT,1,3
3,6.0,6.0,8.0,8.0,21.0,2.0,0.0,2.0,0.0,15.63,new,r,AT,1,4
4,6.0,6.0,8.0,8.0,22.0,2.0,0.0,2.0,0.0,15.62,new,r,AT,1,5
5,6.0,6.0,8.0,8.0,24.0,2.0,0.0,2.0,0.0,15.64,new,r,AT,1,6
6,6.0,6.0,8.0,8.0,25.0,2.0,0.0,2.0,0.0,15.62,new,r,AT,1,7
7,6.0,6.0,8.0,8.0,25.0,2.0,0.0,2.0,0.0,16.18,new,r,AT,1,8
8,6.0,6.0,8.0,8.0,27.0,2.0,0.0,2.0,0.0,16.18,new,r,AT,1,9
9,6.0,6.0,8.0,8.0,29.0,2.0,0.0,2.0,0.0,16.18,new,r,AT,1,10
10,6.0,6.0,8.0,8.0,31.0,2.0,0.0,2.0,0.0,16.18,new,r,AT,1,11
11,6.0,6.0,8.0,8.0,34.0,2.0,0.0,2.0,0.0,16.66,new,r,AT,1,12
12,6.0,6.0,8.0,8.0,36.0,2.0,0.0,2.0,0.0,16.66,new,r,AT,1,13
13,6.0,6.0,8.0,8.0,38.0,2.0,0.0,2.0,0.0,17.15,new,r,AT,1,14
14,6.0,6.0,8.0,8.0,42.0,2.0,0.0,2.0,0.0,17.14,new,r,AT,1,15
15,5.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,2,1
16,33.0,25.0,54.0,38.0,42.0,11.0,0.0,1.0,4.0,17.14,new,r,AT,2,2
17,35.0,20.0,52.0,30.0,48.0,7.0,0.0,1.0,4.0,17.62,new,r,AT,2,3
18,60.0,22.0,94.0,35.0,74.0,13.0,0.0,1.0,7.0,20.18,new,r,AT,2,4
19,73.0,22.0,110.0,35.0,91.0,13.0,0.0,1.0,8.0,22.18,new,r,AT,2,5
20,85.0,22.0,126.0,35.0,111.0,13.0,0.0,1.0,8.0,24.18,new,r,AT,2,6
21,97.0,22.0,142.0,35.0,123.0,13.0,0.0,1.0,8.0,26.66,new,r,AT,2,7
22,109.0,22.0,158.0,35.0,150.0,13.0,0.0,1.0,8.0,29.62,new,r,AT,2,8
23,121.0,22.0,174.0,35.0,194.0,13.0,0.0,1.0,8.0,12.07,new,r,AT,2,9
24,133.0,22.0,190.0,35.0,216.0,13.0,0.0,1.0,8.0,16.15,new,r,AT,2,10
25,145.0,22.0,206.0,35.0,255.0,13.0,0.0,1.0,8.0,21.24,new,r,AT,2,11
26,157.0,22.0,222.0,35.0,292.0,13.0,0.0,1.0,8.0,26.3,new,r,AT,2,12
27,169.0,22.0,238.0,35.0,353.0,13.0,0.0,1.0,8.0,32.43,new,r,AT,2,13
28,181.0,22.0,254.0,35.0,506.0,13.0,0.0,1.0,8.0,39.54,new,r,AT,2,14
29,193.0,22.0,270.0,35.0,460.0,13.0,0.0,1.0,8.0,47.6,new,r,AT,2,15
30,5.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,3,1
31,146.0,0.0,219.0,0.0,110.0,7.0,0.0,0.0,32.0,0.0,new,r,AT,3,2
32,291.0,117.0,544.0,199.0,240.0,76.0,0.0,1.0,102.0,36.91,new,r,AT,3,3
33,454.0,136.0,814.0,240.0,350.0,55.0,0.0,1.0,128.0,54.97,new,r,AT,3,4
34,701.0,119.0,1363.0,221.0,609.0,72.0,0.0,1.0,250.0,117.06,new,r,AT,3,5
35,,,,,,,,,,,new,r,AT,3,6
36,,,,,,,,,,,new,r,AT,3,7
37,,,,,,,,,,,new,r,AT,3,8
38,,,,,,,,,,,new,r,AT,3,9
39,,,,,,,,,,,new,r,AT,3,10
40,,,,,,,,,,,new,r,AT,3,11
41,,,,,,,,,,,new,r,AT,3,12
42,,,,,,,,,,,new,r,AT,3,13
43,,,,,,,,,,,new,r,AT,3,14
44,,,,,,,,,,,new,r,AT,3,15
45,5.0,0.0,4.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,4,1
46,307.0,0.0,375.0,0.0,213.0,0.0,0.0,0.0,74.0,0.0,new,r,AT,4,2
47,,,,,,,,,,,new,r,AT,4,3
48,,,,,,,,,,,new,r,AT,4,4
49,,,,,,,,,,,new,r,AT,4,5
50,5.0,0.0,4.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,5,1
51,,,,,,,,,,,new,r,AT,5,2
52,5.0,0.0,4.0,0.0,164.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,6,1
53,,,,,,,,,,,new,r,AT,6,2
54,5.0,0.0,4.0,0.0,49.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,7,1
55,,,,,,,,,,,new,r,AT,7,2
56,5.0,0.0,4.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,8,1
57,,,,,,,,,,,new,r,AT,8,2
58,5.0,0.0,4.0,0.0,73.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,9,1
59,,,,,,,,,,,new,r,AT,9,2
60,5.0,0.0,4.0,0.0,89.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,10,1
61,,,,,,,,,,,new,r,AT,10,2
62,5.0,0.0,4.0,0.0,120.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,11,1
63,,,,,,,,,,,new,r,AT,11,2
64,5.0,0.0,4.0,0.0,122.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,12,1
65,,,,,,,,,,,new,r,AT,12,2
66,5.0,0.0,4.0,0.0,159.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,13,1
67,,,,,,,,,,,new,r,AT,13,2
68,5.0,0.0,4.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,14,1
69,,,,,,,,,,,new,r,AT,14,2
70,5.0,0.0,4.0,0.0,189.0,0.0,0.0,0.0,1.0,0.0,new,r,AT,15,1
71,,,,,,,,,,,new,r,AT,15,2
