,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
0,32,25,54,39,188,12,0,1,8,17.62,13.0,new,experiments/results/AT_2_2/TB_5mill/0.onnx,AT,2,2,2.1247804164886475,0,1e-05,20,0.1,15,True,10000,True,10000,True,0
1,33,31,56,53,186,20,0,2,3,18.18,18.0,new,experiments/results/AT_2_2/TB_5mill/1.onnx,AT,2,2,75.29273796081543,50000,1e-05,20,0.1,15,True,10000,True,10000,True,1
2,37,27,63,41,186,17,0,1,10,18.66,15.0,new,experiments/results/AT_2_2/TB_5mill/2.onnx,AT,2,2,147.9703667163849,100000,1e-05,20,0.1,15,True,10000,True,10000,True,2
3,37,22,63,36,187,10,0,3,8,18.18,19.0,new,experiments/results/AT_2_2/TB_5mill/3.onnx,AT,2,2,220.35484671592712,150000,1e-05,20,0.1,15,True,10000,True,10000,True,3
4,35,22,61,36,193,18,0,1,6,18.18,17.0,new,experiments/results/AT_2_2/TB_5mill/4.onnx,AT,2,2,293.3656876087189,200000,1e-05,20,0.1,15,True,10000,True,10000,True,4
5,37,25,62,39,175,8,0,1,8,18.18,13.0,new,experiments/results/AT_2_2/TB_5mill/5.onnx,AT,2,2,366.5201117992401,250000,1e-05,20,0.1,15,True,10000,True,10000,True,5
6,37,25,65,39,175,7,0,1,9,18.18,16.0,new,experiments/results/AT_2_2/TB_5mill/6.onnx,AT,2,2,439.91357350349426,300000,1e-05,20,0.1,15,True,10000,True,10000,True,6
7,35,22,60,36,199,17,0,1,5,18.18,19.0,new,experiments/results/AT_2_2/TB_5mill/7.onnx,AT,2,2,514.7935836315155,350000,1e-05,20,0.1,15,True,10000,True,10000,True,7
8,29,27,51,44,154,18,0,4,0,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/8.onnx,AT,2,2,587.9813883304596,400000,1e-05,20,0.1,15,True,10000,True,10000,True,8
9,26,23,42,33,155,10,0,4,0,17.62,10.0,new,experiments/results/AT_2_2/TB_5mill/9.onnx,AT,2,2,661.23686170578,450000,1e-05,20,0.1,15,True,10000,True,10000,True,9
10,33,25,54,39,161,6,0,1,4,18.18,16.0,new,experiments/results/AT_2_2/TB_5mill/10.onnx,AT,2,2,735.3122174739838,500000,1e-05,20,0.1,15,True,10000,True,10000,True,10
11,26,23,41,33,156,11,0,4,0,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/11.onnx,AT,2,2,809.3943462371826,550000,1e-05,20,0.1,15,True,10000,True,10000,True,11
12,32,22,51,36,161,15,0,1,5,17.7,16.0,new,experiments/results/AT_2_2/TB_5mill/12.onnx,AT,2,2,884.2605721950531,600000,1e-05,20,0.1,15,True,10000,True,10000,True,12
13,27,23,42,33,174,11,0,4,0,17.62,10.0,new,experiments/results/AT_2_2/TB_5mill/13.onnx,AT,2,2,961.6207978725433,650000,1e-05,20,0.1,15,True,10000,True,10000,True,13
14,28,22,46,36,153,11,0,5,0,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/14.onnx,AT,2,2,1035.8995625972748,700000,1e-05,20,0.1,15,True,10000,True,10000,True,14
15,30,20,47,30,153,11,0,1,4,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/15.onnx,AT,2,2,1109.7010939121246,750000,1e-05,20,0.1,15,True,10000,True,10000,True,15
16,31,22,53,35,178,17,0,1,2,18.18,12.0,new,experiments/results/AT_2_2/TB_5mill/16.onnx,AT,2,2,1183.022135257721,800000,1e-05,20,0.1,15,True,10000,True,10000,True,16
17,26,20,40,30,179,9,0,4,0,17.62,20.0,new,experiments/results/AT_2_2/TB_5mill/17.onnx,AT,2,2,1256.9780745506287,850000,1e-05,20,0.1,15,True,10000,True,10000,True,17
18,28,22,47,36,159,10,0,6,0,17.62,18.0,new,experiments/results/AT_2_2/TB_5mill/18.onnx,AT,2,2,1333.6044487953186,900000,1e-05,20,0.1,15,True,10000,True,10000,True,18
19,26,20,41,30,153,7,0,4,0,17.62,9.0,new,experiments/results/AT_2_2/TB_5mill/19.onnx,AT,2,2,1411.623779296875,950000,1e-05,20,0.1,15,True,10000,True,10000,True,19
20,26,20,40,30,160,7,0,4,0,17.62,14.0,new,experiments/results/AT_2_2/TB_5mill/20.onnx,AT,2,2,1488.9124534130096,1000000,1e-05,20,0.1,15,True,10000,True,10000,True,20
21,30,20,47,30,159,10,0,4,4,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/21.onnx,AT,2,2,1566.6289863586426,1050000,1e-05,20,0.1,15,True,10000,True,10000,True,21
22,31,22,53,35,178,17,0,1,2,18.18,17.0,new,experiments/results/AT_2_2/TB_5mill/22.onnx,AT,2,2,1648.2422277927399,1100000,1e-05,20,0.1,15,True,10000,True,10000,True,22
23,26,20,43,30,183,10,0,4,0,17.62,8.0,new,experiments/results/AT_2_2/TB_5mill/23.onnx,AT,2,2,1735.9979507923126,1150000,1e-05,20,0.1,15,True,10000,True,10000,True,23
24,26,20,41,30,168,12,0,1,1,17.62,10.0,new,experiments/results/AT_2_2/TB_5mill/24.onnx,AT,2,2,1829.6870143413544,1200000,1e-05,20,0.1,15,True,10000,True,10000,True,24
25,26,20,41,30,170,8,0,4,0,17.62,17.0,new,experiments/results/AT_2_2/TB_5mill/25.onnx,AT,2,2,1924.482428073883,1250000,1e-05,20,0.1,15,True,10000,True,10000,True,25
26,26,20,40,30,152,8,0,4,0,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/26.onnx,AT,2,2,2020.30051779747,1300000,1e-05,20,0.1,15,True,10000,True,10000,True,26
27,25,20,39,30,154,8,0,3,0,17.14,12.0,new,experiments/results/AT_2_2/TB_5mill/27.onnx,AT,2,2,2113.563556909561,1350000,1e-05,20,0.1,15,True,10000,True,10000,True,27
28,35,25,60,39,170,6,0,1,4,18.18,20.0,new,experiments/results/AT_2_2/TB_5mill/28.onnx,AT,2,2,2206.902291059494,1400000,1e-05,20,0.1,15,True,10000,True,10000,True,28
29,34,25,56,39,181,6,0,1,5,17.7,15.0,new,experiments/results/AT_2_2/TB_5mill/29.onnx,AT,2,2,2299.3462340831757,1450000,1e-05,20,0.1,15,True,10000,True,10000,True,29
30,37,25,65,39,189,14,0,1,9,18.18,14.0,new,experiments/results/AT_2_2/TB_5mill/30.onnx,AT,2,2,2391.014455318451,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,30
31,25,23,39,33,150,9,0,4,0,17.62,17.0,new,experiments/results/AT_2_2/TB_5mill/31.onnx,AT,2,2,2483.2437257766724,1550000,1e-05,20,0.1,15,True,10000,True,10000,True,31
32,25,23,39,33,185,9,0,3,0,17.14,13.0,new,experiments/results/AT_2_2/TB_5mill/32.onnx,AT,2,2,2574.4496641159058,1600000,1e-05,20,0.1,15,True,10000,True,10000,True,32
33,25,23,39,33,183,11,0,3,0,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/33.onnx,AT,2,2,2664.5560908317566,1650000,1e-05,20,0.1,15,True,10000,True,10000,True,33
34,33,22,55,36,180,14,0,1,3,18.18,18.0,new,experiments/results/AT_2_2/TB_5mill/34.onnx,AT,2,2,2754.933688879013,1700000,1e-05,20,0.1,15,True,10000,True,10000,True,34
35,31,22,54,36,175,15,0,4,0,18.18,11.0,new,experiments/results/AT_2_2/TB_5mill/35.onnx,AT,2,2,2842.745373725891,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,35
36,27,23,41,33,152,9,0,4,2,17.62,13.0,new,experiments/results/AT_2_2/TB_5mill/36.onnx,AT,2,2,2915.422217130661,1800000,1e-05,20,0.1,15,True,10000,True,10000,True,36
37,29,23,43,33,156,9,0,4,4,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/37.onnx,AT,2,2,2988.368908882141,1850000,1e-05,20,0.1,15,True,10000,True,10000,True,37
38,26,20,39,30,151,6,0,1,1,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/38.onnx,AT,2,2,3061.693356513977,1900000,1e-05,20,0.1,15,True,10000,True,10000,True,38
39,28,22,47,36,161,6,0,1,4,17.62,13.0,new,experiments/results/AT_2_2/TB_5mill/39.onnx,AT,2,2,3135.3096494674683,1950000,1e-05,20,0.1,15,True,10000,True,10000,True,39
40,25,23,39,33,150,9,0,4,0,17.62,10.0,new,experiments/results/AT_2_2/TB_5mill/40.onnx,AT,2,2,3209.0641462802887,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,40
41,25,20,40,30,156,6,0,2,0,17.14,10.0,new,experiments/results/AT_2_2/TB_5mill/41.onnx,AT,2,2,3282.7067971229553,2050000,1e-05,20,0.1,15,True,10000,True,10000,True,41
42,35,23,60,33,156,5,0,1,6,18.18,13.0,new,experiments/results/AT_2_2/TB_5mill/42.onnx,AT,2,2,3356.0912041664124,2100000,1e-05,20,0.1,15,True,10000,True,10000,True,42
43,37,23,62,33,166,4,0,1,8,18.18,15.0,new,experiments/results/AT_2_2/TB_5mill/43.onnx,AT,2,2,3429.033088207245,2150000,1e-05,20,0.1,15,True,10000,True,10000,True,43
44,25,23,39,33,174,9,0,4,0,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/44.onnx,AT,2,2,3502.290784597397,2200000,1e-05,20,0.1,15,True,10000,True,10000,True,44
45,37,23,62,33,168,5,0,1,9,18.18,26.0,new,experiments/results/AT_2_2/TB_5mill/45.onnx,AT,2,2,3575.50421333313,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,45
46,37,23,63,33,189,4,0,1,8,18.18,17.0,new,experiments/results/AT_2_2/TB_5mill/46.onnx,AT,2,2,3648.424294948578,2300000,1e-05,20,0.1,15,True,10000,True,10000,True,46
47,28,20,45,30,152,6,0,1,2,17.62,14.0,new,experiments/results/AT_2_2/TB_5mill/47.onnx,AT,2,2,3723.039766073227,2350000,1e-05,20,0.1,15,True,10000,True,10000,True,47
48,33,23,57,33,157,5,0,1,4,18.18,17.0,new,experiments/results/AT_2_2/TB_5mill/48.onnx,AT,2,2,3796.718139886856,2400000,1e-05,20,0.1,15,True,10000,True,10000,True,48
49,37,25,63,39,176,4,0,1,9,18.18,12.0,new,experiments/results/AT_2_2/TB_5mill/49.onnx,AT,2,2,3869.752764940262,2450000,1e-05,20,0.1,15,True,10000,True,10000,True,49
50,37,23,62,33,188,5,0,1,8,18.18,18.0,new,experiments/results/AT_2_2/TB_5mill/50.onnx,AT,2,2,3943.451085805893,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,50
51,23,20,34,30,166,7,0,2,1,17.14,10.0,new,experiments/results/AT_2_2/TB_5mill/51.onnx,AT,2,2,4016.3443183898926,2550000,1e-05,20,0.1,15,True,10000,True,10000,True,51
52,37,25,63,39,170,6,0,1,8,18.18,16.0,new,experiments/results/AT_2_2/TB_5mill/52.onnx,AT,2,2,4088.407826900482,2600000,1e-05,20,0.1,15,True,10000,True,10000,True,52
53,26,20,39,30,154,6,0,4,0,17.62,13.0,new,experiments/results/AT_2_2/TB_5mill/53.onnx,AT,2,2,4161.447039365768,2650000,1e-05,20,0.1,15,True,10000,True,10000,True,53
54,23,20,37,30,183,11,0,1,0,17.14,13.0,new,experiments/results/AT_2_2/TB_5mill/54.onnx,AT,2,2,4234.136990070343,2700000,1e-05,20,0.1,15,True,10000,True,10000,True,54
55,26,20,40,30,162,8,0,3,0,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/55.onnx,AT,2,2,4306.6980073452,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,55
56,26,23,41,33,190,10,0,3,0,17.62,17.0,new,experiments/results/AT_2_2/TB_5mill/56.onnx,AT,2,2,4379.030620336533,2800000,1e-05,20,0.1,15,True,10000,True,10000,True,56
