,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,8.0,2.0,0.0,2.0,0.0,14.66,0.0,Open+BFS,r,AT,1,1
1,7.0,6.0,10.0,8.0,8.0,2.0,0.0,2.0,0.0,14.66,0.0,Open+BFS,r,AT,1,2
2,8.0,6.0,12.0,8.0,9.0,2.0,0.0,2.0,0.0,14.66,0.0,Open+BFS,r,AT,1,3
3,9.0,6.0,14.0,8.0,9.0,2.0,0.0,2.0,0.0,14.66,0.0,Open+BFS,r,AT,1,4
4,10.0,6.0,16.0,8.0,9.0,2.0,0.0,2.0,0.0,14.66,0.0,Open+BFS,r,AT,1,5
5,11.0,6.0,18.0,8.0,10.0,2.0,0.0,2.0,0.0,14.66,0.0,Open+BFS,r,AT,1,6
6,12.0,6.0,20.0,8.0,10.0,2.0,0.0,2.0,0.0,15.14,0.0,Open+BFS,r,AT,1,7
7,13.0,6.0,22.0,8.0,11.0,2.0,0.0,2.0,0.0,15.15,0.0,Open+BFS,r,AT,1,8
8,14.0,6.0,24.0,8.0,10.0,2.0,0.0,2.0,0.0,15.14,1.0,Open+BFS,r,AT,1,9
9,15.0,6.0,26.0,8.0,15.0,2.0,0.0,2.0,0.0,15.15,0.0,Open+BFS,r,AT,1,10
10,16.0,6.0,28.0,8.0,12.0,2.0,0.0,2.0,0.0,15.14,0.0,Open+BFS,r,AT,1,11
11,17.0,6.0,30.0,8.0,12.0,2.0,0.0,2.0,0.0,15.14,0.0,Open+BFS,r,AT,1,12
12,18.0,6.0,32.0,8.0,12.0,2.0,0.0,2.0,0.0,15.14,0.0,Open+BFS,r,AT,1,13
13,19.0,6.0,34.0,8.0,13.0,2.0,0.0,2.0,0.0,15.14,0.0,Open+BFS,r,AT,1,14
14,20.0,6.0,36.0,8.0,13.0,2.0,0.0,2.0,0.0,15.14,0.0,Open+BFS,r,AT,1,15
15,24.0,0.0,33.0,0.0,16.0,9.0,0.0,0.0,1.0,0.0,0.0,Open+BFS,r,AT,2,1
16,40.0,22.0,66.0,36.0,25.0,13.0,0.0,1.0,5.0,15.62,1.0,Open+BFS,r,AT,2,2
17,56.0,25.0,103.0,38.0,27.0,10.0,0.0,1.0,12.0,16.18,1.0,Open+BFS,r,AT,2,3
18,69.0,20.0,135.0,30.0,37.0,21.0,0.0,1.0,9.0,17.62,2.0,Open+BFS,r,AT,2,4
19,37.0,15.0,65.0,23.0,18.0,12.0,0.0,4.0,0.0,16.18,1.0,Open+BFS,r,AT,2,5
20,46.0,16.0,84.0,24.0,21.0,19.0,0.0,4.0,0.0,16.66,0.0,Open+BFS,r,AT,2,6
21,44.0,16.0,74.0,24.0,19.0,9.0,0.0,4.0,0.0,16.18,1.0,Open+BFS,r,AT,2,7
22,161.0,25.0,403.0,38.0,55.0,18.0,0.0,1.0,32.0,23.62,0.0,Open+BFS,r,AT,2,8
23,186.0,23.0,485.0,33.0,65.0,28.0,0.0,1.0,30.0,28.66,0.0,Open+BFS,r,AT,2,9
24,212.0,24.0,500.0,37.0,77.0,36.0,0.0,1.0,26.0,13.81,2.0,Open+BFS,r,AT,2,10
25,244.0,23.0,598.0,37.0,83.0,40.0,0.0,1.0,27.0,19.85,1.0,Open+BFS,r,AT,2,11
26,77.0,24.0,141.0,32.0,31.0,27.0,0.0,4.0,0.0,19.62,1.0,Open+BFS,r,AT,2,12
27,315.0,25.0,900.0,38.0,167.0,129.0,0.0,1.0,47.0,59.16,1.0,Open+BFS,r,AT,2,13
28,349.0,23.0,1019.0,33.0,119.0,31.0,0.0,1.0,51.0,29.54,4.0,Open+BFS,r,AT,2,14
29,83.0,16.0,135.0,24.0,26.0,7.0,0.0,4.0,0.0,18.18,0.0,Open+BFS,r,AT,2,15
30,6.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,Open+BFS,r,AT,3,1
31,141.0,0.0,186.0,0.0,27.0,0.0,0.0,0.0,28.0,0.0,1.0,Open+BFS,r,AT,3,2
32,349.0,103.0,703.0,185.0,160.0,145.0,0.0,1.0,84.0,57.64,0.0,Open+BFS,r,AT,3,3
33,559.0,123.0,1167.0,221.0,294.0,190.0,0.0,1.0,140.0,135.8,0.0,Open+BFS,r,AT,3,4
34,906.0,129.0,2125.0,223.0,601.0,183.0,0.0,1.0,343.0,125.51,4.0,Open+BFS,r,AT,3,5
35,1226.0,127.0,3125.0,211.0,568.0,112.0,0.0,1.0,472.0,116.94,5.0,Open+BFS,r,AT,3,6
36,1476.0,185.0,3747.0,320.0,1315.0,464.0,0.0,1.0,269.0,97.65,2.0,Open+BFS,r,AT,3,7
37,1954.0,163.0,5208.0,286.0,2022.0,522.0,0.0,1.0,391.0,97.33,10.0,Open+BFS,r,AT,3,8
38,2761.0,151.0,8309.0,266.0,3820.0,540.0,0.0,1.0,999.0,119.17,10.0,Open+BFS,r,AT,3,9
39,3414.0,211.0,10716.0,365.0,1922.0,113.0,0.0,1.0,1422.0,191.78,7.0,Open+BFS,r,AT,3,10
40,3828.0,131.0,11479.0,232.0,7195.0,982.0,0.0,1.0,595.0,104.17,11.0,Open+BFS,r,AT,3,11
41,4660.0,192.0,14400.0,329.0,10922.0,1089.0,0.0,1.0,723.0,349.53,10.0,Open+BFS,r,AT,3,12
42,6026.0,188.0,20878.0,294.0,23173.0,1281.0,0.0,1.0,2031.0,364.18,20.0,Open+BFS,r,AT,3,13
43,7088.0,165.0,24942.0,254.0,12164.0,431.0,0.0,1.0,2488.0,397.33,18.0,Open+BFS,r,AT,3,14
44,7619.0,261.0,24503.0,455.0,26955.0,1364.0,0.0,1.0,810.0,407.54,30.0,Open+BFS,r,AT,3,15
45,17.0,0.0,16.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,Open+BFS,r,AT,4,1
46,663.0,0.0,1195.0,0.0,319.0,205.0,0.0,0.0,135.0,0.0,1.0,Open+BFS,r,AT,4,2
