,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,22.0,2.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,AT,1,1
1,7.0,6.0,10.0,8.0,24.0,2.0,0.0,1.0,0.0,14.67,2.0,True,new,mock,AT,1,2
2,8.0,6.0,12.0,8.0,22.0,2.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,AT,1,3
3,9.0,6.0,11.0,8.0,23.0,2.0,0.0,1.0,0.0,14.66,3.0,True,new,mock,AT,1,4
4,10.0,6.0,16.0,8.0,24.0,2.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,AT,1,5
5,11.0,6.0,18.0,8.0,24.0,2.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,AT,1,6
6,12.0,6.0,18.0,8.0,24.0,2.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,AT,1,7
7,13.0,6.0,18.0,8.0,24.0,2.0,0.0,1.0,0.0,14.66,3.0,True,new,mock,AT,1,8
8,14.0,6.0,23.0,8.0,25.0,2.0,0.0,1.0,0.0,15.14,2.0,True,new,mock,AT,1,9
9,14.0,6.0,22.0,8.0,25.0,2.0,0.0,1.0,0.0,15.14,2.0,True,new,mock,AT,1,10
10,16.0,6.0,24.0,8.0,25.0,2.0,0.0,1.0,0.0,15.14,4.0,True,new,mock,AT,1,11
11,17.0,6.0,29.0,8.0,26.0,2.0,0.0,1.0,0.0,15.14,4.0,True,new,mock,AT,1,12
12,18.0,6.0,32.0,8.0,27.0,2.0,0.0,1.0,0.0,15.14,4.0,True,new,mock,AT,1,13
13,19.0,6.0,28.0,8.0,34.0,2.0,0.0,1.0,0.0,15.15,5.0,True,new,mock,AT,1,14
14,19.0,6.0,30.0,8.0,27.0,2.0,0.0,1.0,0.0,15.15,4.0,True,new,mock,AT,1,15
15,8.0,0.0,7.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,True,new,mock,AT,2,1
16,30.0,27.0,55.0,45.0,37.0,12.0,0.0,1.0,0.0,15.14,3.0,True,new,mock,AT,2,2
17,40.0,23.0,70.0,37.0,30.0,5.0,0.0,1.0,0.0,15.62,7.0,True,new,mock,AT,2,3
18,55.0,29.0,107.0,45.0,38.0,27.0,0.0,1.0,0.0,16.66,4.0,True,new,mock,AT,2,4
19,72.0,25.0,166.0,39.0,41.0,14.0,0.0,1.0,0.0,17.14,5.0,True,new,mock,AT,2,5
20,90.0,25.0,196.0,35.0,46.0,13.0,0.0,1.0,0.0,17.7,9.0,True,new,mock,AT,2,6
21,111.0,25.0,255.0,39.0,72.0,27.0,0.0,8.0,0.0,20.66,14.0,True,new,mock,AT,2,7
22,132.0,37.0,332.0,60.0,59.0,19.0,0.0,1.0,0.0,21.62,11.0,True,new,mock,AT,2,8
23,155.0,33.0,394.0,52.0,92.0,54.0,0.0,1.0,0.0,8.87,13.0,True,new,mock,AT,2,9
24,179.0,23.0,481.0,33.0,81.0,27.0,0.0,1.0,0.0,26.66,19.0,True,new,mock,AT,2,10
25,209.0,27.0,578.0,42.0,110.0,69.0,0.0,1.0,0.0,16.04,21.0,True,new,mock,AT,2,11
26,179.0,26.0,280.0,37.0,62.0,10.0,0.0,1.0,0.0,20.66,24.0,True,new,mock,AT,2,12
27,245.0,34.0,507.0,44.0,80.0,20.0,0.0,1.0,0.0,26.18,27.0,True,new,mock,AT,2,13
28,305.0,29.0,852.0,48.0,158.0,70.0,0.0,1.0,0.0,41.42,27.0,True,new,mock,AT,2,14
29,332.0,25.0,741.0,35.0,122.0,53.0,0.0,1.0,0.0,24.47,31.0,True,new,mock,AT,2,15
30,26.0,0.0,27.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,2.0,True,new,mock,AT,3,1
31,102.0,0.0,160.0,0.0,42.0,14.0,0.0,0.0,4.0,0.0,8.0,True,new,mock,AT,3,2
32,214.0,132.0,469.0,227.0,109.0,105.0,0.0,1.0,0.0,20.79,18.0,True,new,mock,AT,3,3
33,335.0,130.0,807.0,216.0,233.0,244.0,0.0,1.0,0.0,98.04,19.0,True,new,mock,AT,3,4
34,511.0,123.0,1432.0,207.0,312.0,254.0,0.0,1.0,0.0,147.48,45.0,True,new,mock,AT,3,5
35,727.0,155.0,2244.0,284.0,762.0,461.0,0.0,1.0,0.0,64.33,58.0,True,new,mock,AT,3,6
36,993.0,156.0,3179.0,266.0,1414.0,823.0,0.0,1.0,0.0,31.7,92.0,True,new,mock,AT,3,7
37,1327.0,212.0,4644.0,388.0,673.0,65.0,0.0,1.0,0.0,29.45,119.0,True,new,mock,AT,3,8
38,1698.0,155.0,5432.0,253.0,4508.0,1600.0,0.0,1.0,0.0,89.78,142.0,True,new,mock,AT,3,9
39,2165.0,189.0,7365.0,305.0,3695.0,1101.0,0.0,1.0,0.0,87.62,213.0,True,new,mock,AT,3,10
40,2718.0,190.0,10020.0,315.0,24064.0,3227.0,0.0,1.0,0.0,212.77,326.0,True,new,mock,AT,3,11
41,3356.0,247.0,12869.0,417.0,36471.0,3464.0,0.0,1.0,0.0,287.02,500.0,True,new,mock,AT,3,12
42,4076.0,230.0,15853.0,375.0,45179.0,3562.0,0.0,1.0,0.0,176.77,734.0,True,new,mock,AT,3,13
43,4901.0,333.0,20779.0,541.0,137644.0,6770.0,0.0,1.0,0.0,264.28,1156.0,True,new,mock,AT,3,14
44,5812.0,345.0,24778.0,577.0,250972.0,9250.0,0.0,1.0,0.0,64.06,1714.0,True,new,mock,AT,3,15
45,8.0,0.0,7.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,3.0,True,new,mock,AT,4,1
46,107.0,0.0,111.0,0.0,45.0,0.0,0.0,0.0,5.0,0.0,15.0,True,new,mock,AT,4,2
47,831.0,0.0,1696.0,0.0,362.0,232.0,0.0,0.0,23.0,0.0,54.0,True,new,mock,AT,4,3
48,1843.0,682.0,4988.0,1292.0,3086.0,1399.0,0.0,1.0,0.0,92.64,118.0,True,new,mock,AT,4,4
49,3112.0,785.0,8535.0,1368.0,12117.0,2820.0,0.0,1.0,0.0,120.33,314.0,True,new,mock,AT,4,5
50,5253.0,1182.0,17734.0,2205.0,59800.0,5670.0,0.0,1.0,0.0,391.45,950.0,True,new,mock,AT,4,6
51,8092.0,1069.0,27973.0,1943.0,133042.0,7475.0,0.0,1.0,0.0,120.45,2896.0,True,new,mock,AT,4,7
52,,,,,,,,,,,,False,new,mock,AT,4,8
53,12.0,0.0,11.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,4.0,True,new,mock,AT,5,1
54,222.0,0.0,262.0,0.0,72.0,0.0,0.0,0.0,9.0,0.0,33.0,True,new,mock,AT,5,2
55,1931.0,0.0,2868.0,0.0,292.0,0.0,0.0,0.0,34.0,0.0,163.0,True,new,mock,AT,5,3
56,8427.0,0.0,21679.0,0.0,59304.0,5056.0,0.0,0.0,304.0,0.0,1988.0,True,new,mock,AT,5,4
57,,,,,,,,,,,,False,new,mock,AT,5,5
58,34.0,0.0,35.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,mock,AT,6,1
59,583.0,0.0,685.0,0.0,108.0,0.0,0.0,0.0,10.0,0.0,57.0,True,new,mock,AT,6,2
60,3652.0,0.0,4883.0,0.0,825.0,8.0,0.0,0.0,91.0,0.0,639.0,True,new,mock,AT,6,3
61,27668.0,0.0,57012.0,0.0,304819.0,9238.0,0.0,0.0,1006.0,0.0,34246.0,True,new,mock,AT,6,4
62,53.0,0.0,52.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,16.0,True,new,mock,AT,7,1
63,734.0,0.0,801.0,0.0,142.0,0.0,0.0,0.0,32.0,0.0,77.0,True,new,mock,AT,7,2
64,8643.0,0.0,11020.0,0.0,4867.0,0.0,0.0,0.0,143.0,0.0,4426.0,True,new,mock,AT,7,3
65,,,,,,,,,,,,False,new,mock,AT,7,4
66,73.0,0.0,75.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,17.0,True,new,mock,AT,8,1
67,340.0,0.0,351.0,0.0,93.0,0.0,0.0,0.0,2.0,0.0,42.0,True,new,mock,AT,8,2
68,24262.0,0.0,33112.0,0.0,57466.0,296.0,0.0,0.0,569.0,0.0,51855.0,True,new,mock,AT,8,3
69,38.0,0.0,37.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,mock,AT,9,1
70,218.0,0.0,220.0,0.0,78.0,0.0,0.0,0.0,2.0,0.0,44.0,True,new,mock,AT,9,2
71,36453.0,0.0,44707.0,0.0,161460.0,0.0,0.0,0.0,792.0,0.0,158838.0,True,new,mock,AT,9,3
72,35.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,mock,AT,10,1
73,1983.0,0.0,2093.0,0.0,527.0,0.0,0.0,0.0,28.0,0.0,400.0,True,new,mock,AT,10,2
