,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,45,25,75,39,136,10,0,1,7,17.14,19.0,new,experiments/results/AT_2_2/base_features_2h/0.onnx,AT,2,2,54.0592257976532,50000,1e-05,20,0.1,12,False,0
1,44,23,69,33,162,8,0,1,4,16.66,17.0,new,experiments/results/AT_2_2/base_features_2h/1.onnx,AT,2,2,106.82486343383789,100000,1e-05,20,0.1,12,False,1
2,32,23,53,33,140,5,0,1,4,16.18,18.0,new,experiments/results/AT_2_2/base_features_2h/2.onnx,AT,2,2,159.5395531654358,150000,1e-05,20,0.1,12,False,2
3,31,25,50,39,158,15,0,2,0,16.18,14.0,new,experiments/results/AT_2_2/base_features_2h/3.onnx,AT,2,2,212.40912342071533,200000,1e-05,20,0.1,12,False,3
4,31,25,51,39,135,16,0,4,0,16.18,16.0,new,experiments/results/AT_2_2/base_features_2h/4.onnx,AT,2,2,265.29320335388184,250000,1e-05,20,0.1,12,False,4
5,36,25,57,39,127,15,0,4,5,16.66,14.0,new,experiments/results/AT_2_2/base_features_2h/5.onnx,AT,2,2,318.51991415023804,300000,1e-05,20,0.1,12,False,5
6,36,25,57,39,159,14,0,4,6,16.66,13.0,new,experiments/results/AT_2_2/base_features_2h/6.onnx,AT,2,2,372.5687446594238,350000,1e-05,20,0.1,12,False,6
7,38,27,62,45,129,16,0,1,4,16.66,18.0,new,experiments/results/AT_2_2/base_features_2h/7.onnx,AT,2,2,427.8775315284729,400000,1e-05,20,0.1,12,False,7
8,37,23,55,33,125,11,0,4,8,16.18,13.0,new,experiments/results/AT_2_2/base_features_2h/8.onnx,AT,2,2,481.0818302631378,450000,1e-05,20,0.1,12,False,8
9,39,25,59,39,148,14,0,4,5,16.66,15.0,new,experiments/results/AT_2_2/base_features_2h/9.onnx,AT,2,2,533.3862054347992,500000,1e-05,20,0.1,12,False,9
10,30,23,45,33,142,12,0,1,2,16.18,13.0,new,experiments/results/AT_2_2/base_features_2h/10.onnx,AT,2,2,586.1314628124237,550000,1e-05,20,0.1,12,False,10
11,39,25,60,39,146,15,0,4,7,16.67,14.0,new,experiments/results/AT_2_2/base_features_2h/11.onnx,AT,2,2,639.1780891418457,600000,1e-05,20,0.1,12,False,11
12,39,25,61,39,124,15,0,4,8,16.66,9.0,new,experiments/results/AT_2_2/base_features_2h/12.onnx,AT,2,2,692.6341240406036,650000,1e-05,20,0.1,12,False,12
13,23,23,35,33,140,6,0,1,0,15.67,10.0,new,experiments/results/AT_2_2/base_features_2h/13.onnx,AT,2,2,746.7522809505463,700000,1e-05,20,0.1,12,False,13
14,37,20,55,30,149,10,0,1,3,16.18,18.0,new,experiments/results/AT_2_2/base_features_2h/14.onnx,AT,2,2,800.021568775177,750000,1e-05,20,0.1,12,False,14
15,20,20,31,30,119,7,0,4,0,15.67,6.0,new,experiments/results/AT_2_2/base_features_2h/15.onnx,AT,2,2,853.7720663547516,800000,1e-05,20,0.1,12,False,15
16,26,20,42,30,131,11,0,1,0,16.18,11.0,new,experiments/results/AT_2_2/base_features_2h/16.onnx,AT,2,2,907.7104866504669,850000,1e-05,20,0.1,12,False,16
17,44,27,75,45,147,4,0,1,10,16.66,20.0,new,experiments/results/AT_2_2/base_features_2h/17.onnx,AT,2,2,962.0889639854431,900000,1e-05,20,0.1,12,False,17
18,37,23,54,33,130,11,0,1,6,16.18,16.0,new,experiments/results/AT_2_2/base_features_2h/18.onnx,AT,2,2,1014.9623467922211,950000,1e-05,20,0.1,12,False,18
19,44,23,63,33,161,11,0,1,11,16.18,15.0,new,experiments/results/AT_2_2/base_features_2h/19.onnx,AT,2,2,1068.0562298297882,1000000,1e-05,20,0.1,12,False,19
20,27,23,42,33,152,11,0,4,1,16.18,17.0,new,experiments/results/AT_2_2/base_features_2h/20.onnx,AT,2,2,1121.4233176708221,1050000,1e-05,20,0.1,12,False,20
21,38,23,56,33,160,13,0,1,4,16.66,16.0,new,experiments/results/AT_2_2/base_features_2h/21.onnx,AT,2,2,1175.4016695022583,1100000,1e-05,20,0.1,12,False,21
22,39,25,61,39,127,15,0,1,8,16.66,12.0,new,experiments/results/AT_2_2/base_features_2h/22.onnx,AT,2,2,1229.7811739444733,1150000,1e-05,20,0.1,12,False,22
23,44,27,71,45,129,20,0,2,8,16.66,16.0,new,experiments/results/AT_2_2/base_features_2h/23.onnx,AT,2,2,1284.3733417987823,1200000,1e-05,20,0.1,12,False,23
24,23,23,34,33,137,7,0,4,0,15.67,7.0,new,experiments/results/AT_2_2/base_features_2h/24.onnx,AT,2,2,1340.1001825332642,1250000,1e-05,20,0.1,12,False,24
25,31,23,47,33,128,11,0,2,2,16.18,15.0,new,experiments/results/AT_2_2/base_features_2h/25.onnx,AT,2,2,1393.8320672512054,1300000,1e-05,20,0.1,12,False,25
26,42,25,67,39,134,16,0,4,10,16.66,13.0,new,experiments/results/AT_2_2/base_features_2h/26.onnx,AT,2,2,1447.6067118644714,1350000,1e-05,20,0.1,12,False,26
27,39,25,57,38,128,13,0,4,6,16.18,15.0,new,experiments/results/AT_2_2/base_features_2h/27.onnx,AT,2,2,1502.4249985218048,1400000,1e-05,20,0.1,12,False,27
28,37,23,54,33,125,11,0,4,5,16.66,13.0,new,experiments/results/AT_2_2/base_features_2h/28.onnx,AT,2,2,1557.8627452850342,1450000,1e-05,20,0.1,12,False,28
29,45,22,65,36,151,14,0,4,7,16.66,15.0,new,experiments/results/AT_2_2/base_features_2h/29.onnx,AT,2,2,1614.0837116241455,1500000,1e-05,20,0.1,12,False,29
30,42,25,65,39,129,18,0,1,7,16.66,13.0,new,experiments/results/AT_2_2/base_features_2h/30.onnx,AT,2,2,1673.270003080368,1550000,1e-05,20,0.1,12,False,30
31,37,23,52,33,130,9,0,4,6,16.18,19.0,new,experiments/results/AT_2_2/base_features_2h/31.onnx,AT,2,2,1733.0934944152832,1600000,1e-05,20,0.1,12,False,31
32,40,23,57,33,135,13,0,4,7,16.66,15.0,new,experiments/results/AT_2_2/base_features_2h/32.onnx,AT,2,2,1792.644684791565,1650000,1e-05,20,0.1,12,False,32
33,34,29,55,48,134,15,0,4,0,16.66,14.0,new,experiments/results/AT_2_2/base_features_2h/33.onnx,AT,2,2,1852.5886697769165,1700000,1e-05,20,0.1,12,False,33
34,35,23,54,33,147,15,0,1,2,16.18,14.0,new,experiments/results/AT_2_2/base_features_2h/34.onnx,AT,2,2,1912.426638841629,1750000,1e-05,20,0.1,12,False,34
35,44,23,65,33,128,12,0,1,10,16.66,14.0,new,experiments/results/AT_2_2/base_features_2h/35.onnx,AT,2,2,1972.4895539283752,1800000,1e-05,20,0.1,12,False,35
36,40,22,62,35,128,16,0,1,3,16.66,13.0,new,experiments/results/AT_2_2/base_features_2h/36.onnx,AT,2,2,2032.6627876758575,1850000,1e-05,20,0.1,12,False,36
37,43,25,67,39,151,17,0,4,3,16.66,17.0,new,experiments/results/AT_2_2/base_features_2h/37.onnx,AT,2,2,2092.916169643402,1900000,1e-05,20,0.1,12,False,37
38,41,23,56,33,128,11,0,4,8,16.18,16.0,new,experiments/results/AT_2_2/base_features_2h/38.onnx,AT,2,2,2153.0306553840637,1950000,1e-05,20,0.1,12,False,38
39,44,22,70,36,152,16,0,1,9,16.66,17.0,new,experiments/results/AT_2_2/base_features_2h/39.onnx,AT,2,2,2212.7945165634155,2000000,1e-05,20,0.1,12,False,39
40,46,25,70,39,156,14,0,1,12,16.66,24.0,new,experiments/results/AT_2_2/base_features_2h/40.onnx,AT,2,2,2272.582528114319,2050000,1e-05,20,0.1,12,False,40
41,48,29,73,48,159,18,0,1,11,16.66,19.0,new,experiments/results/AT_2_2/base_features_2h/41.onnx,AT,2,2,2332.5467414855957,2100000,1e-05,20,0.1,12,False,41
42,25,20,38,30,121,9,0,4,1,16.18,11.0,new,experiments/results/AT_2_2/base_features_2h/42.onnx,AT,2,2,2392.8777894973755,2150000,1e-05,20,0.1,12,False,42
43,40,23,59,33,146,11,0,4,8,16.66,16.0,new,experiments/results/AT_2_2/base_features_2h/43.onnx,AT,2,2,2453.4205300807953,2200000,1e-05,20,0.1,12,False,43
44,29,20,43,30,138,9,0,4,1,16.19,10.0,new,experiments/results/AT_2_2/base_features_2h/44.onnx,AT,2,2,2513.0104434490204,2250000,1e-05,20,0.1,12,False,44
45,47,27,76,45,154,19,0,4,10,17.14,15.0,new,experiments/results/AT_2_2/base_features_2h/45.onnx,AT,2,2,2572.8760817050934,2300000,1e-05,20,0.1,12,False,45
46,38,23,53,33,125,11,0,4,4,16.18,17.0,new,experiments/results/AT_2_2/base_features_2h/46.onnx,AT,2,2,2633.157168149948,2350000,1e-05,20,0.1,12,False,46
47,43,23,63,33,149,11,0,4,9,16.66,14.0,new,experiments/results/AT_2_2/base_features_2h/47.onnx,AT,2,2,2693.324234724045,2400000,1e-05,20,0.1,12,False,47
48,42,27,65,42,157,13,0,2,10,16.66,10.0,new,experiments/results/AT_2_2/base_features_2h/48.onnx,AT,2,2,2753.2178659439087,2450000,1e-05,20,0.1,12,False,48
