,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,6,6,8,8,175,2,0,1,0,17.7,14.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,1,0.045714285714285714,0
1,7,6,10,8,174,2,0,1,0,18.21,14.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,2,0.05747126436781609,0
2,16,0,20,0,183,2,0,0,1,0.0,22.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,1,0.1092896174863388,0
3,31,23,53,33,225,6,0,1,0,20.66,49.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,2,0.23555555555555555,0
4,6,6,8,8,178,2,0,1,0,17.7,15.0,false,False,new,experiments/results/AT_2_2/boolean/1.onnx,AT,1,1,0.0449438202247191,1
5,7,6,10,8,177,2,0,1,0,17.7,15.0,false,False,new,experiments/results/AT_2_2/boolean/1.onnx,AT,1,2,0.05649717514124294,1
6,11,0,12,0,180,0,0,0,1,0.0,18.0,false,False,new,experiments/results/AT_2_2/boolean/1.onnx,AT,2,1,0.06666666666666667,1
7,31,27,55,43,213,6,0,1,0,20.66,43.0,false,False,new,experiments/results/AT_2_2/boolean/1.onnx,AT,2,2,0.25821596244131456,1
8,6,6,8,8,177,2,0,1,0,17.7,14.0,false,False,new,experiments/results/AT_2_2/boolean/2.onnx,AT,1,1,0.04519774011299435,2
9,7,6,10,8,183,2,0,1,0,17.7,15.0,false,False,new,experiments/results/AT_2_2/boolean/2.onnx,AT,1,2,0.0546448087431694,2
10,11,0,12,0,187,0,0,0,1,0.0,19.0,false,False,new,experiments/results/AT_2_2/boolean/2.onnx,AT,2,1,0.06417112299465241,2
11,31,27,55,43,207,6,0,1,0,20.66,37.0,false,False,new,experiments/results/AT_2_2/boolean/2.onnx,AT,2,2,0.26570048309178745,2
12,6,6,8,8,176,2,0,1,0,17.7,12.0,false,False,new,experiments/results/AT_2_2/boolean/3.onnx,AT,1,1,0.045454545454545456,3
13,7,6,10,8,176,2,0,1,0,17.7,15.0,false,False,new,experiments/results/AT_2_2/boolean/3.onnx,AT,1,2,0.056818181818181816,3
