,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,6,6,8,8,176,2,0,1,0,17.7,14.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,1,0.045454545454545456
1,6,6,8,8,177,2,0,1,0,17.7,14.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,2,0.04519774011299435
2,6,6,8,8,176,2,0,1,0,18.21,15.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,3,0.045454545454545456
3,6,6,8,8,176,2,0,1,0,18.21,13.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,4,0.045454545454545456
4,6,6,8,8,177,2,0,1,0,19.7,15.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,5,0.04519774011299435
5,16,0,21,0,181,5,0,0,1,0.0,19.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,1,0.11602209944751381
6,20,20,30,30,195,7,0,3,0,20.18,24.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,2,0.15384615384615385
7,35,25,59,38,215,16,0,1,0,21.17,38.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,3,0.2744186046511628
8,42,27,69,43,229,15,0,1,0,21.65,58.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,4,0.30131004366812225
9,37,24,57,37,220,10,0,1,0,21.14,51.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,5,0.2590909090909091
10,28,0,38,0,210,7,0,0,1,0.0,47.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,1,0.18095238095238095
11,89,0,138,0,262,35,0,0,8,0.0,74.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,2,0.5267175572519084
12,161,152,284,249,358,81,0,1,0,21.24,129.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,3,0.7932960893854749
13,203,172,368,271,410,88,0,1,0,26.34,176.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,4,0.8975609756097561
14,277,162,509,253,464,119,0,1,0,40.44,213.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,5,1.0969827586206897
15,56,0,77,0,236,12,0,0,1,0.0,60.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,1,0.326271186440678
16,190,0,288,0,362,54,0,0,22,0.0,146.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,2,0.7955801104972375
17,724,0,1310,0,1079,436,0,0,43,0.0,446.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,3,1.2140871177015755
18,1249,976,2401,1625,2933,936,0,1,0,165.37,820.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,4,0.8186157517899761
19,1330,1105,2538,1775,3401,1002,0,1,0,80.66,1009.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,5,0.7462511026168774
20,115,0,167,0,277,29,0,0,1,0.0,101.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,1,0.6028880866425993
21,455,0,699,0,571,93,0,0,99,0.0,291.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,2,1.224168126094571
22,2113,0,3778,0,2764,808,0,0,331,0.0,1290.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,3,1.3668596237337192
23,5196,0,10001,0,34326,4106,0,0,106,0.0,7549.0,true,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,4,0.2913534929790829
24,5539,0,10001,0,32882,2932,0,0,0,0.0,10773.0,true,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,5,0.304148166169941
