,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,6,6,8,8,179,2,0,1,0,13.51,16.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,1,0.0446927374301676,0
1,7,6,10,8,181,2,0,1,0,13.51,17.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,2,0.055248618784530384,0
2,8,6,12,8,182,2,0,1,0,14.51,16.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,3,0.06593406593406594,0
3,9,6,14,8,184,2,0,1,0,15.02,18.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,4,0.07608695652173914,0
4,10,6,16,8,186,2,0,1,0,15.5,20.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,5,0.08602150537634409,0
5,11,6,17,8,185,2,0,1,0,15.5,19.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,6,0.0918918918918919,0
6,12,6,18,8,187,2,0,1,0,15.5,23.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,7,0.0962566844919786,0
7,13,6,19,8,188,2,0,1,0,15.5,22.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,8,0.10106382978723404,0
8,14,6,20,8,192,2,0,1,0,15.5,25.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,9,0.10416666666666667,0
9,15,6,21,8,189,2,0,1,0,15.53,25.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,10,0.1111111111111111,0
10,16,6,23,8,213,2,0,1,0,15.53,46.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,11,0.107981220657277,0
11,17,6,25,8,196,2,0,1,0,15.53,29.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,12,0.12755102040816327,0
12,18,6,27,8,209,2,0,1,0,16.0,34.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,13,0.1291866028708134,0
13,19,6,29,8,203,2,0,1,0,16.0,31.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,14,0.14285714285714285,0
14,20,6,31,8,196,2,0,1,0,16.0,29.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,1,15,0.15816326530612246,0
15,16,0,20,0,186,2,0,0,1,0.0,19.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,1,0.10752688172043011,0
16,31,23,53,33,212,6,0,1,0,15.98,33.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,2,0.25,0
17,43,23,83,33,234,7,0,1,0,16.48,60.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,3,0.3547008547008547,0
18,57,23,120,33,253,6,0,1,0,17.92,74.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,4,0.4743083003952569,0
19,73,23,167,33,263,6,0,1,0,18.96,86.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,5,0.6349809885931559,0
20,91,23,221,33,289,6,0,1,0,20.48,106.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,6,0.7647058823529411,0
21,111,23,283,33,322,6,0,1,0,21.92,126.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,7,0.8788819875776398,0
22,133,23,353,33,326,6,0,1,0,23.92,135.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,8,1.0828220858895705,0
23,157,23,425,33,375,6,0,1,0,26.48,169.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,9,1.1333333333333333,0
24,183,23,517,33,432,6,0,1,0,19.07,222.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,10,1.1967592592592593,0
25,211,23,603,33,443,6,0,1,0,22.19,233.0,false,False,new,experiments/results/AT_2_2/boolean/0.onnx,AT,2,11,1.3611738148984198,0
