,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,180.0,2.0,0.0,1.0,0.0,13.5,15.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,1
1,6.0,6.0,8.0,8.0,189.0,2.0,0.0,1.0,0.0,13.5,15.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,2
2,6.0,6.0,8.0,8.0,183.0,2.0,0.0,1.0,0.0,14.51,16.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,3
3,6.0,6.0,8.0,8.0,184.0,2.0,0.0,1.0,0.0,15.53,15.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,4
4,6.0,6.0,8.0,8.0,181.0,2.0,0.0,1.0,0.0,15.02,17.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,5
5,6.0,6.0,8.0,8.0,182.0,2.0,0.0,1.0,0.0,15.02,15.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,6
6,6.0,6.0,8.0,8.0,188.0,2.0,0.0,1.0,0.0,15.02,14.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,7
7,6.0,6.0,8.0,8.0,185.0,2.0,0.0,1.0,0.0,15.02,18.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,8
8,6.0,6.0,8.0,8.0,190.0,2.0,0.0,1.0,0.0,15.5,17.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,9
9,6.0,6.0,8.0,8.0,181.0,2.0,0.0,1.0,0.0,15.5,17.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,10
10,6.0,6.0,8.0,8.0,190.0,2.0,0.0,1.0,0.0,15.5,18.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,11
11,6.0,6.0,8.0,8.0,183.0,2.0,0.0,1.0,0.0,15.51,16.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,12
12,6.0,6.0,8.0,8.0,194.0,2.0,0.0,1.0,0.0,15.53,24.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,13
13,6.0,6.0,8.0,8.0,186.0,2.0,0.0,1.0,0.0,15.53,20.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,14
14,6.0,6.0,8.0,8.0,185.0,2.0,0.0,1.0,0.0,15.53,19.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,1,15
15,7.0,0.0,6.0,0.0,187.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,1
16,23.0,23.0,35.0,33.0,197.0,6.0,0.0,1.0,0.0,15.98,31.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,2
17,27.0,23.0,43.0,33.0,226.0,8.0,0.0,1.0,0.0,15.98,57.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,3
18,31.0,23.0,51.0,33.0,223.0,10.0,0.0,1.0,0.0,15.98,40.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,4
19,30.0,24.0,49.0,34.0,237.0,8.0,0.0,1.0,0.0,15.98,52.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,5
20,37.0,20.0,65.0,30.0,229.0,14.0,0.0,1.0,0.0,16.96,45.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,6
21,55.0,28.0,101.0,38.0,259.0,30.0,0.0,1.0,0.0,18.96,69.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,7
22,65.0,24.0,110.0,34.0,261.0,32.0,0.0,1.0,0.0,19.44,68.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,8
23,69.0,23.0,120.0,33.0,271.0,35.0,0.0,1.0,0.0,19.92,85.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,9
24,68.0,38.0,122.0,48.0,293.0,36.0,0.0,1.0,0.0,20.48,93.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,10
25,92.0,48.0,167.0,58.0,299.0,52.0,0.0,1.0,0.0,24.0,96.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,11
26,35.0,26.0,59.0,36.0,237.0,8.0,0.0,1.0,0.0,17.95,62.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,12
27,104.0,32.0,189.0,42.0,324.0,56.0,0.0,1.0,0.0,26.96,107.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,13
28,53.0,20.0,97.0,30.0,269.0,22.0,0.0,1.0,0.0,19.44,73.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,14
29,88.0,31.0,167.0,41.0,298.0,58.0,0.0,1.0,0.0,24.48,88.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,2,15
30,9.0,0.0,8.0,0.0,188.0,0.0,0.0,0.0,1.0,0.0,18.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,1
31,73.0,0.0,105.0,0.0,248.0,13.0,0.0,0.0,5.0,0.0,70.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,2
32,114.0,102.0,183.0,147.0,328.0,53.0,0.0,1.0,0.0,23.92,117.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,3
33,127.0,109.0,211.0,153.0,332.0,66.0,0.0,1.0,0.0,26.96,121.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,4
34,150.0,102.0,259.0,146.0,422.0,88.0,0.0,1.0,0.0,19.93,178.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,5
35,202.0,129.0,353.0,173.0,421.0,126.0,0.0,1.0,0.0,34.98,158.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,6
36,242.0,122.0,427.0,166.0,495.0,161.0,0.0,1.0,0.0,46.99,204.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,7
37,237.0,122.0,433.0,167.0,522.0,170.0,0.0,1.0,0.0,52.06,240.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,8
38,255.0,100.0,495.0,145.0,576.0,208.0,0.0,1.0,0.0,69.1,246.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,9
39,383.0,124.0,750.0,170.0,780.0,319.0,0.0,1.0,0.0,149.18,285.0,False,new,experiments/results/AT_2_2/boolean33 4/74.onnx,AT,3,10
