,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,6.0,6.0,8.0,8.0,180.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,1,4
1,7.0,6.0,10.0,8.0,182.0,2.0,0.0,1.0,0.0,13.5,13.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,2,4
2,8.0,6.0,12.0,8.0,183.0,2.0,0.0,1.0,0.0,14.0,17.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,3,4
3,9.0,6.0,14.0,8.0,185.0,2.0,0.0,1.0,0.0,14.51,19.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,4,4
4,10.0,6.0,16.0,8.0,188.0,2.0,0.0,1.0,0.0,15.02,21.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,5,4
5,11.0,6.0,18.0,8.0,216.0,2.0,0.0,1.0,0.0,15.02,26.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,6,4
6,12.0,6.0,20.0,8.0,198.0,2.0,0.0,1.0,0.0,15.5,24.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,7,4
7,13.0,6.0,22.0,8.0,190.0,2.0,0.0,1.0,0.0,15.5,22.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,8,4
8,14.0,6.0,24.0,8.0,202.0,2.0,0.0,1.0,0.0,15.5,25.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,9,4
9,15.0,6.0,26.0,8.0,202.0,2.0,0.0,1.0,0.0,15.5,22.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,10,4
10,15.0,6.0,25.0,8.0,197.0,2.0,0.0,1.0,0.0,15.5,23.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,11,4
11,15.0,6.0,25.0,8.0,194.0,2.0,0.0,1.0,0.0,15.53,25.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,12,4
12,15.0,6.0,25.0,8.0,195.0,2.0,0.0,1.0,0.0,15.53,26.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,13,4
13,15.0,6.0,25.0,8.0,197.0,2.0,0.0,1.0,0.0,15.53,28.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,14,4
14,15.0,6.0,25.0,8.0,195.0,2.0,0.0,1.0,0.0,15.53,30.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,1,15,4
15,16.0,0.0,24.0,0.0,189.0,4.0,0.0,0.0,1.0,0.0,22.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,1,4
16,25.0,23.0,39.0,33.0,216.0,10.0,0.0,1.0,0.0,15.98,44.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,2,4
17,28.0,22.0,47.0,32.0,219.0,11.0,0.0,1.0,0.0,15.98,41.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,3,4
18,33.0,24.0,57.0,34.0,216.0,16.0,0.0,1.0,0.0,16.48,43.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,4,4
19,42.0,25.0,71.0,35.0,225.0,18.0,0.0,1.0,0.0,16.96,43.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,5,4
20,50.0,29.0,90.0,39.0,256.0,30.0,0.0,1.0,0.0,18.48,74.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,6,4
21,75.0,30.0,134.0,40.0,277.0,38.0,0.0,1.0,0.0,20.96,84.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,7,4
22,72.0,31.0,125.0,41.0,265.0,30.0,0.0,1.0,0.0,19.92,72.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,8,4
23,87.0,34.0,160.0,44.0,287.0,49.0,0.0,1.0,0.0,22.96,88.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,9,4
24,94.0,26.0,177.0,36.0,305.0,57.0,0.0,1.0,0.0,24.48,99.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,10,4
25,98.0,25.0,185.0,35.0,308.0,63.0,0.0,1.0,0.0,25.92,96.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,11,4
26,132.0,39.0,238.0,49.0,340.0,85.0,0.0,1.0,0.0,16.93,105.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,12,4
27,122.0,43.0,210.0,53.0,322.0,60.0,0.0,1.0,0.0,26.96,111.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,13,4
28,117.0,44.0,205.0,54.0,343.0,65.0,0.0,1.0,0.0,26.96,126.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,14,4
29,150.0,41.0,290.0,51.0,388.0,100.0,0.0,1.0,0.0,25.06,136.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,2,15,4
30,35.0,0.0,49.0,0.0,220.0,5.0,0.0,0.0,1.0,0.0,45.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,1,4
31,86.0,0.0,142.0,0.0,280.0,28.0,0.0,0.0,7.0,0.0,88.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,2,4
32,164.0,95.0,296.0,140.0,389.0,102.0,0.0,1.0,0.0,22.77,147.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,3,4
33,248.0,88.0,480.0,133.0,509.0,198.0,0.0,1.0,0.0,54.86,198.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,4,4
34,372.0,99.0,764.0,142.0,765.0,338.0,0.0,1.0,0.0,142.96,279.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,5,4
35,450.0,140.0,942.0,188.0,900.0,431.0,0.0,1.0,0.0,59.22,320.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,6,4
36,521.0,160.0,1136.0,209.0,1089.0,534.0,0.0,1.0,0.0,16.84,373.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,7,4
37,654.0,160.0,1463.0,209.0,1381.0,721.0,0.0,1.0,0.0,86.23,441.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,8,4
38,957.0,158.0,2166.0,207.0,2373.0,1073.0,0.0,1.0,0.0,11.37,648.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,9,4
39,1288.0,117.0,3006.0,163.0,3895.0,1584.0,0.0,1.0,0.0,97.61,916.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,10,4
40,1386.0,177.0,3233.0,224.0,4360.0,1657.0,0.0,1.0,0.0,61.78,919.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,11,4
41,,,,,,,,,,,,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,3,12,4
42,57.0,0.0,76.0,0.0,237.0,8.0,0.0,0.0,1.0,0.0,64.0,False,new,experiments/results/AT_2_2/boolean33 4/4.onnx,AT,4,1,4
