,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,6.0,6.0,8.0,8.0,183.0,2.0,0.0,1.0,0.0,13.51,13.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,1,0
1,7.0,6.0,10.0,8.0,181.0,2.0,0.0,1.0,0.0,13.5,13.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,2,0
2,8.0,6.0,12.0,8.0,180.0,2.0,0.0,1.0,0.0,13.5,15.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,3,0
3,9.0,6.0,14.0,8.0,184.0,2.0,0.0,1.0,0.0,14.51,18.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,4,0
4,10.0,6.0,16.0,8.0,181.0,2.0,0.0,1.0,0.0,15.02,20.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,5,0
5,11.0,6.0,18.0,8.0,186.0,2.0,0.0,1.0,0.0,15.53,21.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,6,0
6,12.0,6.0,20.0,8.0,186.0,2.0,0.0,1.0,0.0,15.5,19.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,7,0
7,13.0,6.0,22.0,8.0,191.0,2.0,0.0,1.0,0.0,15.5,24.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,8,0
8,14.0,6.0,24.0,8.0,193.0,2.0,0.0,1.0,0.0,15.5,22.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,9,0
9,15.0,6.0,26.0,8.0,193.0,2.0,0.0,1.0,0.0,15.5,27.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,10,0
10,16.0,6.0,28.0,8.0,198.0,2.0,0.0,1.0,0.0,15.5,29.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,11,0
11,17.0,6.0,30.0,8.0,196.0,2.0,0.0,1.0,0.0,15.5,30.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,12,0
12,18.0,6.0,32.0,8.0,194.0,2.0,0.0,1.0,0.0,16.0,26.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,13,0
13,19.0,6.0,34.0,8.0,198.0,2.0,0.0,1.0,0.0,16.0,31.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,14,0
14,20.0,6.0,36.0,8.0,201.0,2.0,0.0,1.0,0.0,16.0,30.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,1,15,0
15,16.0,0.0,25.0,0.0,190.0,5.0,0.0,0.0,1.0,0.0,22.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,1,0
16,30.0,27.0,55.0,45.0,208.0,13.0,0.0,1.0,0.0,16.48,34.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,2,0
17,39.0,25.0,77.0,40.0,227.0,15.0,0.0,1.0,0.0,16.48,42.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,3,0
18,54.0,22.0,115.0,36.0,235.0,18.0,0.0,1.0,0.0,17.92,57.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,4,0
19,69.0,30.0,154.0,44.0,263.0,22.0,0.0,1.0,0.0,19.44,84.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,5,0
20,86.0,31.0,199.0,45.0,284.0,26.0,0.0,1.0,0.0,20.96,82.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,6,0
21,105.0,34.0,249.0,53.0,301.0,30.0,0.0,1.0,0.0,22.96,102.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,7,0
22,126.0,35.0,306.0,54.0,333.0,38.0,0.0,1.0,0.0,25.92,131.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,8,0
23,149.0,37.0,369.0,56.0,357.0,46.0,0.0,1.0,0.0,14.96,127.0,False,new,experiments/results/AT_2_2/boolean33/0.onnx,AT,2,9,0
