,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,179.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,1
1,6.0,6.0,8.0,8.0,180.0,2.0,0.0,1.0,0.0,13.5,17.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,2
2,6.0,6.0,8.0,8.0,177.0,2.0,0.0,1.0,0.0,14.0,13.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,3
3,6.0,6.0,8.0,8.0,187.0,2.0,0.0,1.0,0.0,14.51,16.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,4
4,6.0,6.0,8.0,8.0,181.0,2.0,0.0,1.0,0.0,14.51,14.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,5
5,6.0,6.0,8.0,8.0,183.0,2.0,0.0,1.0,0.0,15.02,17.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,6
6,6.0,6.0,8.0,8.0,180.0,2.0,0.0,1.0,0.0,15.02,18.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,7
7,6.0,6.0,8.0,8.0,187.0,2.0,0.0,1.0,0.0,15.02,16.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,8
8,6.0,6.0,8.0,8.0,183.0,2.0,0.0,1.0,0.0,15.5,17.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,9
9,6.0,6.0,8.0,8.0,193.0,2.0,0.0,1.0,0.0,15.5,18.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,10
10,6.0,6.0,8.0,8.0,189.0,2.0,0.0,1.0,0.0,15.5,18.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,11
11,6.0,6.0,8.0,8.0,183.0,2.0,0.0,1.0,0.0,15.53,17.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,12
12,6.0,6.0,8.0,8.0,188.0,2.0,0.0,1.0,0.0,15.53,19.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,13
13,6.0,6.0,8.0,8.0,193.0,2.0,0.0,1.0,0.0,15.53,19.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,14
14,6.0,6.0,8.0,8.0,185.0,2.0,0.0,1.0,0.0,15.53,18.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,1,15
15,13.0,0.0,16.0,0.0,186.0,2.0,0.0,0.0,1.0,0.0,19.0,False,new,experiments/results/AT_2_2/boolean_3/57.onnx,AT,2,1
