,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,185.0,2.0,0.0,1.0,0.0,13.5,15.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,1
1,7.0,6.0,9.0,8.0,181.0,2.0,0.0,1.0,0.0,13.5,16.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,2
2,7.0,6.0,9.0,8.0,183.0,2.0,0.0,1.0,0.0,14.51,18.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,3
3,7.0,6.0,9.0,8.0,189.0,2.0,0.0,1.0,0.0,14.51,18.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,4
4,7.0,6.0,9.0,8.0,181.0,2.0,0.0,1.0,0.0,15.53,14.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,5
5,7.0,6.0,9.0,8.0,183.0,2.0,0.0,1.0,0.0,15.53,19.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,6
6,7.0,6.0,9.0,8.0,186.0,2.0,0.0,1.0,0.0,15.02,16.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,7
7,7.0,6.0,9.0,8.0,189.0,2.0,0.0,1.0,0.0,15.02,17.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,8
8,7.0,6.0,9.0,8.0,186.0,2.0,0.0,1.0,0.0,15.5,20.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,9
9,7.0,6.0,9.0,8.0,188.0,2.0,0.0,1.0,0.0,15.5,21.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,10
10,7.0,6.0,9.0,8.0,181.0,2.0,0.0,1.0,0.0,15.5,19.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,11
11,7.0,6.0,9.0,8.0,190.0,2.0,0.0,1.0,0.0,15.51,23.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,12
12,7.0,6.0,9.0,8.0,185.0,2.0,0.0,1.0,0.0,15.53,20.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,13
13,7.0,6.0,9.0,8.0,194.0,2.0,0.0,1.0,0.0,15.53,22.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,14
14,7.0,6.0,9.0,8.0,193.0,2.0,0.0,1.0,0.0,15.53,27.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,1,15
15,4.0,0.0,3.0,0.0,179.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,1
16,27.0,23.0,40.0,33.0,203.0,9.0,0.0,3.0,0.0,15.98,31.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,2
17,39.0,23.0,63.0,33.0,221.0,9.0,0.0,3.0,0.0,16.48,47.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,3
18,53.0,23.0,88.0,33.0,249.0,11.0,0.0,3.0,0.0,17.44,75.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,4
19,69.0,23.0,115.0,34.0,266.0,9.0,0.0,2.0,0.0,18.48,78.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,5
20,87.0,23.0,148.0,34.0,278.0,10.0,0.0,2.0,0.0,19.44,92.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,6
21,107.0,36.0,185.0,51.0,318.0,16.0,0.0,2.0,0.0,20.96,130.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,7
22,129.0,34.0,226.0,46.0,340.0,17.0,0.0,2.0,0.0,22.48,135.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,8
23,153.0,32.0,271.0,45.0,349.0,17.0,0.0,2.0,0.0,24.48,140.0,False,new,experiments/results/AT_2_2/boolean_5kk/12.onnx,AT,2,9
