,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,6.0,6.0,8.0,8.0,185.0,2.0,0.0,1.0,0.0,13.51,14.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,1,0
1,7.0,6.0,10.0,8.0,184.0,2.0,0.0,1.0,0.0,13.5,16.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,2,0
2,8.0,6.0,12.0,8.0,188.0,2.0,0.0,1.0,0.0,14.0,17.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,3,0
3,9.0,6.0,14.0,8.0,181.0,2.0,0.0,1.0,0.0,15.02,16.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,4,0
4,10.0,6.0,16.0,8.0,189.0,2.0,0.0,1.0,0.0,15.53,18.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,5,0
5,11.0,6.0,18.0,8.0,194.0,2.0,0.0,1.0,0.0,15.02,17.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,6,0
6,12.0,6.0,20.0,8.0,189.0,2.0,0.0,1.0,0.0,15.5,20.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,7,0
7,13.0,6.0,22.0,8.0,188.0,2.0,0.0,1.0,0.0,15.5,22.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,8,0
8,14.0,6.0,24.0,8.0,197.0,2.0,0.0,1.0,0.0,15.5,26.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,9,0
9,15.0,6.0,26.0,8.0,197.0,2.0,0.0,1.0,0.0,15.5,29.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,10,0
10,16.0,6.0,28.0,8.0,192.0,2.0,0.0,1.0,0.0,15.5,23.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,11,0
11,17.0,6.0,30.0,8.0,202.0,2.0,0.0,1.0,0.0,15.5,35.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,12,0
12,18.0,6.0,32.0,8.0,204.0,2.0,0.0,1.0,0.0,16.0,34.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,13,0
13,19.0,6.0,34.0,8.0,201.0,2.0,0.0,1.0,0.0,16.0,29.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,14,0
14,20.0,6.0,36.0,8.0,213.0,2.0,0.0,1.0,0.0,16.0,43.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,1,15,0
15,13.0,0.0,13.0,0.0,189.0,0.0,0.0,0.0,1.0,0.0,19.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,2,1,0
16,31.0,22.0,56.0,36.0,225.0,8.0,0.0,1.0,0.0,16.48,46.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,2,2,0
17,43.0,31.0,87.0,51.0,241.0,8.0,0.0,1.0,0.0,16.48,61.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,2,3,0
18,57.0,33.0,126.0,54.0,246.0,8.0,0.0,1.0,0.0,17.92,70.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,2,4,0
19,73.0,37.0,172.0,60.0,278.0,8.0,0.0,1.0,0.0,18.48,91.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,2,5,0
20,91.0,41.0,226.0,66.0,318.0,8.0,0.0,1.0,0.0,19.92,122.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,2,6,0
21,111.0,45.0,288.0,72.0,324.0,8.0,0.0,1.0,0.0,20.96,133.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,2,7,0
22,133.0,39.0,359.0,63.0,364.0,8.0,0.0,1.0,0.0,22.48,169.0,False,new,experiments/results/AT_2_2/boolean_5kk/0.onnx,AT,2,8,0
