,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,178.0,2.0,0.0,1.0,0.0,12.51,15.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,1
1,7.0,6.0,10.0,8.0,183.0,2.0,0.0,1.0,0.0,12.51,16.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,2
2,8.0,6.0,10.0,8.0,183.0,2.0,0.0,1.0,0.0,12.99,12.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,3
3,8.0,6.0,10.0,8.0,181.0,2.0,0.0,1.0,0.0,14.48,17.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,4
4,9.0,6.0,11.0,8.0,185.0,2.0,0.0,1.0,0.0,14.48,22.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,5
5,8.0,6.0,11.0,8.0,190.0,2.0,0.0,1.0,0.0,15.02,19.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,6
6,9.0,6.0,12.0,8.0,191.0,2.0,0.0,1.0,0.0,15.51,18.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,7
7,9.0,6.0,13.0,8.0,186.0,2.0,0.0,1.0,0.0,15.53,18.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,8
8,11.0,6.0,15.0,8.0,194.0,2.0,0.0,1.0,0.0,15.53,24.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,9
9,11.0,6.0,15.0,8.0,185.0,2.0,0.0,1.0,0.0,15.53,19.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,10
10,11.0,6.0,15.0,8.0,191.0,2.0,0.0,1.0,0.0,15.53,26.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,11
11,13.0,6.0,17.0,8.0,190.0,2.0,0.0,1.0,0.0,15.5,22.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,12
12,15.0,6.0,19.0,8.0,200.0,2.0,0.0,1.0,0.0,15.5,37.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,13
13,16.0,6.0,21.0,8.0,195.0,2.0,0.0,1.0,0.0,15.5,26.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,14
14,16.0,6.0,21.0,8.0,193.0,2.0,0.0,1.0,0.0,15.5,26.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,1,15
15,8.0,0.0,11.0,0.0,185.0,2.0,0.0,0.0,1.0,0.0,16.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,1
16,25.0,23.0,40.0,33.0,202.0,11.0,0.0,2.0,0.0,15.5,30.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,2
17,34.0,23.0,59.0,33.0,210.0,15.0,0.0,2.0,0.0,15.98,36.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,3
18,47.0,23.0,90.0,33.0,240.0,30.0,0.0,2.0,0.0,17.92,56.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,4
19,66.0,23.0,149.0,33.0,279.0,41.0,0.0,1.0,0.0,19.92,83.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,5
20,82.0,23.0,197.0,33.0,294.0,59.0,0.0,1.0,0.0,22.96,81.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,6
21,93.0,31.0,204.0,45.0,302.0,67.0,0.0,2.0,0.0,26.96,92.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,7
22,107.0,23.0,237.0,33.0,325.0,78.0,0.0,2.0,0.0,16.76,101.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,8
23,145.0,23.0,398.0,33.0,393.0,101.0,0.0,1.0,0.0,24.83,145.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,9
24,167.0,25.0,463.0,35.0,505.0,229.0,0.0,2.0,0.0,64.88,162.0,False,new,experiments/results/AT_2_2/epsdec_4/93.onnx,AT,2,10
