,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,10.0,87,49,2,2,AT,11,1273.7568800449371,2400000,-80.4010799105132,0
1,303.0,1048,503,3,3,AT,11,1273.7568800449371,2400000,-80.4010799105132,0
2,10.0,87,49,2,2,AT,11,1711.5934238433838,3200000,-80.24955414340153,1
3,311.0,1048,503,3,3,AT,11,1711.5934238433838,3200000,-80.24955414340153,1
4,10.0,87,49,2,2,AT,11,1381.8019495010376,2600000,-80.20256288594464,2
5,312.0,1048,503,3,3,AT,11,1381.8019495010376,2600000,-80.20256288594464,2
6,10.0,87,49,2,2,AT,11,1056.8277280330658,2000000,-80.2661185809174,3
7,307.0,1048,503,3,3,AT,11,1056.8277280330658,2000000,-80.2661185809174,3
8,10.0,87,49,2,2,AT,11,841.5655825138092,1600000,-80.75480315789622,4
9,305.0,1048,503,3,3,AT,11,841.5655825138092,1600000,-80.75480315789622,4
10,10.0,87,49,2,2,AT,11,1164.5068612098694,2200000,-80.23154763650662,5
11,309.0,1048,503,3,3,AT,11,1164.5068612098694,2200000,-80.23154763650662,5
12,10.0,87,49,2,2,AT,11,313.1395306587219,600000,-79.2468593717459,6
13,340.0,1048,503,3,3,AT,11,313.1395306587219,600000,-79.2468593717459,6
14,10.0,87,49,2,2,AT,11,949.2024421691895,1800000,-80.43365085274148,7
15,304.0,1048,503,3,3,AT,11,949.2024421691895,1800000,-80.43365085274148,7
16,8.0,66,38,2,2,AT,11,103.23077273368835,200000,-55.284315980884195,8
17,234.0,782,374,3,3,AT,11,103.23077273368835,200000,-55.284315980884195,8
18,11.0,87,49,2,2,AT,11,734.9069132804871,1400000,-80.16265430985769,9
19,305.0,1048,503,3,3,AT,11,734.9069132804871,1400000,-80.16265430985769,9
20,10.0,87,49,2,2,AT,11,523.2108662128448,1000000,-79.61423579679544,10
21,307.0,1048,503,3,3,AT,11,523.2108662128448,1000000,-79.61423579679544,10
22,10.0,87,49,2,2,AT,11,207.9147448539734,400000,-76.8802447524401,11
23,311.0,1048,503,3,3,AT,11,207.9147448539734,400000,-76.8802447524401,11
24,11.0,87,49,2,2,AT,11,1491.1084115505219,2800000,-79.8022941024483,12
25,311.0,1048,503,3,3,AT,11,1491.1084115505219,2800000,-79.8022941024483,12
26,10.0,87,49,2,2,AT,11,1600.1695189476013,3000000,-80.41069776060071,13
27,356.0,1048,503,3,3,AT,11,1600.1695189476013,3000000,-80.41069776060071,13
28,10.0,87,49,2,2,AT,11,417.8981122970581,800000,-79.56316725504539,14
29,311.0,1048,503,3,3,AT,11,417.8981122970581,800000,-79.56316725504539,14
30,11.0,87,49,2,2,AT,11,628.9247150421143,1200000,-80.39111257988183,15
31,313.0,1048,503,3,3,AT,11,628.9247150421143,1200000,-80.39111257988183,15
