,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,9.0,81,50,2,2,AT,11,1359.2824902534485,2400000,20.35683354114401,0
1,215.0,758,449,3,3,AT,11,1359.2824902534485,2400000,20.35683354114401,0
2,6.0,51,32,2,2,AT,11,1478.322734594345,2600000,23.054692198645608,1
3,149.0,615,347,3,3,AT,11,1478.322734594345,2600000,23.054692198645608,1
4,7.0,58,39,2,2,AT,11,1121.4237298965454,2000000,-6.057115482220331,2
5,234.0,714,433,3,3,AT,11,1121.4237298965454,2000000,-6.057115482220331,2
6,7.0,61,40,2,2,AT,11,887.0619692802429,1600000,-22.236479698916057,3
7,231.0,720,437,3,3,AT,11,887.0619692802429,1600000,-22.236479698916057,3
8,7.0,58,37,2,2,AT,11,1239.971524477005,2200000,9.413664401805487,4
9,181.0,530,289,3,3,AT,11,1239.971524477005,2200000,9.413664401805487,4
10,5.0,47,30,2,2,AT,11,326.2477533817291,600000,-27.277415425470835,5
11,188.0,664,406,3,3,AT,11,326.2477533817291,600000,-27.277415425470835,5
12,7.0,62,37,2,2,AT,11,1003.9659812450409,1800000,-14.970250215196982,6
13,240.0,784,435,3,3,AT,11,1003.9659812450409,1800000,-14.970250215196982,6
14,8.0,67,40,2,2,AT,11,108.56043553352356,200000,-34.27177326043288,7
15,326.0,802,402,3,3,AT,11,108.56043553352356,200000,-34.27177326043288,7
16,8.0,70,44,2,2,AT,11,771.87721824646,1400000,-27.343843400567586,8
17,197.0,734,391,3,3,AT,11,771.87721824646,1400000,-27.343843400567586,8
18,7.0,67,43,2,2,AT,11,544.0184514522552,1000000,-29.658908222939264,9
19,297.0,811,448,3,3,AT,11,544.0184514522552,1000000,-29.658908222939264,9
20,7.0,59,39,2,2,AT,11,217.86191129684448,400000,-30.00707277591297,10
21,78.0,292,189,3,3,AT,11,217.86191129684448,400000,-30.00707277591297,10
22,5.0,48,29,2,2,AT,11,1602.3413650989532,2800000,24.298465213510795,11
23,164.0,581,330,3,3,AT,11,1602.3413650989532,2800000,24.298465213510795,11
24,7.0,59,39,2,2,AT,11,1725.044127702713,3000000,24.24665375064001,12
25,195.0,687,395,3,3,AT,11,1725.044127702713,3000000,24.24665375064001,12
26,7.0,65,41,2,2,AT,11,431.40038418769836,800000,-28.57250360740848,13
27,204.0,659,362,3,3,AT,11,431.40038418769836,800000,-28.57250360740848,13
28,7.0,63,39,2,2,AT,11,657.0039446353912,1200000,-25.50047040620177,14
29,252.0,883,490,3,3,AT,11,657.0039446353912,1200000,-25.50047040620177,14
