,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,175.0,2.0,0.0,2.0,0.0,12.03,11.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,1
1,7.0,6.0,10.0,8.0,163.0,2.0,0.0,1.0,0.0,12.03,11.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,2
2,8.0,6.0,12.0,8.0,178.0,2.0,0.0,1.0,0.0,13.02,13.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,3
3,9.0,6.0,14.0,8.0,179.0,2.0,0.0,1.0,0.0,13.53,15.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,4
4,10.0,6.0,16.0,8.0,165.0,2.0,0.0,1.0,0.0,14.48,15.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,5
5,11.0,6.0,18.0,8.0,184.0,2.0,0.0,1.0,0.0,14.48,15.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,6
6,12.0,6.0,20.0,8.0,196.0,2.0,0.0,1.0,0.0,14.99,17.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,7
7,13.0,6.0,22.0,8.0,186.0,2.0,0.0,1.0,0.0,14.96,16.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,8
8,14.0,6.0,24.0,8.0,186.0,2.0,0.0,1.0,0.0,14.99,16.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,9
9,15.0,6.0,26.0,8.0,172.0,2.0,0.0,1.0,0.0,15.5,18.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,10
10,16.0,6.0,28.0,8.0,188.0,2.0,0.0,1.0,0.0,15.53,20.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,11
11,17.0,6.0,30.0,8.0,208.0,2.0,0.0,1.0,0.0,15.53,19.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,12
12,18.0,6.0,32.0,8.0,206.0,2.0,0.0,1.0,0.0,16.0,25.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,13
13,19.0,6.0,34.0,8.0,198.0,2.0,0.0,1.0,0.0,16.0,25.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,14
14,20.0,6.0,36.0,8.0,208.0,2.0,0.0,1.0,0.0,16.0,24.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,1,15
15,9.0,0.0,8.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,14.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,1
16,31.0,23.0,55.0,33.0,197.0,8.0,0.0,1.0,0.0,15.47,26.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,2
17,43.0,23.0,87.0,33.0,207.0,10.0,0.0,1.0,0.0,16.48,47.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,3
18,57.0,23.0,127.0,33.0,230.0,4.0,0.0,1.0,0.0,16.96,50.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,4
19,73.0,23.0,175.0,33.0,251.0,4.0,0.0,1.0,0.0,17.92,69.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,5
20,91.0,23.0,231.0,33.0,262.0,4.0,0.0,1.0,0.0,18.96,80.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,6
21,111.0,23.0,295.0,33.0,269.0,18.0,0.0,1.0,0.0,20.48,88.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,7
22,133.0,23.0,367.0,33.0,298.0,20.0,0.0,1.0,0.0,22.48,99.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,8
23,157.0,23.0,447.0,33.0,337.0,22.0,0.0,1.0,0.0,24.0,128.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,9
24,183.0,31.0,537.0,51.0,348.0,24.0,0.0,5.0,0.0,26.96,130.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,10
25,211.0,47.0,633.0,75.0,381.0,26.0,0.0,5.0,0.0,11.23,169.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,11
26,241.0,23.0,735.0,33.0,388.0,4.0,0.0,1.0,0.0,8.46,156.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,12
27,273.0,25.0,848.0,39.0,419.0,31.0,0.0,1.0,0.0,22.44,181.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,13
28,307.0,23.0,967.0,33.0,436.0,4.0,0.0,1.0,0.0,20.49,207.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,14
29,343.0,25.0,1096.0,39.0,478.0,35.0,0.0,1.0,0.0,29.54,213.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,2,15
30,14.0,0.0,13.0,0.0,164.0,0.0,0.0,0.0,2.0,0.0,16.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,3,1
31,32.0,0.0,33.0,0.0,190.0,0.0,0.0,0.0,2.0,0.0,25.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,3,2
32,219.0,146.0,517.0,271.0,366.0,48.0,0.0,13.0,0.0,11.02,149.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,3,3
33,345.0,148.0,919.0,274.0,453.0,61.0,0.0,19.0,0.0,29.31,208.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,3,4
34,513.0,189.0,1507.0,357.0,632.0,79.0,0.0,19.0,0.0,55.5,311.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,3,5
35,729.0,151.0,2317.0,279.0,920.0,90.0,0.0,31.0,0.0,95.4,541.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,3,6
36,999.0,212.0,3385.0,402.0,1216.0,137.0,0.0,4.0,0.0,45.0,697.0,True,new,experiments/results/AT_2_2/focused_5/0.onnx,AT,3,7
