,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,6.0,6.0,8.0,8.0,143.0,2.0,0.0,1.0,0.0,12.51,13.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,1,0
1,7.0,6.0,10.0,8.0,148.0,2.0,0.0,1.0,0.0,12.51,12.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,2,0
2,8.0,6.0,12.0,8.0,137.0,2.0,0.0,1.0,0.0,13.5,16.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,3,0
3,9.0,6.0,14.0,8.0,131.0,2.0,0.0,1.0,0.0,14.0,13.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,4,0
4,10.0,6.0,16.0,8.0,165.0,2.0,0.0,1.0,0.0,14.99,15.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,5,0
5,11.0,6.0,18.0,8.0,168.0,2.0,0.0,1.0,0.0,15.02,17.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,6,0
6,12.0,6.0,20.0,8.0,153.0,2.0,0.0,1.0,0.0,15.51,16.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,7,0
7,13.0,6.0,22.0,8.0,159.0,2.0,0.0,1.0,0.0,15.53,20.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,8,0
8,14.0,6.0,24.0,8.0,175.0,2.0,0.0,1.0,0.0,15.53,22.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,9,0
9,15.0,6.0,26.0,8.0,164.0,2.0,0.0,1.0,0.0,16.0,20.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,10,0
10,16.0,6.0,28.0,8.0,158.0,2.0,0.0,1.0,0.0,16.0,19.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,11,0
11,17.0,6.0,30.0,8.0,145.0,2.0,0.0,1.0,0.0,15.5,25.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,12,0
12,18.0,6.0,32.0,8.0,164.0,2.0,0.0,1.0,0.0,15.98,22.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,13,0
13,19.0,6.0,34.0,8.0,171.0,2.0,0.0,1.0,0.0,15.5,29.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,14,0
14,20.0,6.0,36.0,8.0,173.0,2.0,0.0,1.0,0.0,15.5,32.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,1,15,0
15,4.0,0.0,3.0,0.0,142.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,1,0
16,27.0,23.0,45.0,33.0,168.0,4.0,0.0,1.0,0.0,15.5,28.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,2,0
17,39.0,23.0,75.0,33.0,183.0,4.0,0.0,1.0,0.0,16.48,38.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,3,0
18,53.0,23.0,113.0,33.0,192.0,4.0,0.0,1.0,0.0,17.44,47.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,4,0
19,69.0,23.0,159.0,33.0,221.0,4.0,0.0,1.0,0.0,18.0,72.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,5,0
20,87.0,23.0,213.0,33.0,215.0,4.0,0.0,1.0,0.0,19.44,78.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,6,0
21,107.0,23.0,275.0,33.0,266.0,4.0,0.0,1.0,0.0,20.96,93.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,7,0
22,129.0,23.0,345.0,33.0,266.0,4.0,0.0,1.0,0.0,22.48,100.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,8,0
23,153.0,23.0,423.0,33.0,298.0,4.0,0.0,1.0,0.0,24.0,125.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,9,0
24,179.0,23.0,509.0,33.0,333.0,4.0,0.0,1.0,0.0,26.48,163.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,10,0
25,207.0,23.0,603.0,33.0,350.0,4.0,0.0,1.0,0.0,15.33,156.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,11,0
26,237.0,23.0,705.0,33.0,374.0,4.0,0.0,1.0,0.0,18.36,180.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,12,0
27,269.0,23.0,815.0,33.0,404.0,4.0,0.0,1.0,0.0,22.4,208.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,13,0
28,303.0,23.0,933.0,33.0,479.0,4.0,0.0,1.0,0.0,25.45,264.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,14,0
29,339.0,23.0,1059.0,33.0,434.0,4.0,0.0,1.0,0.0,29.47,219.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,2,15,0
30,4.0,0.0,3.0,0.0,148.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,1,0
31,15.0,0.0,14.0,0.0,156.0,0.0,0.0,0.0,3.0,0.0,21.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,2,0
32,210.0,140.0,481.0,246.0,340.0,86.0,0.0,1.0,0.0,32.9,133.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,3,0
33,336.0,141.0,877.0,247.0,536.0,140.0,0.0,1.0,0.0,84.38,205.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,4,0
34,504.0,144.0,1459.0,253.0,884.0,206.0,0.0,1.0,0.0,53.34,289.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,5,0
35,720.0,142.0,2263.0,249.0,1189.0,284.0,0.0,1.0,0.0,130.67,372.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,6,0
36,990.0,166.0,3325.0,285.0,1820.0,374.0,0.0,1.0,0.0,15.03,525.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,7,0
37,1320.0,177.0,4681.0,302.0,2749.0,476.0,0.0,1.0,0.0,92.41,719.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,8,0
38,1716.0,150.0,6367.0,261.0,4446.0,590.0,0.0,1.0,0.0,204.68,1053.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,9,0
39,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,3,10,0
40,6.0,0.0,5.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,16.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,4,1,0
41,15.0,0.0,14.0,0.0,158.0,0.0,0.0,0.0,3.0,0.0,19.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,4,2,0
42,49.0,0.0,48.0,0.0,193.0,0.0,0.0,0.0,11.0,0.0,43.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,4,3,0
43,,,,,,,,,,,,False,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,4,4,0
44,6.0,0.0,5.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,15.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,5,1,0
45,15.0,0.0,14.0,0.0,169.0,0.0,0.0,0.0,3.0,0.0,25.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,5,2,0
46,52.0,0.0,51.0,0.0,171.0,0.0,0.0,0.0,12.0,0.0,41.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,5,3,0
47,6.0,0.0,5.0,0.0,150.0,0.0,0.0,0.0,1.0,0.0,15.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,6,1,0
48,15.0,0.0,14.0,0.0,161.0,0.0,0.0,0.0,3.0,0.0,24.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,6,2,0
49,58.0,0.0,58.0,0.0,189.0,0.0,0.0,0.0,14.0,0.0,46.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,6,3,0
50,6.0,0.0,5.0,0.0,136.0,0.0,0.0,0.0,1.0,0.0,17.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,7,1,0
51,15.0,0.0,14.0,0.0,161.0,0.0,0.0,0.0,3.0,0.0,23.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,7,2,0
52,88.0,0.0,88.0,0.0,234.0,0.0,0.0,0.0,22.0,0.0,81.0,True,new,experiments/results/AT_2_2/focused_R/0.onnx,AT,7,3,0
