,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,6.0,6.0,8.0,8.0,188.0,2.0,0.0,1.0,0.0,13.5,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,1,0.0425531914893617
1,6.0,6.0,8.0,8.0,185.0,2.0,0.0,1.0,0.0,13.51,14.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,2,0.043243243243243246
2,6.0,6.0,8.0,8.0,184.0,2.0,0.0,1.0,0.0,14.0,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,3,0.043478260869565216
3,6.0,6.0,8.0,8.0,185.0,2.0,0.0,1.0,0.0,14.51,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,4,0.043243243243243246
4,6.0,6.0,8.0,8.0,188.0,2.0,0.0,1.0,0.0,15.53,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,5,0.0425531914893617
5,6.0,6.0,8.0,8.0,186.0,2.0,0.0,1.0,0.0,15.53,15.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,6,0.043010752688172046
6,6.0,6.0,8.0,8.0,183.0,2.0,0.0,1.0,0.0,15.02,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,7,0.04371584699453552
7,6.0,6.0,8.0,8.0,187.0,2.0,0.0,1.0,0.0,15.5,18.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,8,0.0427807486631016
8,6.0,6.0,8.0,8.0,189.0,2.0,0.0,1.0,0.0,15.5,22.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,9,0.042328042328042326
9,6.0,6.0,8.0,8.0,188.0,2.0,0.0,1.0,0.0,15.5,19.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,10,0.0425531914893617
10,6.0,6.0,8.0,8.0,187.0,2.0,0.0,1.0,0.0,15.5,19.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,11,0.0427807486631016
11,6.0,6.0,8.0,8.0,194.0,2.0,0.0,1.0,0.0,15.53,21.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,12,0.041237113402061855
12,6.0,6.0,8.0,8.0,198.0,2.0,0.0,1.0,0.0,15.53,27.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,13,0.04040404040404041
13,6.0,6.0,8.0,8.0,191.0,2.0,0.0,1.0,0.0,15.53,21.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,14,0.041884816753926704
14,6.0,6.0,8.0,8.0,190.0,2.0,0.0,1.0,0.0,15.53,23.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,1,15,0.042105263157894736
15,6.0,0.0,5.0,0.0,182.0,0.0,0.0,0.0,1.0,0.0,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,1,0.027472527472527472
16,24.0,20.0,40.0,30.0,211.0,11.0,0.0,1.0,0.0,15.98,34.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,2,0.1895734597156398
17,32.0,24.0,56.0,37.0,216.0,12.0,0.0,1.0,0.0,16.48,44.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,3,0.25925925925925924
18,50.0,22.0,98.0,36.0,257.0,34.0,0.0,1.0,0.0,18.48,68.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,4,0.38132295719844356
19,64.0,29.0,132.0,45.0,270.0,46.0,0.0,1.0,0.0,21.44,73.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,5,0.4888888888888889
20,44.0,20.0,84.0,30.0,255.0,32.0,0.0,1.0,0.0,18.48,71.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,6,0.32941176470588235
21,98.0,40.0,218.0,57.0,355.0,78.0,0.0,1.0,0.0,12.81,142.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,7,0.6140845070422535
22,118.0,44.0,270.0,63.0,386.0,103.0,0.0,1.0,0.0,23.85,158.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,8,0.6994818652849741
23,140.0,41.0,328.0,60.0,451.0,132.0,0.0,1.0,0.0,33.95,190.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,9,0.7272727272727273
24,67.0,24.0,132.0,35.0,307.0,56.0,0.0,1.0,0.0,22.0,109.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/62.onnx,AT,2,10,0.42996742671009774
