,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,6.0,6.0,8.0,8.0,184.0,2.0,0.0,1.0,0.0,17.7,14.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,1,0.043478260869565216,0
1,7.0,6.0,10.0,8.0,181.0,2.0,0.0,1.0,0.0,17.7,15.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,2,0.055248618784530384,0
2,8.0,6.0,12.0,8.0,185.0,2.0,0.0,1.0,0.0,18.21,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,3,0.06486486486486487,0
3,9.0,6.0,14.0,8.0,193.0,2.0,0.0,1.0,0.0,19.2,18.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,4,0.07253886010362694,0
4,10.0,6.0,16.0,8.0,187.0,2.0,0.0,1.0,0.0,19.7,21.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,5,0.0855614973262032,0
5,11.0,6.0,18.0,8.0,193.0,2.0,0.0,1.0,0.0,20.18,21.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,6,0.09326424870466321,0
6,12.0,6.0,20.0,8.0,198.0,2.0,0.0,1.0,0.0,19.73,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,7,0.10101010101010101,0
7,13.0,6.0,22.0,8.0,203.0,2.0,0.0,1.0,0.0,20.18,22.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,8,0.10837438423645321,0
8,14.0,6.0,24.0,8.0,194.0,2.0,0.0,1.0,0.0,19.7,25.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,9,0.12371134020618557,0
9,15.0,6.0,26.0,8.0,214.0,2.0,0.0,1.0,0.0,20.18,39.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,10,0.12149532710280374,0
10,16.0,6.0,28.0,8.0,221.0,2.0,0.0,1.0,0.0,20.69,43.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,11,0.12669683257918551,0
11,17.0,6.0,30.0,8.0,249.0,2.0,0.0,1.0,0.0,20.18,51.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,12,0.12048192771084337,0
12,18.0,6.0,32.0,8.0,266.0,2.0,0.0,1.0,0.0,20.69,49.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,13,0.12030075187969924,0
13,19.0,6.0,34.0,8.0,241.0,2.0,0.0,1.0,0.0,20.69,54.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,14,0.14107883817427386,0
14,20.0,6.0,36.0,8.0,240.0,2.0,0.0,1.0,0.0,20.69,55.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,15,0.15,0
15,11.0,0.0,15.0,0.0,213.0,2.0,0.0,0.0,1.0,0.0,30.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,1,0.07042253521126761,0
16,31.0,27.0,57.0,45.0,279.0,14.0,0.0,1.0,0.0,21.14,75.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,2,0.20430107526881722,0
17,43.0,27.0,87.0,45.0,306.0,14.0,0.0,1.0,0.0,22.18,88.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,3,0.28431372549019607,0
18,57.0,27.0,125.0,45.0,288.0,16.0,0.0,1.0,0.0,23.62,82.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,4,0.4340277777777778,0
19,73.0,31.0,171.0,51.0,359.0,18.0,0.0,1.0,0.0,26.18,152.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,5,0.4763231197771588,0
20,91.0,27.0,225.0,45.0,365.0,20.0,0.0,1.0,0.0,28.66,147.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,6,0.6164383561643836,0
21,111.0,37.0,287.0,60.0,502.0,22.0,0.0,1.0,0.0,16.36,225.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,7,0.5717131474103586,0
22,133.0,35.0,357.0,57.0,619.0,24.0,0.0,1.0,0.0,22.43,370.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,8,0.5767366720516963,0
23,157.0,33.0,435.0,54.0,608.0,26.0,0.0,1.0,0.0,31.55,340.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,9,0.7154605263157895,0
24,183.0,47.0,521.0,75.0,727.0,28.0,0.0,1.0,0.0,39.67,452.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,10,0.7166437414030261,0
25,211.0,55.0,615.0,87.0,753.0,30.0,0.0,1.0,0.0,49.66,425.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,11,0.8167330677290837,0
26,241.0,31.0,717.0,51.0,746.0,32.0,0.0,1.0,0.0,61.74,441.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,12,0.9611260053619303,0
27,273.0,47.0,827.0,75.0,806.0,34.0,0.0,1.0,0.0,76.8,520.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,13,1.0260545905707197,0
28,307.0,27.0,945.0,45.0,1064.0,36.0,0.0,1.0,0.0,92.78,698.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,14,0.8881578947368421,0
29,343.0,43.0,1071.0,69.0,1272.0,38.0,0.0,1.0,0.0,115.86,874.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,15,0.8419811320754716,0
30,19.0,0.0,35.0,0.0,278.0,3.0,0.0,0.0,1.0,0.0,57.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,3,1,0.12589928057553956,0
31,53.0,0.0,84.0,0.0,297.0,3.0,0.0,0.0,3.0,0.0,87.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,3,2,0.2828282828282828,0
32,217.0,143.0,507.0,255.0,751.0,120.0,0.0,1.0,0.0,67.36,357.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,3,3,0.6750998668442078,0
33,343.0,140.0,905.0,245.0,1403.0,185.0,0.0,1.0,0.0,30.67,832.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,3,4,0.6450463292943692,0
34,513.0,157.0,1501.0,296.0,1991.0,271.0,0.0,1.0,0.0,143.82,1230.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,3,5,0.7538925163234556,0
35,727.0,136.0,2295.0,239.0,3330.0,349.0,0.0,1.0,0.0,131.42,2331.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,3,6,0.6891891891891891,0
36,,,,,,,,,,,,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,3,7,,0
37,35.0,0.0,80.0,0.0,291.0,4.0,0.0,0.0,1.0,0.0,92.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,4,1,0.27491408934707906,0
38,118.0,0.0,227.0,0.0,344.0,4.0,0.0,0.0,4.0,0.0,150.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,4,2,0.6598837209302325,0
39,389.0,0.0,702.0,0.0,529.0,4.0,0.0,0.0,16.0,0.0,314.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,4,3,1.3270321361058601,0
40,,,,,,,,,,,,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,4,4,,0
41,67.0,0.0,185.0,0.0,330.0,5.0,0.0,0.0,1.0,0.0,134.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,5,1,0.5606060606060606,0
42,263.0,0.0,620.0,0.0,788.0,5.0,0.0,0.0,5.0,0.0,523.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,5,2,0.7868020304568528,0
43,1055.0,0.0,2179.0,0.0,1637.0,5.0,0.0,0.0,49.0,0.0,1373.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,5,3,1.3310934636530238,0
44,131.0,0.0,426.0,0.0,579.0,6.0,0.0,0.0,1.0,0.0,351.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,6,1,0.7357512953367875,0
45,588.0,0.0,1669.0,0.0,1492.0,6.0,0.0,0.0,6.0,0.0,1227.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,6,2,1.1186327077747988,0
46,,,,,,,,,,,,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,6,3,,0
47,259.0,0.0,971.0,0.0,811.0,7.0,0.0,0.0,1.0,0.0,584.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,7,1,1.1972872996300863,0
48,1313.0,0.0,4382.0,0.0,4245.0,7.0,0.0,0.0,7.0,0.0,3958.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,7,2,1.0322732626619553,0
49,515.0,0.0,2188.0,0.0,2235.0,8.0,0.0,0.0,1.0,0.0,1938.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,8,1,0.9789709172259508,0
50,,,,,,,,,,,,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,8,2,,0
51,,,,,,,,,,,,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,9,1,,0
52,6.0,6.0,8.0,8.0,191.0,2.0,0.0,1.0,0.0,17.7,14.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,1,0.041884816753926704,1
53,6.0,6.0,8.0,8.0,192.0,2.0,0.0,1.0,0.0,17.7,13.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,2,0.041666666666666664,1
54,6.0,6.0,8.0,8.0,222.0,2.0,0.0,1.0,0.0,17.73,37.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,3,0.036036036036036036,1
55,6.0,6.0,8.0,8.0,201.0,2.0,0.0,1.0,0.0,18.72,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,4,0.03980099502487562,1
56,6.0,6.0,8.0,8.0,188.0,2.0,0.0,1.0,0.0,19.7,15.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,5,0.0425531914893617,1
57,6.0,6.0,8.0,8.0,193.0,2.0,0.0,1.0,0.0,19.7,15.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,6,0.04145077720207254,1
58,6.0,6.0,8.0,8.0,192.0,2.0,0.0,1.0,0.0,20.21,18.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,7,0.041666666666666664,1
59,6.0,6.0,8.0,8.0,193.0,2.0,0.0,1.0,0.0,19.7,21.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,8,0.04145077720207254,1
60,6.0,6.0,8.0,8.0,204.0,2.0,0.0,1.0,0.0,19.7,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,9,0.0392156862745098,1
61,6.0,6.0,8.0,8.0,186.0,2.0,0.0,1.0,0.0,19.7,22.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,10,0.043010752688172046,1
62,6.0,6.0,8.0,8.0,187.0,2.0,0.0,1.0,0.0,20.21,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/1.onnx,AT,1,11,0.0427807486631016,1
