,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,33,23,51,33,217,10,0,3,8,18.66,19.0,new,experiments/results/AT_2_2/labels_2h/0.onnx,AT,2,2,3.0005791187286377,0,1e-05,20,0.1,23,True,10000,True,10000,True,True,0
1,33,31,55,53,209,7,0,3,2,20.18,44.0,new,experiments/results/AT_2_2/labels_2h/1.onnx,AT,2,2,99.35139679908752,50000,1e-05,20,0.1,23,True,10000,True,10000,True,True,1
2,30,22,54,36,183,15,0,1,0,19.62,38.0,new,experiments/results/AT_2_2/labels_2h/2.onnx,AT,2,2,195.3402967453003,100000,1e-05,20,0.1,23,True,10000,True,10000,True,True,2
3,29,25,52,39,199,13,0,1,0,19.14,29.0,new,experiments/results/AT_2_2/labels_2h/3.onnx,AT,2,2,289.8969976902008,150000,1e-05,20,0.1,23,True,10000,True,10000,True,True,3
4,27,23,47,33,188,15,0,1,0,18.18,22.0,new,experiments/results/AT_2_2/labels_2h/4.onnx,AT,2,2,385.2277340888977,200000,1e-05,20,0.1,23,True,10000,True,10000,True,True,4
5,37,27,67,45,173,6,0,1,10,19.7,26.0,new,experiments/results/AT_2_2/labels_2h/5.onnx,AT,2,2,482.0008499622345,250000,1e-05,20,0.1,23,True,10000,True,10000,True,True,5
6,35,25,60,39,191,21,0,1,6,19.62,31.0,new,experiments/results/AT_2_2/labels_2h/6.onnx,AT,2,2,580.3016839027405,300000,1e-05,20,0.1,23,True,10000,True,10000,True,True,6
7,29,22,51,35,207,17,0,3,0,19.14,35.0,new,experiments/results/AT_2_2/labels_2h/7.onnx,AT,2,2,677.0611543655396,350000,1e-05,20,0.1,23,True,10000,True,10000,True,True,7
8,35,25,60,38,219,8,0,1,6,19.7,35.0,new,experiments/results/AT_2_2/labels_2h/8.onnx,AT,2,2,774.2193701267242,400000,1e-05,20,0.1,23,True,10000,True,10000,True,True,8
9,33,23,55,33,196,6,0,1,6,19.14,35.0,new,experiments/results/AT_2_2/labels_2h/9.onnx,AT,2,2,873.8187506198883,450000,1e-05,20,0.1,23,True,10000,True,10000,True,True,9
10,25,20,39,30,222,10,0,1,0,18.18,29.0,new,experiments/results/AT_2_2/labels_2h/10.onnx,AT,2,2,974.0855436325073,500000,1e-05,20,0.1,23,True,10000,True,10000,True,True,10
