,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,31,31,55,53,197,20,0,1,0,19.14,35.0,new,experiments/results/AT_2_2/labels_2h_40/0.onnx,AT,2,2,3.1391024589538574,0,1e-05,40,0.1,23,True,10000,True,10000,True,True,0
1,31,29,54,49,172,18,0,1,0,19.62,30.0,new,experiments/results/AT_2_2/labels_2h_40/1.onnx,AT,2,2,99.82159614562988,50000,1e-05,40,0.1,23,True,10000,True,10000,True,True,1
2,29,23,51,33,205,19,0,1,0,19.62,34.0,new,experiments/results/AT_2_2/labels_2h_40/2.onnx,AT,2,2,194.9329285621643,100000,1e-05,40,0.1,23,True,10000,True,10000,True,True,2
3,35,27,63,45,184,9,0,1,8,19.62,40.0,new,experiments/results/AT_2_2/labels_2h_40/3.onnx,AT,2,2,289.1209931373596,150000,1e-05,40,0.1,23,True,10000,True,10000,True,True,3
4,37,25,66,39,212,6,0,1,10,19.62,35.0,new,experiments/results/AT_2_2/labels_2h_40/4.onnx,AT,2,2,383.77440309524536,200000,1e-05,40,0.1,23,True,10000,True,10000,True,True,4
5,36,23,58,33,205,8,0,1,6,19.62,33.0,new,experiments/results/AT_2_2/labels_2h_40/5.onnx,AT,2,2,478.90278363227844,250000,1e-05,40,0.1,23,True,10000,True,10000,True,True,5
6,35,25,62,39,212,8,0,1,6,19.62,28.0,new,experiments/results/AT_2_2/labels_2h_40/6.onnx,AT,2,2,575.907238483429,300000,1e-05,40,0.1,23,True,10000,True,10000,True,True,6
7,27,22,46,36,197,15,0,2,0,18.66,27.0,new,experiments/results/AT_2_2/labels_2h_40/7.onnx,AT,2,2,673.0437986850739,350000,1e-05,40,0.1,23,True,10000,True,10000,True,True,7
8,27,25,46,39,187,17,0,3,0,18.66,23.0,new,experiments/results/AT_2_2/labels_2h_40/8.onnx,AT,2,2,773.4280414581299,400000,1e-05,40,0.1,23,True,10000,True,10000,True,True,8
9,33,23,52,33,185,5,0,1,4,19.14,30.0,new,experiments/results/AT_2_2/labels_2h_40/9.onnx,AT,2,2,877.99316239357,450000,1e-05,40,0.1,23,True,10000,True,10000,True,True,9
10,35,23,61,33,215,5,0,1,6,19.14,37.0,new,experiments/results/AT_2_2/labels_2h_40/10.onnx,AT,2,2,980.0726449489594,500000,1e-05,40,0.1,23,True,10000,True,10000,True,True,10
11,36,22,63,36,187,19,0,1,7,19.62,26.0,new,experiments/results/AT_2_2/labels_2h_40/11.onnx,AT,2,2,1080.016489982605,550000,1e-05,40,0.1,23,True,10000,True,10000,True,True,11
12,28,22,49,36,187,17,0,3,1,19.14,29.0,new,experiments/results/AT_2_2/labels_2h_40/12.onnx,AT,2,2,1182.7998204231262,600000,1e-05,40,0.1,23,True,10000,True,10000,True,True,12
13,28,25,47,39,196,17,0,4,0,19.14,31.0,new,experiments/results/AT_2_2/labels_2h_40/13.onnx,AT,2,2,1291.401249885559,650000,1e-05,40,0.1,23,True,10000,True,10000,True,True,13
14,32,22,51,35,185,11,0,1,6,19.14,25.0,new,experiments/results/AT_2_2/labels_2h_40/14.onnx,AT,2,2,1395.0711650848389,700000,1e-05,40,0.1,23,True,10000,True,10000,True,True,14
15,34,22,59,36,205,11,0,1,5,19.62,37.0,new,experiments/results/AT_2_2/labels_2h_40/15.onnx,AT,2,2,1497.6707661151886,750000,1e-05,40,0.1,23,True,10000,True,10000,True,True,15
16,35,27,62,44,204,14,0,1,6,19.62,32.0,new,experiments/results/AT_2_2/labels_2h_40/16.onnx,AT,2,2,1593.6317191123962,800000,1e-05,40,0.1,23,True,10000,True,10000,True,True,16
17,36,27,62,44,201,14,0,1,7,19.62,33.0,new,experiments/results/AT_2_2/labels_2h_40/17.onnx,AT,2,2,1690.3256523609161,850000,1e-05,40,0.1,23,True,10000,True,10000,True,True,17
18,32,22,57,36,207,15,0,3,4,19.62,30.0,new,experiments/results/AT_2_2/labels_2h_40/18.onnx,AT,2,2,1789.373946428299,900000,1e-05,40,0.1,23,True,10000,True,10000,True,True,18
19,34,25,56,39,200,6,0,2,6,19.14,38.0,new,experiments/results/AT_2_2/labels_2h_40/19.onnx,AT,2,2,1889.7908682823181,950000,1e-05,40,0.1,23,True,10000,True,10000,True,True,19
20,29,25,48,39,175,8,0,4,3,18.66,28.0,new,experiments/results/AT_2_2/labels_2h_40/20.onnx,AT,2,2,1994.4350428581238,1000000,1e-05,40,0.1,23,True,10000,True,10000,True,True,20
21,34,22,56,36,187,11,0,2,4,19.62,28.0,new,experiments/results/AT_2_2/labels_2h_40/21.onnx,AT,2,2,2104.4739475250244,1050000,1e-05,40,0.1,23,True,10000,True,10000,True,True,21
22,32,25,52,39,174,16,0,3,3,19.62,31.0,new,experiments/results/AT_2_2/labels_2h_40/22.onnx,AT,2,2,2209.607891559601,1100000,1e-05,40,0.1,23,True,10000,True,10000,True,True,22
23,29,20,45,30,176,10,0,4,2,18.66,34.0,new,experiments/results/AT_2_2/labels_2h_40/23.onnx,AT,2,2,2303.5253562927246,1150000,1e-05,40,0.1,23,True,10000,True,10000,True,True,23
24,29,23,45,33,205,10,0,3,2,18.66,27.0,new,experiments/results/AT_2_2/labels_2h_40/24.onnx,AT,2,2,2399.509915828705,1200000,1e-05,40,0.1,23,True,10000,True,10000,True,True,24
