,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,idx
0,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/0.onnx,AT,1,1,0
1,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/1.onnx,AT,1,1,1
2,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/2.onnx,AT,1,1,2
3,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/3.onnx,AT,1,1,3
4,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/4.onnx,AT,1,1,4
5,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/5.onnx,AT,1,1,5
6,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/6.onnx,AT,1,1,6
7,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/7.onnx,AT,1,1,7
8,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/8.onnx,AT,1,1,8
9,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/10.onnx,AT,1,1,10
10,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/11.onnx,AT,1,1,11
11,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/12.onnx,AT,1,1,12
12,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/13.onnx,AT,1,1,13
13,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/14.onnx,AT,1,1,14
14,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/15.onnx,AT,1,1,15
15,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/16.onnx,AT,1,1,16
16,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/17.onnx,AT,1,1,17
17,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/18.onnx,AT,1,1,18
18,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/19.onnx,AT,1,1,19
19,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/20.onnx,AT,1,1,20
20,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/21.onnx,AT,1,1,21
21,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/22.onnx,AT,1,1,22
22,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/23.onnx,AT,1,1,23
23,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/24.onnx,AT,1,1,24
24,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/25.onnx,AT,1,1,25
25,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/26.onnx,AT,1,1,26
26,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/27.onnx,AT,1,1,27
27,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/28.onnx,AT,1,1,28
28,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/29.onnx,AT,1,1,29
29,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/30.onnx,AT,1,1,30
