,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,ra 1,ra 2,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,37,27,67,45,172,4,0,1,10,18.18,22.0,new,ra_feature0,AT,2,2,12.89564061164856,10000,1e-06,20,0.1,13,True,-0.07964166,0,2.0678504,0.8176867,0.40503255,1.3004549,-0.50198025,-0.20533311,-0.12364495,-5.9604645e-07,-0.517619,-1.0664884,5.9604645e-08,0.3773065,-1.4916732
1,327,150,685,277,590,6,0,1,168,98.86,260.0,new,ra_feature0,AT,3,3,12.89564061164856,10000,1e-06,20,0.1,13,True,-0.07964166,0,2.0678504,0.8176867,0.40503255,1.3004549,-0.50198025,-0.20533311,-0.12364495,-5.9604645e-07,-0.517619,-1.0664884,5.9604645e-08,0.3773065,-1.4916732
2,37,27,67,45,179,4,0,1,10,18.18,18.0,new,ra_feature1,AT,2,2,24.727373838424683,20000,1e-06,20,0.1,13,True,-0.47580612,1,1.6267785,0.8227787,-0.1856471,1.2344713,-0.79446054,-0.6614699,0.24659829,-5.9604645e-07,-0.03635557,-1.5885689,1.1920929e-07,0.12388184,-2.140208
3,327,150,685,277,477,6,0,1,168,70.85,161.0,new,ra_feature1,AT,3,3,24.727373838424683,20000,1e-06,20,0.1,13,True,-0.47580612,1,1.6267785,0.8227787,-0.1856471,1.2344713,-0.79446054,-0.6614699,0.24659829,-5.9604645e-07,-0.03635557,-1.5885689,1.1920929e-07,0.12388184,-2.140208
4,37,27,67,45,171,4,0,1,10,18.18,22.0,new,ra_feature2,AT,2,2,36.656089544296265,30000,1e-06,20,0.1,13,True,-0.91449684,2,0.8013051,0.7623778,-0.64064515,1.043203,-1.2691463,-1.0923374,0.7307236,-5.9604645e-07,0.52698904,-1.7672757,0.0,-0.14921904,-2.3961897
5,327,148,685,274,521,6,0,1,168,69.85,187.0,new,ra_feature2,AT,3,3,36.656089544296265,30000,1e-06,20,0.1,13,True,-0.91449684,2,0.8013051,0.7623778,-0.64064515,1.043203,-1.2691463,-1.0923374,0.7307236,-5.9604645e-07,0.52698904,-1.7672757,0.0,-0.14921904,-2.3961897
6,34,22,61,36,189,20,0,1,7,18.66,18.0,new,ra_feature3,AT,2,2,48.484026193618774,40000,1e-06,20,0.1,13,True,-1.4845784,3,-0.017210308,0.4312808,-0.7689135,0.70470774,-1.6643991,-1.2419137,1.0761044,-4.7683716e-07,0.89877003,-1.7639205,0.0,-0.45201477,-2.3511422
7,288,112,621,208,780,250,0,1,124,115.85,215.0,new,ra_feature3,AT,3,3,48.484026193618774,40000,1e-06,20,0.1,13,True,-1.4845784,3,-0.017210308,0.4312808,-0.7689135,0.70470774,-1.6643991,-1.2419137,1.0761044,-4.7683716e-07,0.89877003,-1.7639205,0.0,-0.45201477,-2.3511422
8,36,27,65,45,166,19,0,1,9,18.67,15.0,new,ra_feature4,AT,2,2,60.4439423084259,50000,1e-06,20,0.1,13,True,-2.1844964,4,-0.41757345,0.08365446,-0.83823013,0.2743707,-1.910379,-1.229584,1.0084563,-3.5762787e-07,0.79576564,-1.7362789,0.0,-0.8218919,-2.2354548
9,322,145,667,262,803,238,0,1,166,112.85,142.0,new,ra_feature4,AT,3,3,60.4439423084259,50000,1e-06,20,0.1,13,True,-2.1844964,4,-0.41757345,0.08365446,-0.83823013,0.2743707,-1.910379,-1.229584,1.0084563,-3.5762787e-07,0.79576564,-1.7362789,0.0,-0.8218919,-2.2354548
