,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx
0,0.005355358123779297,0,1e-05,20,0.1,15,True,0.41150373,0
1,125.8864598274231,50000,1e-05,20,0.1,15,True,-39.0108,1
2,268.4493579864502,100000,1e-05,20,0.1,15,True,-38.59639,2
3,385.26986145973206,150000,1e-05,20,0.1,15,True,-38.226524,3
4,512.141627073288,200000,1e-05,20,0.1,15,True,-37.024086,4
5,628.0338551998138,250000,1e-05,20,0.1,15,True,-33.643074,5
6,741.2112429141998,300000,1e-05,20,0.1,15,True,-32.773193,6
7,877.9914841651917,350000,1e-05,20,0.1,15,True,-29.499962,7
8,1014.7726953029633,400000,1e-05,20,0.1,15,True,-30.778322,8
9,1145.0088312625885,450000,1e-05,20,0.1,15,True,-33.305634,9
10,1257.021650314331,500000,1e-05,20,0.1,15,True,-32.68003,10
11,1397.4579060077667,550000,1e-05,20,0.1,15,True,-32.313698,11
12,1529.1749911308289,600000,1e-05,20,0.1,15,True,-32.869144,12
13,1671.4076533317566,650000,1e-05,20,0.1,15,True,-33.344795,13
14,1799.7924010753632,700000,1e-05,20,0.1,15,True,-33.838047,14
15,1932.3529608249664,750000,1e-05,20,0.1,15,True,-32.65081,15
16,2064.12468457222,800000,1e-05,20,0.1,15,True,-33.102875,16
17,2176.797791957855,850000,1e-05,20,0.1,15,True,-32.505432,17
18,2287.6940383911133,900000,1e-05,20,0.1,15,True,-32.07746,18
19,2409.5640954971313,950000,1e-05,20,0.1,15,True,-32.947163,19
20,2546.9987185001373,1000000,1e-05,20,0.1,15,True,-32.97108,20
21,2685.0630798339844,1050000,1e-05,20,0.1,15,True,-32.361935,21
22,2829.1292946338654,1100000,1e-05,20,0.1,15,True,-29.443996,22
23,2978.7330911159515,1150000,1e-05,20,0.1,15,True,-30.00898,23
24,3116.1327600479126,1200000,1e-05,20,0.1,15,True,-27.97013,24
25,3265.3817207813263,1250000,1e-05,20,0.1,15,True,-35.116318,25
26,3418.262769460678,1300000,1e-05,20,0.1,15,True,-34.06143,26
27,3554.2242665290833,1350000,1e-05,20,0.1,15,True,-31.055048,27
28,3717.559548854828,1400000,1e-05,20,0.1,15,True,-30.074942,28
29,3858.6450839042664,1450000,1e-05,20,0.1,15,True,-31.462317,29
30,3999.9579932689667,1500000,1e-05,20,0.1,15,True,-29.861769,30
31,4152.558839559555,1550000,1e-05,20,0.1,15,True,-29.419306,31
32,4294.290495872498,1600000,1e-05,20,0.1,15,True,-29.375185,32
33,4408.818071126938,1650000,1e-05,20,0.1,15,True,-29.550692,33
34,4557.937599658966,1700000,1e-05,20,0.1,15,True,-29.19741,34
35,4686.086732149124,1750000,1e-05,20,0.1,15,True,-28.742205,35
36,4817.2243485450745,1800000,1e-05,20,0.1,15,True,-30.922827,36
37,4927.912231683731,1850000,1e-05,20,0.1,15,True,-31.00045,37
38,5095.2684643268585,1900000,1e-05,20,0.1,15,True,-32.19814,38
39,5242.6690719127655,1950000,1e-05,20,0.1,15,True,-32.97964,39
40,5391.9857614040375,2000000,1e-05,20,0.1,15,True,-31.461594,40
41,5561.5978927612305,2050000,1e-05,20,0.1,15,True,-32.369377,41
42,5724.511235237122,2100000,1e-05,20,0.1,15,True,-32.71927,42
43,5868.528197288513,2150000,1e-05,20,0.1,15,True,-30.864687,43
44,6015.31461763382,2200000,1e-05,20,0.1,15,True,-30.970648,44
45,6144.579458236694,2250000,1e-05,20,0.1,15,True,-33.442894,45
46,6322.683422327042,2300000,1e-05,20,0.1,15,True,-31.449451,46
47,6424.601922512054,2350000,1e-05,20,0.1,15,True,-33.80219,47
48,6570.2467720508575,2400000,1e-05,20,0.1,15,True,-34.786224,48
49,6718.476312160492,2450000,1e-05,20,0.1,15,True,-33.648773,49
50,6882.826769828796,2500000,1e-05,20,0.1,15,True,-35.031258,50
51,7034.767678976059,2550000,1e-05,20,0.1,15,True,-35.024082,51
52,7153.571139097214,2600000,1e-05,20,0.1,15,True,-35.270176,52
