,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,6,6,8,8,180,2,0,1,0,13.51,13.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,1,0.044444444444444446,0
1,7,6,10,8,185,2,0,1,0,13.52,14.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,2,0.05405405405405406,0
2,8,6,12,8,182,2,0,1,0,14.0,15.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,3,0.06593406593406594,0
3,9,6,14,8,187,2,0,1,0,13.53,18.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,4,0.0748663101604278,0
4,10,6,16,8,188,2,0,1,0,14.99,20.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,5,0.0851063829787234,0
5,11,6,18,8,189,2,0,1,0,15.5,20.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,6,0.09523809523809523,0
6,12,6,20,8,189,2,0,1,0,15.5,20.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,7,0.10582010582010581,0
7,13,6,22,8,190,2,0,1,0,15.5,22.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,8,0.11578947368421053,0
8,14,6,24,8,191,2,0,1,0,15.5,21.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,9,0.1256544502617801,0
9,15,6,26,8,222,2,0,1,0,15.5,28.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,10,0.11711711711711711,0
10,16,6,28,8,196,2,0,1,0,15.53,23.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,11,0.14285714285714285,0
11,17,6,30,8,211,2,0,1,0,16.0,34.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,12,0.14218009478672985,0
12,18,6,32,8,202,2,0,1,0,16.0,29.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,13,0.15841584158415842,0
13,19,6,34,8,204,2,0,1,0,16.0,34.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,14,0.16666666666666666,0
14,20,6,36,8,201,2,0,1,0,16.48,33.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,1,15,0.1791044776119403,0
15,9,0,8,0,181,0,0,0,1,0.0,15.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,2,1,0.04419889502762431,0
16,31,27,57,45,213,7,0,1,0,15.98,42.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,2,2,0.2676056338028169,0
17,43,27,89,45,243,7,0,1,0,16.96,70.0,false,False,new,experiments/results/AT_2_2/sample3NoFeature/0.onnx,AT,2,3,0.3662551440329218,0
