,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,6.0,6.0,8.0,8.0,199.0,2.0,0.0,1.0,0.0,12.03,13.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,1,0
1,7.0,6.0,10.0,8.0,191.0,2.0,0.0,1.0,0.0,12.54,11.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,2,0
2,8.0,6.0,12.0,8.0,192.0,2.0,0.0,1.0,0.0,13.05,14.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,3,0
3,9.0,6.0,14.0,8.0,172.0,2.0,0.0,1.0,0.0,13.53,13.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,4,0
4,10.0,6.0,16.0,8.0,192.0,2.0,0.0,1.0,0.0,14.48,16.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,5,0
5,11.0,6.0,18.0,8.0,175.0,2.0,0.0,1.0,0.0,14.99,13.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,6,0
6,12.0,6.0,20.0,8.0,180.0,2.0,0.0,1.0,0.0,14.99,18.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,7,0
7,13.0,6.0,22.0,8.0,196.0,2.0,0.0,1.0,0.0,14.99,17.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,8,0
8,14.0,6.0,24.0,8.0,196.0,2.0,0.0,1.0,0.0,15.53,17.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,9,0
9,15.0,6.0,26.0,8.0,198.0,2.0,0.0,1.0,0.0,15.02,19.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,10,0
10,16.0,6.0,28.0,8.0,211.0,2.0,0.0,1.0,0.0,15.53,21.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,11,0
11,17.0,6.0,30.0,8.0,203.0,2.0,0.0,1.0,0.0,15.53,22.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,12,0
12,18.0,6.0,32.0,8.0,207.0,2.0,0.0,1.0,0.0,16.0,27.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,13,0
13,19.0,6.0,34.0,8.0,217.0,2.0,0.0,1.0,0.0,16.0,29.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,14,0
14,20.0,6.0,36.0,8.0,209.0,2.0,0.0,1.0,0.0,15.5,31.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,1,15,0
15,20.0,0.0,23.0,0.0,198.0,1.0,0.0,0.0,1.0,0.0,20.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,1,0
16,31.0,27.0,57.0,45.0,215.0,6.0,0.0,1.0,0.0,15.44,26.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,2,0
17,43.0,27.0,89.0,45.0,237.0,6.0,0.0,1.0,0.0,16.48,54.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,3,0
18,57.0,27.0,129.0,45.0,272.0,6.0,0.0,1.0,0.0,16.96,69.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,4,0
19,73.0,31.0,177.0,51.0,280.0,6.0,0.0,1.0,0.0,17.92,87.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,5,0
20,91.0,27.0,233.0,45.0,312.0,6.0,0.0,1.0,0.0,18.96,112.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,6,0
21,111.0,37.0,297.0,60.0,313.0,6.0,0.0,1.0,0.0,20.48,124.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,7,0
22,133.0,35.0,369.0,57.0,374.0,6.0,0.0,1.0,0.0,21.92,171.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,8,0
23,157.0,33.0,449.0,54.0,434.0,6.0,0.0,1.0,0.0,23.92,219.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,9,0
24,183.0,47.0,537.0,75.0,451.0,6.0,0.0,1.0,0.0,26.48,213.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,10,0
25,211.0,55.0,633.0,87.0,444.0,6.0,0.0,1.0,0.0,8.35,208.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,11,0
26,241.0,31.0,737.0,51.0,449.0,6.0,0.0,1.0,0.0,16.34,236.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,12,0
27,273.0,47.0,849.0,75.0,574.0,6.0,0.0,1.0,0.0,21.43,335.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,13,0
28,307.0,27.0,969.0,45.0,529.0,6.0,0.0,1.0,0.0,25.58,294.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,14,0
29,343.0,43.0,1097.0,69.0,577.0,6.0,0.0,1.0,0.0,28.73,355.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,2,15,0
30,26.0,0.0,32.0,0.0,210.0,1.0,0.0,0.0,1.0,0.0,32.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,1,0
31,76.0,0.0,101.0,0.0,263.0,1.0,0.0,0.0,2.0,0.0,77.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,2,0
32,219.0,149.0,517.0,276.0,408.0,20.0,0.0,1.0,0.0,8.05,161.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,3,0
33,345.0,149.0,919.0,276.0,467.0,16.0,0.0,1.0,0.0,25.31,254.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,4,0
34,513.0,160.0,1507.0,301.0,766.0,18.0,0.0,1.0,0.0,49.71,475.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,5,0
35,729.0,152.0,2317.0,281.0,1018.0,19.0,0.0,1.0,0.0,84.82,665.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,6,0
36,999.0,188.0,3384.0,341.0,1674.0,22.0,0.0,1.0,0.0,12.73,1195.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,7,0
37,1329.0,253.0,4747.0,478.0,2667.0,25.0,0.0,1.0,0.0,125.31,2123.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,8,0
38,1725.0,176.0,6439.0,332.0,4029.0,19.0,0.0,1.0,0.0,110.96,3366.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,9,0
39,,,,,,,,,,,,False,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,3,10,0
40,67.0,0.0,106.0,0.0,275.0,1.0,0.0,0.0,1.0,0.0,86.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,4,1,0
41,163.0,0.0,256.0,0.0,345.0,1.0,0.0,0.0,4.0,0.0,137.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,4,2,0
42,614.0,0.0,1000.0,0.0,588.0,1.0,0.0,0.0,15.0,0.0,372.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,4,3,0
43,1865.0,1062.0,5305.0,2152.0,2780.0,87.0,0.0,1.0,0.0,15.94,1946.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,4,4,0
44,,,,,,,,,,,,False,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,4,5,0
45,133.0,0.0,247.0,0.0,320.0,2.0,0.0,0.0,1.0,0.0,128.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,5,1,0
46,573.0,0.0,1109.0,0.0,630.0,2.0,0.0,0.0,6.0,0.0,410.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,5,2,0
47,1688.0,0.0,3018.0,0.0,1725.0,2.0,0.0,0.0,20.0,0.0,1439.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,5,3,0
48,,,,,,,,,,,,False,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,5,4,0
49,309.0,0.0,635.0,0.0,529.0,3.0,0.0,0.0,1.0,0.0,319.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,6,1,0
50,1636.0,0.0,3330.0,0.0,1919.0,3.0,0.0,0.0,22.0,0.0,1636.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,6,2,0
51,,,,,,,,,,,,False,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,6,3,0
52,214.0,0.0,504.0,0.0,444.0,4.0,0.0,0.0,1.0,0.0,238.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,7,1,0
53,2177.0,0.0,5075.0,0.0,4304.0,2.0,0.0,0.0,14.0,0.0,3970.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,7,2,0
54,650.0,0.0,1986.0,0.0,1283.0,7.0,0.0,0.0,1.0,0.0,1038.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,8,1,0
55,1720.0,0.0,4379.0,0.0,3565.0,2.0,0.0,0.0,3.0,0.0,3230.0,True,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,8,2,0
56,,,,,,,,,,,,False,new,experiments/results/AT_2_2/visits6432/0.onnx,AT,9,1,0
57,6.0,6.0,8.0,8.0,186.0,2.0,0.0,1.0,0.0,12.03,12.0,True,new,experiments/results/AT_2_2/visits6432/1.onnx,AT,1,1,1
