,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,513,144,1195,268,828,6,0,1,276,139.88,378.0,new,experiments/results/AT_3_3/5mill/0.onnx,AT,3,4,4.531418800354004,0,1e-05,20,0.1,23,True,10000,True,10000,True,True,0
1,513,133,1070,242,1526,337,0,1,191,60.51,871.0,new,experiments/results/AT_3_3/5mill/1.onnx,AT,3,4,132.71316170692444,50000,1e-05,20,0.1,23,True,10000,True,10000,True,True,1
2,513,158,1095,294,2074,350,0,5,192,158.31,1207.0,new,experiments/results/AT_3_3/5mill/2.onnx,AT,3,4,273.1153817176819,100000,1e-05,20,0.1,23,True,10000,True,10000,True,True,2
3,504,160,1110,300,1951,377,0,2,217,171.51,1147.0,new,experiments/results/AT_3_3/5mill/3.onnx,AT,3,4,414.9327816963196,150000,1e-05,20,0.1,23,True,10000,True,10000,True,True,3
4,416,214,887,376,1752,288,0,6,77,168.3,1037.0,new,experiments/results/AT_3_3/5mill/4.onnx,AT,3,4,558.3475694656372,200000,1e-05,20,0.1,23,True,10000,True,10000,True,True,4
5,410,153,840,230,1674,247,0,1,81,58.33,1013.0,new,experiments/results/AT_3_3/5mill/5.onnx,AT,3,4,699.9583041667938,250000,1e-05,20,0.1,23,True,10000,True,10000,True,True,5
6,435,191,898,302,1479,233,0,1,116,171.14,896.0,new,experiments/results/AT_3_3/5mill/6.onnx,AT,3,4,842.1126630306244,300000,1e-05,20,0.1,23,True,10000,True,10000,True,True,6
7,316,110,704,164,1050,141,0,1,19,80.94,612.0,new,experiments/results/AT_3_3/5mill/7.onnx,AT,3,4,977.7360110282898,350000,1e-05,20,0.1,23,True,10000,True,10000,True,True,7
8,246,101,508,177,761,115,0,1,0,121.51,380.0,new,experiments/results/AT_3_3/5mill/8.onnx,AT,3,4,1105.9757463932037,400000,1e-05,20,0.1,23,True,10000,True,10000,True,True,8
9,297,122,681,225,870,303,0,1,33,36.86,401.0,new,experiments/results/AT_3_3/5mill/9.onnx,AT,3,4,1232.045301437378,450000,1e-05,20,0.1,23,True,10000,True,10000,True,True,9
10,296,130,678,230,997,363,0,1,35,60.79,489.0,new,experiments/results/AT_3_3/5mill/10.onnx,AT,3,4,1357.6519429683685,500000,1e-05,20,0.1,23,True,10000,True,10000,True,True,10
11,513,148,1173,274,1271,430,0,3,254,106.51,436.0,new,experiments/results/AT_3_3/5mill/11.onnx,AT,3,4,1480.4963676929474,550000,1e-05,20,0.1,23,True,10000,True,10000,True,True,11
12,335,120,798,221,1050,416,0,1,48,131.9,434.0,new,experiments/results/AT_3_3/5mill/12.onnx,AT,3,4,1603.9733819961548,600000,1e-05,20,0.1,23,True,10000,True,10000,True,True,12
13,372,121,875,220,1134,402,0,1,102,99.2,453.0,new,experiments/results/AT_3_3/5mill/13.onnx,AT,3,4,1727.3165669441223,650000,1e-05,20,0.1,23,True,10000,True,10000,True,True,13
14,320,116,757,180,1066,306,0,1,48,16.03,492.0,new,experiments/results/AT_3_3/5mill/14.onnx,AT,3,4,1852.0514078140259,700000,1e-05,20,0.1,23,True,10000,True,10000,True,True,14
15,344,130,808,212,969,10,0,1,77,107.84,532.0,new,experiments/results/AT_3_3/5mill/15.onnx,AT,3,4,1980.5987763404846,750000,1e-05,20,0.1,23,True,10000,True,10000,True,True,15
16,513,150,1195,277,1382,10,0,1,276,24.6,809.0,new,experiments/results/AT_3_3/5mill/16.onnx,AT,3,4,2107.3108472824097,800000,1e-05,20,0.1,23,True,10000,True,10000,True,True,16
17,503,145,1132,264,1287,461,0,1,229,95.42,498.0,new,experiments/results/AT_3_3/5mill/17.onnx,AT,3,4,2239.324887752533,850000,1e-05,20,0.1,23,True,10000,True,10000,True,True,17
18,390,134,945,236,1320,429,0,1,45,52.17,650.0,new,experiments/results/AT_3_3/5mill/18.onnx,AT,3,4,2366.3851964473724,900000,1e-05,20,0.1,23,True,10000,True,10000,True,True,18
19,211,119,421,210,649,188,0,1,15,51.45,259.0,new,experiments/results/AT_3_3/5mill/19.onnx,AT,3,4,2491.593650341034,950000,1e-05,20,0.1,23,True,10000,True,10000,True,True,19
20,454,113,1008,186,1080,408,0,1,199,130.17,313.0,new,experiments/results/AT_3_3/5mill/20.onnx,AT,3,4,2616.410500526428,1000000,1e-05,20,0.1,23,True,10000,True,10000,True,True,20
21,363,144,916,264,1185,461,0,1,46,14.26,505.0,new,experiments/results/AT_3_3/5mill/21.onnx,AT,3,4,2742.3196964263916,1050000,1e-05,20,0.1,23,True,10000,True,10000,True,True,21
22,301,91,554,148,718,201,0,1,102,44.78,258.0,new,experiments/results/AT_3_3/5mill/22.onnx,AT,3,4,2869.445869207382,1100000,1e-05,20,0.1,23,True,10000,True,10000,True,True,22
23,350,138,871,237,1102,354,0,1,31,25.36,457.0,new,experiments/results/AT_3_3/5mill/23.onnx,AT,3,4,2996.1535992622375,1150000,1e-05,20,0.1,23,True,10000,True,10000,True,True,23
24,489,128,1026,207,1329,12,0,1,144,75.23,842.0,new,experiments/results/AT_3_3/5mill/24.onnx,AT,3,4,3125.4980392456055,1200000,1e-05,20,0.1,23,True,10000,True,10000,True,True,24
