,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,avg q,idx
0,4.531418800354004,0,1e-05,20,0.1,23,True,10000,True,10000,True,True,-0.033401985,0
1,132.71316170692444,50000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-3.9783185,1
2,273.1153817176819,100000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-7.9743896,2
3,414.9327816963196,150000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-11.764411,3
4,558.3475694656372,200000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-15.883514,4
5,699.9583041667938,250000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-20.455906,5
6,842.1126630306244,300000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-25.331995,6
7,977.7360110282898,350000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-30.094988,7
8,1105.9757463932037,400000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-34.496296,8
9,1232.045301437378,450000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-38.658924,9
10,1357.6519429683685,500000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-42.727562,10
11,1480.4963676929474,550000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-46.71502,11
12,1603.9733819961548,600000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-50.769836,12
13,1727.3165669441223,650000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-54.39928,13
14,1852.0514078140259,700000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-57.910484,14
15,1980.5987763404846,750000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-61.80696,15
16,2107.3108472824097,800000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-64.62365,16
17,2239.324887752533,850000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-68.39304,17
18,2366.3851964473724,900000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-71.89391,18
19,2491.593650341034,950000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-74.79244,19
20,2616.410500526428,1000000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-77.5859,20
21,2742.3196964263916,1050000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-80.433014,21
22,2869.445869207382,1100000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-83.44583,22
23,2996.1535992622375,1150000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-85.92014,23
24,3125.4980392456055,1200000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-89.22253,24
25,3256.2286944389343,1250000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-91.10116,25
26,3387.9843380451202,1300000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-93.30514,26
27,3518.1296656131744,1350000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-95.49223,27
28,3654.3345935344696,1400000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-97.30602,28
29,3794.20791387558,1450000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-100.05687,29
30,3934.5061271190643,1500000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-102.8187,30
31,4074.3320622444153,1550000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-105.673965,31
32,4214.705090045929,1600000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-108.323105,32
33,4357.402772903442,1650000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-110.98521,33
34,4497.577904224396,1700000,1e-05,20,0.1,23,True,10000,True,10000,True,True,-113.490295,34
