,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,43,27,69,45,163,19,0,1,2,17.14,17.0,new,base_features_2h0,AT,2,2,64.2716794013977,50000,1e-05,20,0.1,11,False,-184.39165,0,-0.057407923,-0.25841618,-0.7887527,0.34641004,0.07251998,-4.7683716e-07,-5.2441564,-4.640906,-0.47173834,-0.86527026,-4.757975
1,46,25,76,39,147,22,0,1,3,17.62,12.0,new,base_features_2h1,AT,2,2,137.6070680618286,100000,1e-05,20,0.1,11,False,-355.21606,1,-0.6294769,0.49227262,-1.4360976,1.333282,1.5601331,-4.7683716e-07,-4.62162,-3.7834613,-0.38563424,-0.8925407,-3.9973068
2,32,23,46,33,134,8,0,1,3,16.18,17.0,new,base_features_2h2,AT,2,2,209.56876015663147,150000,1e-05,20,0.1,11,False,-378.18002,2,-0.39315563,1.2474968,-1.1755881,1.4166799,3.127428,-3.5762787e-07,-4.979712,-3.2811737,-0.66527635,-2.6045983,-3.057941
3,34,23,50,33,129,10,0,2,4,16.18,12.0,new,base_features_2h3,AT,2,2,281.8052132129669,200000,1e-05,20,0.1,11,False,-382.73993,3,-0.20575371,2.775209,-0.064386934,2.4480405,3.6742694,-4.7683716e-07,-5.222166,-4.238595,-0.6541848,-1.6636882,-4.3398514
4,44,25,70,39,128,7,0,1,5,16.66,17.0,new,base_features_2h4,AT,2,2,353.4822931289673,250000,1e-05,20,0.1,11,False,-391.66507,4,-0.21979526,1.3014994,-1.1485066,2.5496945,3.008762,-2.3841858e-07,-4.6484127,-4.0542192,-0.46440744,-1.8214217,-3.9935617
5,22,20,33,30,149,6,0,4,1,16.18,10.0,new,base_features_2h5,AT,2,2,425.85561752319336,300000,1e-05,20,0.1,11,False,-359.31677,5,1.0594598,1.4303633,0.7258121,1.9381399,2.0762043,0.0,-3.246345,-0.60646343,-0.34350532,-1.6926744,-1.768026
6,39,22,61,36,148,12,0,4,4,16.66,13.0,new,base_features_2h6,AT,2,2,498.9854471683502,350000,1e-05,20,0.1,11,False,-368.54626,6,1.3842429,2.1714537,0.6749215,-0.47313052,2.5448084,-2.3841858e-07,-4.533191,-2.2820554,-0.6810921,-1.3523134,-3.022843
7,37,23,53,33,136,11,0,4,6,16.66,18.0,new,base_features_2h7,AT,2,2,571.4877688884735,400000,1e-05,20,0.1,11,False,-367.19183,7,0.23928575,3.713014,-0.3201676,3.0039907,3.3747458,-2.3841858e-07,-5.5229034,-3.7586699,-0.8237357,-1.5378747,-4.147784
8,36,25,58,39,137,14,0,4,7,16.66,16.0,new,base_features_2h8,AT,2,2,645.0670864582062,450000,1e-05,20,0.1,11,False,-390.8369,8,0.66538554,1.7771635,-0.15372108,2.0512812,3.6540408,-5.9604645e-08,-4.320664,-2.1439462,-0.74975884,-3.3868086,-2.2241604
9,44,22,72,36,147,15,0,1,8,16.66,14.0,new,base_features_2h9,AT,2,2,719.5255868434906,500000,1e-05,20,0.1,11,False,-368.72565,9,1.3074082,1.3629003,0.52543885,-0.20666939,2.0646188,-3.5762787e-07,-3.492396,-1.3903775,-0.4600858,-0.8642691,-3.0053864
10,22,20,33,30,140,7,0,1,1,15.7,7.0,new,base_features_2h10,AT,2,2,793.9159777164459,550000,1e-05,20,0.1,11,False,-375.34854,10,-0.5133721,1.5598974,1.2489676,0.5852526,2.0147603,-1.1920929e-07,-3.0574825,-0.3878938,-0.60569364,-1.7705607,-1.8454823
11,46,22,68,36,154,8,0,1,8,16.66,15.0,new,base_features_2h11,AT,2,2,867.3423490524292,600000,1e-05,20,0.1,11,False,-372.2481,11,1.1415335,1.772113,0.6173763,1.1578054,2.2920713,0.0,-3.2633216,-1.3987546,-0.5231561,-2.0248394,-2.7789273
12,39,25,59,39,163,11,0,1,6,16.66,13.0,new,base_features_2h12,AT,2,2,940.9773192405701,650000,1e-05,20,0.1,11,False,-411.0848,12,-0.42218268,1.5766072,-1.2389938,1.9876189,2.622459,-1.1920929e-07,-4.5512605,-3.0329537,-0.7212878,-2.187984,-2.8484995
13,39,22,58,36,149,12,0,1,6,16.66,13.0,new,base_features_2h13,AT,2,2,1016.0146026611328,700000,1e-05,20,0.1,11,False,-368.3957,13,1.2405326,1.4486947,0.23806003,1.2828348,1.9257501,-1.7881393e-07,-2.590127,-0.73904896,-0.46653774,-0.9686844,-2.428376
14,39,25,58,39,150,14,0,2,5,16.66,15.0,new,base_features_2h14,AT,2,2,1092.2013058662415,750000,1e-05,20,0.1,11,False,-374.87976,14,-0.24941275,2.8461075,-1.2273134,2.1331563,2.944682,-2.3841858e-07,-3.3417695,-0.81087303,-0.7077605,-0.015133023,-1.7579528
15,39,22,63,36,147,11,0,1,10,16.66,16.0,new,base_features_2h15,AT,2,2,1169.1786887645721,800000,1e-05,20,0.1,11,False,-362.50427,15,-0.18140921,2.6569247,0.9234202,1.357261,2.9526956,-1.7881393e-07,-3.2961018,-1.1729383,-0.7303009,-1.4614744,-3.0708306
16,39,22,64,36,127,8,0,1,11,16.66,11.0,new,base_features_2h16,AT,2,2,1246.3984739780426,850000,1e-05,20,0.1,11,False,-406.12994,16,-0.071014814,2.895476,-0.8238487,1.9209026,3.6565933,-5.662441e-07,-4.327401,-2.617712,-1.0581714,-2.1707225,-2.332943
17,39,20,57,30,128,7,0,1,5,16.66,10.0,new,base_features_2h17,AT,2,2,1323.8013834953308,900000,1e-05,20,0.1,11,False,-377.97418,17,1.3056399,2.0953047,-0.17678198,1.0001208,1.997306,-1.1920929e-07,-2.2897727,-0.13336349,-0.5941019,-0.95281065,-1.0529171
18,39,27,57,43,160,14,0,1,5,16.66,13.0,new,base_features_2h18,AT,2,2,1401.1789073944092,950000,1e-05,20,0.1,11,False,-399.29626,18,-0.42976773,3.0391757,0.37592047,0.018695712,3.1724365,-5.364418e-07,-3.942554,-2.8047633,-0.7880823,-1.8701936,-2.2627563
19,39,25,60,39,161,15,0,1,7,16.66,11.0,new,base_features_2h19,AT,2,2,1480.2408471107483,1000000,1e-05,20,0.1,11,False,-346.47803,19,1.0675774,2.1617942,0.77294403,0.1535512,2.0342464,-2.682209e-07,-2.1210227,0.3150251,-0.6107693,0.10711801,-0.4555993
20,39,20,60,30,147,9,0,2,5,16.66,20.0,new,base_features_2h20,AT,2,2,1561.629090309143,1050000,1e-05,20,0.1,11,False,-388.84503,20,-0.7119588,2.1766257,0.87343913,1.0265516,2.8665004,-1.5832484e-07,-2.8420122,-1.3028815,-0.55361295,-1.7880322,-0.47548008
21,45,25,62,37,131,10,0,1,7,16.66,13.0,new,base_features_2h21,AT,2,2,1640.221655845642,1100000,1e-05,20,0.1,11,False,-394.54697,21,-0.63497,2.6234083,-0.72735876,2.006834,2.7409837,-3.5762787e-07,-3.641296,-1.6832454,-0.8175278,-0.7580267,-2.4144802
22,39,25,61,39,150,6,0,2,5,16.66,18.0,new,base_features_2h22,AT,2,2,1716.2637069225311,1150000,1e-05,20,0.1,11,False,-409.95563,22,-0.10699411,1.8104293,-0.8891649,-0.0422222,2.716486,-4.7683716e-07,-4.3314104,-2.66123,-1.0426339,-2.0896254,-2.250105
23,42,25,63,39,126,6,0,1,4,16.66,15.0,new,base_features_2h23,AT,2,2,1792.414951324463,1200000,1e-05,20,0.1,11,False,-367.53293,23,0.85569555,2.8984296,0.6512831,0.30257592,2.8228104,-5.364418e-07,-2.9687455,-0.6966784,-0.8782272,-1.2459671,-1.238512
24,51,25,80,37,133,4,0,1,11,16.66,15.0,new,base_features_2h24,AT,2,2,1868.6645557880402,1250000,1e-05,20,0.1,11,False,-399.91397,24,0.08149201,3.658955,-0.49372286,1.1651998,3.8036675,-4.4889748e-07,-4.1959457,-2.6000419,-0.9739438,-1.5895109,-2.4900026
