,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,436,121,819,218,151,89,0,1,167,41.9,7.0,new,mock,AT,3,3,0
1,447,112,812,188,121,93,0,1,169,32.91,12.0,new,mock,AT,3,3,1
2,423,115,777,194,165,98,0,1,149,36.82,5.0,new,mock,AT,3,3,2
3,445,145,881,274,143,94,0,1,188,40.88,5.0,new,mock,AT,3,3,3
4,456,119,926,217,143,95,0,1,214,41.87,7.0,new,mock,AT,3,3,4
5,439,130,846,239,197,156,0,1,170,54.8,9.0,new,mock,AT,3,3,5
6,432,116,826,202,164,137,0,1,177,50.81,4.0,new,mock,AT,3,3,6
7,453,145,884,263,192,157,0,1,192,61.83,5.0,new,mock,AT,3,3,7
8,401,106,715,177,100,58,0,1,133,21.88,6.0,new,mock,AT,3,3,8
9,449,165,894,312,152,118,0,9,202,45.91,3.0,new,mock,AT,3,3,9
10,424,106,765,178,124,89,0,1,134,33.85,7.0,new,mock,AT,3,3,10
11,457,171,893,325,217,121,0,18,203,45.83,7.0,new,mock,AT,3,3,11
12,423,114,765,180,118,80,0,1,132,29.86,6.0,new,mock,AT,3,3,12
13,445,149,878,271,191,143,0,1,195,54.86,8.0,new,mock,AT,3,3,13
14,424,119,786,206,128,104,0,1,162,36.87,5.0,new,mock,AT,3,3,14
15,462,124,866,222,141,91,0,1,193,40.95,3.0,new,mock,AT,3,3,15
16,452,127,860,219,167,128,0,1,184,52.88,4.0,new,mock,AT,3,3,16
17,457,153,914,282,109,30,0,1,199,23.18,4.0,new,mock,AT,3,3,17
18,440,129,848,218,160,105,0,1,178,42.97,5.0,new,mock,AT,3,3,18
19,443,149,866,271,152,116,0,1,187,44.87,6.0,new,mock,AT,3,3,19
