,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,118.0,2.0,0.0,1.0,0.0,15.7,7.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,119.0,2.0,0.0,1.0,0.0,16.18,4.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,122.0,2.0,0.0,1.0,0.0,16.18,6.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,148.0,2.0,0.0,1.0,0.0,16.19,7.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,140.0,2.0,0.0,1.0,0.0,16.19,4.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,140.0,2.0,0.0,1.0,0.0,16.18,4.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,127.0,2.0,0.0,1.0,0.0,16.72,8.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,159.0,2.0,0.0,1.0,0.0,16.66,5.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,146.0,2.0,0.0,1.0,0.0,16.66,5.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,127.0,2.0,0.0,1.0,0.0,17.14,5.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,146.0,2.0,0.0,1.0,0.0,17.14,8.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,132.0,2.0,0.0,1.0,0.0,17.14,6.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,130.0,2.0,0.0,1.0,0.0,17.69,5.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,129.0,2.0,0.0,1.0,0.0,17.63,6.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,133.0,2.0,0.0,1.0,0.0,18.18,3.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,1,15
15,15.0,11.0,21.0,14.0,138.0,6.0,0.0,1.0,0.0,16.66,15.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,1
16,21.0,15.0,30.0,20.0,175.0,9.0,0.0,1.0,0.0,17.14,13.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,2
17,28.0,19.0,41.0,26.0,170.0,13.0,0.0,1.0,0.0,18.18,23.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,3
18,32.0,23.0,47.0,32.0,173.0,15.0,0.0,1.0,0.0,18.66,34.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,4
19,36.0,27.0,53.0,38.0,168.0,17.0,0.0,1.0,0.0,19.14,29.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,5
20,40.0,31.0,59.0,44.0,177.0,19.0,0.0,1.0,0.0,20.18,29.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,6
21,44.0,35.0,65.0,50.0,209.0,21.0,0.0,1.0,0.0,20.66,26.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,7
22,48.0,39.0,71.0,56.0,181.0,23.0,0.0,1.0,0.0,21.62,32.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,8
23,52.0,43.0,77.0,62.0,215.0,25.0,0.0,1.0,0.0,22.66,26.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,9
24,56.0,47.0,83.0,68.0,193.0,27.0,0.0,1.0,0.0,23.62,29.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,10
25,60.0,51.0,89.0,74.0,214.0,29.0,0.0,1.0,0.0,24.66,32.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,11
26,64.0,55.0,95.0,80.0,248.0,31.0,0.0,1.0,0.0,25.62,37.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,12
27,68.0,59.0,101.0,86.0,258.0,33.0,0.0,1.0,0.0,27.14,34.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,13
28,72.0,63.0,107.0,92.0,280.0,35.0,0.0,1.0,0.0,28.18,46.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,14
29,76.0,67.0,113.0,98.0,235.0,37.0,0.0,1.0,0.0,29.62,32.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,2,15
30,48.0,23.0,74.0,30.0,196.0,25.0,0.0,1.0,0.0,21.14,38.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,1
31,99.0,29.0,170.0,39.0,284.0,67.0,0.0,1.0,0.0,13.72,78.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,2
32,177.0,37.0,320.0,51.0,374.0,127.0,0.0,1.0,0.0,58.76,120.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,3
33,258.0,61.0,479.0,87.0,451.0,190.0,0.0,1.0,0.0,120.85,168.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,4
34,355.0,108.0,671.0,157.0,650.0,264.0,0.0,1.0,0.0,79.7,268.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,5
35,472.0,93.0,902.0,135.0,874.0,351.0,0.0,1.0,0.0,98.15,352.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,6
36,614.0,105.0,1181.0,153.0,1202.0,454.0,0.0,1.0,0.0,63.15,486.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,7
37,767.0,125.0,1484.0,183.0,1496.0,565.0,0.0,1.0,0.0,53.4,656.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,8
38,938.0,150.0,1823.0,221.0,1993.0,688.0,0.0,1.0,0.0,164.2,920.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,9
39,1127.0,159.0,2198.0,234.0,2603.0,823.0,0.0,1.0,0.0,142.6,1233.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,10
40,1334.0,175.0,2609.0,258.0,3425.0,970.0,0.0,1.0,0.0,102.05,1644.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,11
41,1554.0,235.0,3047.0,348.0,4293.0,1126.0,0.0,1.0,0.0,307.85,2117.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,12
42,1797.0,224.0,3530.0,332.0,5499.0,1297.0,0.0,1.0,0.0,276.19,2788.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,13
43,2058.0,221.0,4049.0,327.0,7097.0,1480.0,0.0,1.0,0.0,461.08,3599.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,14
44,2342.0,251.0,4613.0,372.0,9330.0,1678.0,0.0,1.0,0.0,129.33,4773.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,3,15
45,163.0,47.0,278.0,62.0,337.0,108.0,0.0,1.0,0.0,51.67,112.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,1
46,509.0,68.0,998.0,93.0,972.0,456.0,0.0,1.0,0.0,76.13,458.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,2
47,1168.0,77.0,2423.0,107.0,3228.0,1103.0,0.0,1.0,0.0,63.36,1851.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,3
48,2254.0,104.0,4799.0,147.0,10718.0,2131.0,0.0,1.0,0.0,305.57,6588.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,4
49,3755.0,218.0,8129.0,318.0,32316.0,3541.0,0.0,1.0,0.0,393.86,19589.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,5
50,5861.0,351.0,12809.0,515.0,87869.0,5465.0,0.0,1.0,0.0,65.76,51508.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,6
51,8651.0,334.0,19025.0,490.0,201568.0,7965.0,0.0,1.0,0.0,500.18,116541.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,7
52,12221.0,575.0,26993.0,849.0,427555.0,11113.0,0.0,1.0,0.0,94.47,245417.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,8
53,,,,,,,,,,,,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,4,9
54,568.0,95.0,1057.0,126.0,1446.0,477.0,0.0,1.0,0.0,142.42,842.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,5,1
55,2478.0,111.0,5149.0,150.0,14048.0,2481.0,0.0,1.0,0.0,389.93,8908.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,5,2
56,7770.0,153.0,17410.0,212.0,191820.0,8368.0,0.0,1.0,0.0,301.83,116048.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,5,3
57,,,,,,,,,,,,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,5,4
58,1975.0,191.0,3931.0,254.0,9920.0,1938.0,0.0,1.0,0.0,378.84,6841.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,6,1
59,12040.0,211.0,26671.0,284.0,489085.0,13388.0,0.0,1.0,0.0,117.57,323617.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,6,2
60,,,,,,,,,,,,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,6,3
61,6772.0,383.0,14184.0,510.0,135924.0,7387.0,0.0,1.0,0.0,490.32,94748.0,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,7,1
62,,,,,,,,,,,,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,7,2
63,,,,,,,,,,,,new,experiments/results/BW_2_2/5mill_C/6.onnx,BW,8,1
