,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,5.0,5.0,6.0,6.0,134.0,2.0,0.0,1.0,0.0,15.7,6.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,1,0
1,7.0,5.0,10.0,6.0,123.0,3.0,0.0,1.0,0.0,16.18,7.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,2,0
2,9.0,5.0,14.0,6.0,129.0,4.0,0.0,1.0,0.0,16.18,7.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,3,0
3,11.0,5.0,18.0,6.0,128.0,5.0,0.0,1.0,0.0,16.19,8.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,4,0
4,13.0,5.0,22.0,6.0,134.0,6.0,0.0,1.0,0.0,16.67,11.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,5,0
5,15.0,5.0,26.0,6.0,141.0,7.0,0.0,1.0,0.0,16.66,9.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,6,0
6,17.0,5.0,30.0,6.0,181.0,8.0,0.0,1.0,0.0,17.2,10.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,7,0
7,19.0,5.0,34.0,6.0,172.0,9.0,0.0,1.0,0.0,17.14,13.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,8,0
8,21.0,5.0,38.0,6.0,145.0,10.0,0.0,1.0,0.0,17.63,13.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,9,0
9,23.0,5.0,42.0,6.0,179.0,11.0,0.0,1.0,0.0,18.18,22.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,10,0
10,25.0,5.0,46.0,6.0,159.0,12.0,0.0,1.0,0.0,18.18,20.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,11,0
11,27.0,5.0,50.0,6.0,180.0,13.0,0.0,1.0,0.0,18.66,18.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,12,0
12,29.0,5.0,54.0,6.0,163.0,14.0,0.0,1.0,0.0,19.14,25.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,13,0
13,31.0,5.0,58.0,6.0,169.0,15.0,0.0,1.0,0.0,19.62,28.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,14,0
14,33.0,5.0,62.0,6.0,204.0,16.0,0.0,1.0,0.0,19.7,29.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,1,15,0
15,17.0,14.0,30.0,23.0,180.0,6.0,0.0,1.0,0.0,17.14,17.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,1,0
16,37.0,30.0,81.0,60.0,211.0,16.0,0.0,1.0,0.0,20.18,41.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,2,0
17,65.0,57.0,158.0,124.0,259.0,29.0,0.0,1.0,0.0,28.18,70.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,3,0
18,101.0,86.0,261.0,200.0,301.0,48.0,0.0,1.0,0.0,24.69,107.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,4,0
19,145.0,129.0,390.0,308.0,329.0,71.0,0.0,1.0,0.0,54.73,118.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,5,0
20,197.0,174.0,545.0,428.0,510.0,102.0,0.0,1.0,0.0,102.79,244.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,6,0
21,257.0,182.0,690.0,433.0,619.0,103.0,0.0,1.0,0.0,21.6,310.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,7,0
22,325.0,165.0,855.0,381.0,649.0,104.0,0.0,1.0,0.0,111.59,329.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,8,0
23,401.0,129.0,1037.0,286.0,816.0,102.0,0.0,1.0,0.0,88.01,505.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,9,0
24,485.0,126.0,1242.0,276.0,1061.0,103.0,0.0,1.0,0.0,106.46,680.0,new,experiments/results/BW_2_2/5mill_C/0.onnx,BW,2,10,0
