,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,150.0,2.0,0.0,1.0,0.0,16.21,10.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,16.69,11.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,176.0,2.0,0.0,1.0,0.0,16.69,11.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,155.0,2.0,0.0,1.0,0.0,16.7,11.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,157.0,2.0,0.0,1.0,0.0,16.69,14.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,156.0,2.0,0.0,1.0,0.0,17.18,11.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,167.0,2.0,0.0,1.0,0.0,17.23,12.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,159.0,2.0,0.0,1.0,0.0,17.17,11.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,177.0,2.0,0.0,1.0,0.0,17.66,12.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,166.0,2.0,0.0,1.0,0.0,17.65,14.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,198.0,2.0,0.0,1.0,0.0,17.65,14.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,176.0,2.0,0.0,1.0,0.0,18.18,10.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,18.24,16.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,183.0,2.0,0.0,1.0,0.0,17.7,12.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,166.0,2.0,0.0,1.0,0.0,18.18,14.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,1,15
15,14.0,11.0,20.0,14.0,202.0,6.0,0.0,1.0,0.0,20.18,27.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,2,1
16,15.0,15.0,20.0,20.0,187.0,6.0,0.0,1.0,0.0,19.7,28.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,2,2
17,21.0,19.0,29.0,26.0,207.0,9.0,0.0,1.0,0.0,20.69,39.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,2,3
18,25.0,23.0,35.0,32.0,197.0,11.0,0.0,1.0,0.0,21.17,43.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,2,4
19,30.0,27.0,43.0,38.0,205.0,14.0,0.0,1.0,0.0,21.17,48.0,new,experiments/results/BW_2_2/5mill_JE20/100.onnx,BW,2,5
