,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,123.0,2.0,0.0,1.0,0.0,15.62,4.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,118.0,2.0,0.0,1.0,0.0,15.63,6.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,152.0,2.0,0.0,1.0,0.0,15.64,7.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,122.0,2.0,0.0,1.0,0.0,15.62,4.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,119.0,2.0,0.0,1.0,0.0,15.7,4.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,122.0,2.0,0.0,1.0,0.0,16.18,4.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,149.0,2.0,0.0,1.0,0.0,16.18,6.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,125.0,2.0,0.0,1.0,0.0,16.19,4.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,124.0,2.0,0.0,1.0,0.0,16.67,4.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,137.0,2.0,0.0,1.0,0.0,16.66,6.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,160.0,2.0,0.0,1.0,0.0,16.67,5.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,128.0,2.0,0.0,1.0,0.0,17.14,3.0,new,experiments/results/BW_2_2/5mill_RA/45.onnx,BW,1,12
