,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,140.0,2.0,0.0,1.0,0.0,15.7,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,141.0,2.0,0.0,1.0,0.0,15.7,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,177.0,2.0,0.0,1.0,0.0,15.7,7.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,158.0,2.0,0.0,1.0,0.0,15.7,7.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,141.0,2.0,0.0,1.0,0.0,15.7,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,141.0,2.0,0.0,1.0,0.0,15.7,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,140.0,2.0,0.0,1.0,0.0,15.7,6.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,160.0,2.0,0.0,1.0,0.0,15.7,9.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,139.0,2.0,0.0,1.0,0.0,15.7,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,161.0,2.0,0.0,1.0,0.0,15.7,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,142.0,2.0,0.0,1.0,0.0,16.18,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,159.0,2.0,0.0,1.0,0.0,16.18,6.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,141.0,2.0,0.0,1.0,0.0,16.18,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,141.0,2.0,0.0,1.0,0.0,16.18,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,149.0,2.0,0.0,1.0,0.0,16.69,8.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,1,15
15,15.0,11.0,21.0,14.0,160.0,6.0,0.0,1.0,0.0,19.2,17.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,1
16,21.0,15.0,30.0,20.0,156.0,9.0,0.0,1.0,0.0,19.2,19.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,2
17,25.0,19.0,36.0,26.0,158.0,11.0,0.0,1.0,0.0,19.2,18.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,3
18,29.0,23.0,42.0,32.0,195.0,13.0,0.0,1.0,0.0,19.68,32.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,4
19,33.0,27.0,48.0,38.0,168.0,15.0,0.0,1.0,0.0,19.7,25.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,5
20,37.0,31.0,54.0,44.0,191.0,17.0,0.0,1.0,0.0,20.18,31.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,6
21,41.0,35.0,60.0,50.0,199.0,19.0,0.0,1.0,0.0,20.18,60.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,7
22,45.0,39.0,66.0,56.0,171.0,21.0,0.0,1.0,0.0,20.18,31.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,8
23,49.0,43.0,72.0,62.0,209.0,23.0,0.0,1.0,0.0,20.66,39.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,9
24,51.0,47.0,75.0,68.0,204.0,24.0,0.0,1.0,0.0,20.66,43.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,10
25,55.0,51.0,81.0,74.0,206.0,26.0,0.0,1.0,0.0,21.14,36.0,True,new,experiments/results/BW_2_2/5mill_RR10k_NORA/42.onnx,BW,2,11
