,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
0,37,30,80,60,177,1,0,1,0,17.62,17.0,new,experiments/results/BW_2_2/TB_5mill/0.onnx,BW,2,2,1.4150035381317139,0,1e-05,20,0.1,15,True,10000,True,10000,True,0
1,37,33,77,60,154,17,0,7,0,18.18,19.0,new,experiments/results/BW_2_2/TB_5mill/1.onnx,BW,2,2,71.44617557525635,50000,1e-05,20,0.1,15,True,10000,True,10000,True,1
2,29,18,52,29,147,10,0,13,0,17.14,16.0,new,experiments/results/BW_2_2/TB_5mill/2.onnx,BW,2,2,141.77509832382202,100000,1e-05,20,0.1,15,True,10000,True,10000,True,2
3,21,15,30,20,156,7,0,1,0,16.66,10.0,new,experiments/results/BW_2_2/TB_5mill/3.onnx,BW,2,2,213.2570128440857,150000,1e-05,20,0.1,15,True,10000,True,10000,True,3
4,19,15,25,20,159,5,0,1,0,16.66,13.0,new,experiments/results/BW_2_2/TB_5mill/4.onnx,BW,2,2,284.04301953315735,200000,1e-05,20,0.1,15,True,10000,True,10000,True,4
5,31,15,49,20,180,17,0,1,0,17.14,12.0,new,experiments/results/BW_2_2/TB_5mill/5.onnx,BW,2,2,356.4189796447754,250000,1e-05,20,0.1,15,True,10000,True,10000,True,5
6,28,15,49,20,143,19,0,1,0,17.14,11.0,new,experiments/results/BW_2_2/TB_5mill/6.onnx,BW,2,2,428.4364309310913,300000,1e-05,20,0.1,15,True,10000,True,10000,True,6
7,26,15,38,20,160,10,0,1,0,16.66,12.0,new,experiments/results/BW_2_2/TB_5mill/7.onnx,BW,2,2,501.10444831848145,350000,1e-05,20,0.1,15,True,10000,True,10000,True,7
8,21,15,27,20,155,6,0,1,0,16.66,8.0,new,experiments/results/BW_2_2/TB_5mill/8.onnx,BW,2,2,574.0353999137878,400000,1e-05,20,0.1,15,True,10000,True,10000,True,8
9,21,15,27,20,138,6,0,1,0,16.66,13.0,new,experiments/results/BW_2_2/TB_5mill/9.onnx,BW,2,2,647.2465136051178,450000,1e-05,20,0.1,15,True,10000,True,10000,True,9
10,21,15,27,20,154,6,0,1,0,16.66,6.0,new,experiments/results/BW_2_2/TB_5mill/10.onnx,BW,2,2,721.6125440597534,500000,1e-05,20,0.1,15,True,10000,True,10000,True,10
11,21,15,29,20,171,6,0,1,0,16.66,11.0,new,experiments/results/BW_2_2/TB_5mill/11.onnx,BW,2,2,795.5717580318451,550000,1e-05,20,0.1,15,True,10000,True,10000,True,11
