,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,16.0,2.0,0.0,1.0,0.0,15.14,1.0,new,r,BW,1,1
1,5.0,5.0,6.0,6.0,17.0,2.0,0.0,1.0,0.0,15.17,0.0,new,r,BW,1,2
2,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.16,0.0,new,r,BW,1,3
3,5.0,5.0,6.0,6.0,20.0,2.0,0.0,1.0,0.0,15.21,0.0,new,r,BW,1,4
4,5.0,5.0,6.0,6.0,20.0,2.0,0.0,1.0,0.0,15.14,0.0,new,r,BW,1,5
5,5.0,5.0,6.0,6.0,19.0,2.0,0.0,1.0,0.0,15.66,0.0,new,r,BW,1,6
6,5.0,5.0,6.0,6.0,21.0,2.0,0.0,1.0,0.0,15.67,0.0,new,r,BW,1,7
7,5.0,5.0,6.0,6.0,23.0,2.0,0.0,1.0,0.0,15.66,0.0,new,r,BW,1,8
8,5.0,5.0,6.0,6.0,22.0,2.0,0.0,1.0,0.0,15.7,0.0,new,r,BW,1,9
9,5.0,5.0,6.0,6.0,23.0,2.0,0.0,1.0,0.0,16.18,0.0,new,r,BW,1,10
10,5.0,5.0,6.0,6.0,27.0,2.0,0.0,1.0,0.0,16.18,0.0,new,r,BW,1,11
11,5.0,5.0,6.0,6.0,25.0,2.0,0.0,1.0,0.0,16.66,0.0,new,r,BW,1,12
12,5.0,5.0,6.0,6.0,26.0,2.0,0.0,1.0,0.0,16.66,0.0,new,r,BW,1,13
13,5.0,5.0,6.0,6.0,28.0,2.0,0.0,1.0,0.0,16.66,0.0,new,r,BW,1,14
14,5.0,5.0,6.0,6.0,42.0,2.0,0.0,1.0,0.0,17.14,0.0,new,r,BW,1,15
15,17.0,14.0,28.0,23.0,25.0,9.0,0.0,1.0,0.0,15.62,0.0,new,r,BW,2,1
16,30.0,19.0,55.0,30.0,35.0,15.0,0.0,1.0,0.0,16.66,1.0,new,r,BW,2,2
17,50.0,23.0,103.0,36.0,48.0,30.0,0.0,1.0,0.0,18.18,1.0,new,r,BW,2,3
18,74.0,27.0,169.0,42.0,63.0,51.0,0.0,1.0,0.0,21.62,0.0,new,r,BW,2,4
19,102.0,31.0,239.0,48.0,83.0,73.0,0.0,1.0,0.0,26.66,1.0,new,r,BW,2,5
20,137.0,35.0,335.0,54.0,128.0,108.0,0.0,1.0,0.0,13.71,0.0,new,r,BW,2,6
21,170.0,39.0,430.0,60.0,126.0,139.0,0.0,1.0,0.0,23.78,2.0,new,r,BW,2,7
22,210.0,43.0,542.0,66.0,211.0,177.0,0.0,1.0,0.0,39.83,4.0,new,r,BW,2,8
23,254.0,47.0,674.0,72.0,188.0,228.0,0.0,1.0,0.0,62.91,5.0,new,r,BW,2,9
24,302.0,51.0,809.0,78.0,253.0,274.0,0.0,1.0,0.0,90.02,0.0,new,r,BW,2,10
25,354.0,55.0,970.0,84.0,350.0,334.0,0.0,1.0,0.0,127.1,3.0,new,r,BW,2,11
26,410.0,59.0,1141.0,90.0,366.0,399.0,0.0,1.0,0.0,29.35,6.0,new,r,BW,2,12
27,470.0,63.0,1309.0,96.0,468.0,454.0,0.0,1.0,0.0,81.35,5.0,new,r,BW,2,13
28,534.0,67.0,1511.0,102.0,662.0,534.0,0.0,1.0,0.0,12.21,5.0,new,r,BW,2,14
