,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,8.0,14.66,1.0,Open+BFS,r,BW,1,1
1,10.0,5.0,14.0,6.0,10.0,2.0,0.0,1.0,7.0,14.66,1.0,Open+BFS,r,BW,1,2
2,10.0,5.0,14.0,6.0,9.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,3
3,10.0,5.0,14.0,6.0,11.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,4
4,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,5
5,10.0,5.0,14.0,6.0,9.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,6
6,10.0,5.0,14.0,6.0,9.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,7
7,10.0,5.0,14.0,6.0,9.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,8
8,10.0,5.0,14.0,6.0,9.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,9
9,10.0,5.0,14.0,6.0,9.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,10
10,10.0,5.0,14.0,6.0,10.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,11
11,10.0,5.0,14.0,6.0,10.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,12
12,10.0,5.0,14.0,6.0,10.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,13
13,10.0,5.0,14.0,6.0,10.0,2.0,0.0,1.0,7.0,14.66,0.0,Open+BFS,r,BW,1,14
14,10.0,5.0,14.0,6.0,10.0,2.0,0.0,1.0,7.0,15.14,0.0,Open+BFS,r,BW,1,15
15,38.0,17.0,62.0,28.0,15.0,4.0,0.0,1.0,32.0,15.14,0.0,Open+BFS,r,BW,2,1
16,59.0,21.0,110.0,34.0,22.0,11.0,0.0,1.0,42.0,16.18,0.0,Open+BFS,r,BW,2,2
17,48.0,12.0,89.0,15.0,19.0,8.0,0.0,1.0,31.0,15.62,0.0,Open+BFS,r,BW,2,3
18,113.0,46.0,256.0,92.0,48.0,44.0,0.0,1.0,71.0,23.14,1.0,Open+BFS,r,BW,2,4
19,146.0,69.0,350.0,145.0,71.0,68.0,0.0,1.0,87.0,8.44,0.0,Open+BFS,r,BW,2,5
20,183.0,90.0,454.0,199.0,106.0,93.0,0.0,1.0,104.0,19.45,0.0,Open+BFS,r,BW,2,6
21,224.0,121.0,578.0,274.0,116.0,131.0,0.0,1.0,122.0,36.5,0.0,Open+BFS,r,BW,2,7
22,269.0,153.0,714.0,355.0,165.0,172.0,0.0,1.0,141.0,62.46,1.0,Open+BFS,r,BW,2,8
23,318.0,189.0,864.0,447.0,217.0,219.0,0.0,1.0,161.0,93.5,1.0,Open+BFS,r,BW,2,9
24,389.0,265.0,1096.0,648.0,369.0,289.0,0.0,1.0,192.0,17.42,0.0,Open+BFS,r,BW,2,10
25,428.0,270.0,1206.0,659.0,379.0,316.0,0.0,1.0,204.0,49.32,1.0,Open+BFS,r,BW,2,11
26,489.0,318.0,1400.0,784.0,513.0,376.0,0.0,1.0,227.0,128.42,5.0,Open+BFS,r,BW,2,12
27,554.0,370.0,1606.0,920.0,597.0,440.0,0.0,1.0,251.0,73.0,4.0,Open+BFS,r,BW,2,13
28,623.0,429.0,1822.0,1072.0,775.0,511.0,0.0,1.0,276.0,52.32,1.0,Open+BFS,r,BW,2,14
29,696.0,486.0,2058.0,1225.0,946.0,584.0,0.0,1.0,302.0,54.52,3.0,Open+BFS,r,BW,2,15
30,155.0,44.0,299.0,95.0,45.0,8.0,0.0,1.0,144.0,20.66,1.0,Open+BFS,r,BW,3,1
31,349.0,76.0,766.0,164.0,160.0,64.0,0.0,1.0,231.0,38.66,4.0,Open+BFS,r,BW,3,2
32,590.0,107.0,1447.0,244.0,365.0,171.0,0.0,1.0,353.0,19.71,2.0,Open+BFS,r,BW,3,3
33,1017.0,227.0,2820.0,577.0,1071.0,451.0,0.0,1.0,571.0,123.16,2.0,Open+BFS,r,BW,3,4
34,1307.0,258.0,3700.0,655.0,1608.0,675.0,0.0,1.0,685.0,120.1,3.0,Open+BFS,r,BW,3,5
35,1802.0,249.0,5353.0,621.0,3319.0,1039.0,0.0,1.0,903.0,251.18,4.0,Open+BFS,r,BW,3,6
36,2346.0,275.0,7213.0,686.0,6098.0,1473.0,0.0,1.0,1108.0,170.55,12.0,Open+BFS,r,BW,3,7
37,3259.0,463.0,10566.0,1217.0,14071.0,2265.0,0.0,1.0,1484.0,347.03,10.0,Open+BFS,r,BW,3,8
38,3863.0,446.0,12537.0,1130.0,19887.0,2818.0,0.0,1.0,1710.0,257.04,16.0,Open+BFS,r,BW,3,9
39,4784.0,420.0,15905.0,1068.0,35583.0,3743.0,0.0,1.0,2048.0,316.15,10.0,Open+BFS,r,BW,3,10
40,5822.0,505.0,19768.0,1290.0,58009.0,4727.0,0.0,1.0,2409.0,308.87,23.0,Open+BFS,r,BW,3,11
41,7542.0,1021.0,26440.0,2727.0,120738.0,6413.0,0.0,1.0,3031.0,336.2,31.0,Open+BFS,r,BW,3,12
42,8346.0,665.0,29277.0,1721.0,152323.0,7395.0,0.0,1.0,3268.0,348.12,35.0,Open+BFS,r,BW,3,13
43,9823.0,755.0,34914.0,1955.0,233844.0,8897.0,0.0,1.0,3745.0,328.57,47.0,Open+BFS,r,BW,3,14
44,11456.0,773.0,41217.0,2008.0,347244.0,10819.0,0.0,1.0,4256.0,366.49,47.0,Open+BFS,r,BW,3,15
45,652.0,200.0,1448.0,543.0,320.0,16.0,0.0,1.0,660.0,71.16,3.0,Open+BFS,r,BW,4,1
46,2336.0,306.0,5950.0,834.0,3018.0,471.0,0.0,1.0,1584.0,52.57,10.0,Open+BFS,r,BW,4,2
47,4810.0,332.0,13677.0,867.0,18459.0,1877.0,0.0,1.0,2694.0,313.42,7.0,Open+BFS,r,BW,4,3
48,6944.0,356.0,20717.0,910.0,46711.0,3334.0,0.0,1.0,3527.0,344.66,27.0,Open+BFS,r,BW,4,4
49,10512.0,391.0,33039.0,989.0,134052.0,5916.0,0.0,1.0,5091.0,377.45,44.0,Open+BFS,r,BW,4,5
50,16900.0,990.0,56378.0,2914.0,463411.0,10803.0,0.0,1.0,7732.0,373.57,93.0,Open+BFS,r,BW,4,6
51,,,,,,,,,,,,Open+BFS,r,BW,4,7
52,,,,,,,,,,,,Open+BFS,r,BW,4,8
53,,,,,,,,,,,,Open+BFS,r,BW,4,9
54,,,,,,,,,,,,Open+BFS,r,BW,4,10
55,,,,,,,,,,,,Open+BFS,r,BW,4,11
56,,,,,,,,,,,,Open+BFS,r,BW,4,12
57,,,,,,,,,,,,Open+BFS,r,BW,4,13
58,,,,,,,,,,,,Open+BFS,r,BW,4,14
59,,,,,,,,,,,,Open+BFS,r,BW,4,15
60,2773.0,736.0,6893.0,2293.0,2186.0,31.0,0.0,1.0,3016.0,33.08,6.0,Open+BFS,r,BW,5,1
61,14590.0,1830.0,40652.0,6077.0,154458.0,2474.0,0.0,1.0,10003.0,402.62,55.0,Open+BFS,r,BW,5,2
62,,,,,,,,,,,,Open+BFS,r,BW,5,3
63,,,,,,,,,,,,Open+BFS,r,BW,5,4
64,,,,,,,,,,,,Open+BFS,r,BW,5,5
65,,,,,,,,,,,,Open+BFS,r,BW,5,6
66,11826.0,2093.0,32186.0,7576.0,46516.0,64.0,0.0,1.0,13684.0,379.51,31.0,Open+BFS,r,BW,6,1
