,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,1
1,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,2
2,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,3
3,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,BW,1,4
4,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.67,1.0,True,new,mock,BW,1,5
5,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,0.0,True,new,mock,BW,1,6
6,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,7
7,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,0.0,True,new,mock,BW,1,8
8,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,9
9,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,10
10,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,11
11,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,BW,1,12
12,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,13
13,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,BW,1,14
14,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,15
15,16.0,14.0,28.0,23.0,25.0,11.0,0.0,1.0,0.0,14.67,1.0,True,new,mock,BW,2,1
16,37.0,23.0,75.0,40.0,33.0,38.0,0.0,1.0,0.0,15.7,2.0,True,new,mock,BW,2,2
17,65.0,43.0,152.0,88.0,61.0,82.0,0.0,1.0,0.0,19.14,4.0,True,new,mock,BW,2,3
18,101.0,71.0,255.0,158.0,66.0,149.0,0.0,1.0,0.0,26.18,13.0,True,new,mock,BW,2,4
19,145.0,107.0,384.0,250.0,98.0,229.0,0.0,1.0,0.0,17.39,15.0,True,new,mock,BW,2,5
20,197.0,151.0,539.0,364.0,134.0,336.0,0.0,1.0,0.0,41.48,14.0,True,new,mock,BW,2,6
21,257.0,203.0,720.0,500.0,189.0,457.0,0.0,1.0,0.0,74.46,11.0,True,new,mock,BW,2,7
22,325.0,263.0,927.0,658.0,290.0,597.0,0.0,1.0,0.0,123.5,22.0,True,new,mock,BW,2,8
23,401.0,331.0,1160.0,838.0,368.0,757.0,0.0,1.0,0.0,44.47,19.0,True,new,mock,BW,2,9
24,468.0,446.0,1380.0,1148.0,447.0,911.0,0.0,1.0,0.0,127.49,25.0,True,new,mock,BW,2,10
25,577.0,534.0,1708.0,1383.0,608.0,1130.0,0.0,1.0,0.0,126.13,27.0,True,new,mock,BW,2,11
26,677.0,630.0,2019.0,1640.0,775.0,1335.0,0.0,1.0,0.0,131.54,29.0,True,new,mock,BW,2,12
27,785.0,734.0,2356.0,1919.0,1014.0,1555.0,0.0,1.0,0.0,22.38,22.0,True,new,mock,BW,2,13
28,901.0,846.0,2719.0,2220.0,1271.0,1797.0,0.0,1.0,0.0,107.56,38.0,True,new,mock,BW,2,14
29,1025.0,966.0,3108.0,2543.0,1575.0,2047.0,0.0,1.0,0.0,37.06,26.0,True,new,mock,BW,2,15
30,60.0,53.0,131.0,116.0,43.0,62.0,0.0,8.0,0.0,17.62,5.0,True,new,mock,BW,3,1
31,213.0,192.0,633.0,523.0,146.0,357.0,0.0,64.0,0.0,45.45,22.0,True,new,mock,BW,3,2
32,507.0,459.0,1718.0,1393.0,545.0,1027.0,0.0,168.0,0.0,40.67,18.0,True,new,mock,BW,3,3
33,977.0,859.0,3549.0,2785.0,1337.0,1919.0,0.0,625.0,0.0,85.26,34.0,True,new,mock,BW,3,4
34,1715.0,1586.0,6498.0,5308.0,4503.0,3728.0,0.0,1010.0,0.0,124.19,49.0,True,new,mock,BW,3,5
35,2734.0,2458.0,10686.0,8472.0,13160.0,6629.0,0.0,1289.0,0.0,58.14,73.0,True,new,mock,BW,3,6
36,4083.0,3729.0,16339.0,13054.0,42891.0,11670.0,0.0,540.0,0.0,304.72,104.0,True,new,mock,BW,3,7
37,5803.0,5225.0,23621.0,18637.0,102088.0,17140.0,0.0,629.0,0.0,313.57,149.0,True,new,mock,BW,3,8
38,7969.0,7516.0,32878.0,26871.0,200478.0,23598.0,0.0,1254.0,0.0,258.44,238.0,True,new,mock,BW,3,9
39,10611.0,9598.0,44261.0,34899.0,387635.0,31488.0,0.0,2077.0,0.0,160.91,388.0,True,new,mock,BW,3,10
40,,,,,,,,,,,,False,new,mock,BW,3,11
41,252.0,178.0,739.0,460.0,171.0,401.0,0.0,68.0,0.0,59.52,14.0,True,new,mock,BW,4,1
42,1286.0,888.0,5156.0,3090.0,4141.0,3605.0,0.0,252.0,0.0,80.18,32.0,True,new,mock,BW,4,2
43,4039.0,3229.0,18188.0,12616.0,49079.0,12644.0,0.0,1467.0,0.0,280.78,113.0,True,new,mock,BW,4,3
44,9897.0,8021.0,47575.0,33448.0,447951.0,34640.0,0.0,2949.0,0.0,201.97,303.0,True,new,mock,BW,4,4
45,,,,,,,,,,,,False,new,mock,BW,4,5
