,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,66,33,129,60,161,23,0,4,51,19.14,37.0,new,base_features0,BW,2,2,10.588021516799927,10000,1e-06,20,0.1,11,False,0.034809176,0,-1.0096,-0.32397413,-0.2329273,-0.15812925,0.7881078,4.7683716e-07,2.3180408,-1.4481319,-0.8559385,1.1193295,-0.1403799
1,867,413,2353,1282,1976,391,0,9,590,152.46,1482.0,new,base_features0,BW,3,3,10.588021516799927,10000,1e-06,20,0.1,11,False,0.034809176,0,-1.0096,-0.32397413,-0.2329273,-0.15812925,0.7881078,4.7683716e-07,2.3180408,-1.4481319,-0.8559385,1.1193295,-0.1403799
2,66,33,128,60,167,27,0,5,51,19.14,24.0,new,base_features1,BW,2,2,20.86869478225708,20000,1e-06,20,0.1,11,False,-0.32229537,1,-0.8235848,-0.68954456,-0.7128925,-0.2612893,0.84632623,4.0233135e-07,2.0452368,-1.6322443,-0.8411937,0.9679794,-0.428501
3,867,407,2321,1251,2348,711,0,56,590,93.63,1690.0,new,base_features1,BW,3,3,20.86869478225708,20000,1e-06,20,0.1,11,False,-0.32229537,1,-0.8235848,-0.68954456,-0.7128925,-0.2612893,0.84632623,4.0233135e-07,2.0452368,-1.6322443,-0.8411937,0.9679794,-0.428501
4,66,33,126,60,185,23,0,11,51,18.66,33.0,new,base_features2,BW,2,2,31.247862577438354,30000,1e-06,20,0.1,11,False,-0.7175408,2,-0.73228204,-0.93270445,-1.0802956,-0.36133695,0.88518435,2.5331974e-07,1.7909181,-1.736285,-0.815176,0.82898223,-0.665847
5,867,383,2264,1131,2086,803,0,64,590,20.52,1444.0,new,base_features2,BW,3,3,31.247862577438354,30000,1e-06,20,0.1,11,False,-0.7175408,2,-0.73228204,-0.93270445,-1.0802956,-0.36133695,0.88518435,2.5331974e-07,1.7909181,-1.736285,-0.815176,0.82898223,-0.665847
6,66,30,131,60,171,1,0,1,51,18.18,30.0,new,base_features3,BW,2,2,41.55444312095642,40000,1e-06,20,0.1,11,False,-1.1860099,3,-0.70425206,-1.1359123,-1.3402898,-0.44267058,0.87278306,2.9802322e-07,1.5290563,-1.8312805,-0.81608164,0.66281825,-0.8931974
7,830,411,2139,1192,2099,520,0,267,553,114.18,1566.0,new,base_features3,BW,3,3,41.55444312095642,40000,1e-06,20,0.1,11,False,-1.1860099,3,-0.70425206,-1.1359123,-1.3402898,-0.44267058,0.87278306,2.9802322e-07,1.5290563,-1.8312805,-0.81608164,0.66281825,-0.8931974
8,66,30,131,60,151,1,0,1,51,18.18,31.0,new,base_features4,BW,2,2,51.850069522857666,50000,1e-06,20,0.1,11,False,-1.759677,4,-0.719791,-1.2702162,-1.569752,-0.4923946,0.8187531,-5.9604645e-08,1.2521982,-1.907635,-0.82380843,0.45903254,-1.1026365
9,837,387,2207,1149,2237,717,0,156,560,63.34,1525.0,new,base_features4,BW,3,3,51.850069522857666,50000,1e-06,20,0.1,11,False,-1.759677,4,-0.719791,-1.2702162,-1.569752,-0.4923946,0.8187531,-5.9604645e-08,1.2521982,-1.907635,-0.82380843,0.45903254,-1.1026365
10,56,29,108,54,150,14,0,13,43,18.18,30.0,new,base_features5,BW,2,2,62.13315773010254,60000,1e-06,20,0.1,11,False,-2.4716642,5,-0.779399,-1.3845017,-1.7785767,-0.5225787,0.73911357,-1.1920929e-07,0.95955265,-1.9606311,-0.8137928,0.24591158,-1.2988075
11,849,433,2268,1307,2171,844,0,47,574,138.26,1358.0,new,base_features5,BW,3,3,62.13315773010254,60000,1e-06,20,0.1,11,False,-2.4716642,5,-0.779399,-1.3845017,-1.7785767,-0.5225787,0.73911357,-1.1920929e-07,0.95955265,-1.9606311,-0.8137928,0.24591158,-1.2988075
