,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,166.0,2.0,0.0,1.0,0.0,12.48,11.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,13.5,13.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,13.5,13.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,13.5,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,177.0,2.0,0.0,1.0,0.0,12.54,12.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,12.54,15.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,13.05,12.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,13.05,16.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,13.53,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,12.54,13.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,12.54,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,181.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,182.0,2.0,0.0,1.0,0.0,13.02,15.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,12.51,14.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,1,15
15,11.0,11.0,14.0,14.0,173.0,4.0,0.0,1.0,0.0,15.02,17.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,1
16,15.0,15.0,20.0,20.0,179.0,5.0,0.0,1.0,0.0,15.53,19.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,2
17,19.0,19.0,26.0,26.0,190.0,7.0,0.0,1.0,0.0,16.0,24.0,False,new,experiments/results/BW_2_2/boolean/40.onnx,BW,2,3
