,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,5.0,5.0,6.0,6.0,168.0,2.0,0.0,1.0,0.0,12.48,13.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,1,0
1,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,12.48,13.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,2,0
2,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.48,12.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,3,0
3,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,12.48,15.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,4,0
4,5.0,5.0,6.0,6.0,169.0,2.0,0.0,1.0,0.0,12.48,12.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,5,0
5,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,12.0,14.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,6,0
6,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,12.0,16.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,7,0
7,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,12.03,12.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,8,0
8,5.0,5.0,6.0,6.0,176.0,2.0,0.0,1.0,0.0,12.03,14.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,9,0
9,5.0,5.0,6.0,6.0,176.0,2.0,0.0,1.0,0.0,12.03,12.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,10,0
10,5.0,5.0,6.0,6.0,175.0,2.0,0.0,1.0,0.0,12.0,11.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,11,0
11,5.0,5.0,6.0,6.0,177.0,2.0,0.0,1.0,0.0,12.0,14.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,12,0
12,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.0,15.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,13,0
13,5.0,5.0,6.0,6.0,178.0,2.0,0.0,1.0,0.0,12.0,15.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,14,0
14,5.0,5.0,6.0,6.0,177.0,2.0,0.0,1.0,0.0,12.0,13.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,1,15,0
15,16.0,11.0,23.0,14.0,180.0,7.0,0.0,1.0,0.0,15.53,21.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,1,0
16,25.0,15.0,37.0,20.0,190.0,12.0,0.0,1.0,0.0,16.0,29.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,2,0
17,34.0,19.0,51.0,26.0,206.0,17.0,0.0,1.0,0.0,16.48,38.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,3,0
18,43.0,23.0,65.0,32.0,216.0,22.0,0.0,1.0,0.0,16.96,42.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,4,0
19,52.0,27.0,79.0,38.0,228.0,27.0,0.0,1.0,0.0,17.92,56.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,5,0
20,61.0,31.0,93.0,44.0,243.0,32.0,0.0,1.0,0.0,18.48,59.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,6,0
21,70.0,35.0,107.0,50.0,245.0,37.0,0.0,1.0,0.0,18.96,69.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,7,0
22,79.0,39.0,121.0,56.0,251.0,42.0,0.0,1.0,0.0,20.48,58.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,8,0
23,88.0,43.0,135.0,62.0,269.0,47.0,0.0,1.0,0.0,21.44,84.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,9,0
24,97.0,47.0,149.0,68.0,276.0,52.0,0.0,1.0,0.0,22.96,81.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,10,0
25,106.0,51.0,163.0,74.0,276.0,57.0,0.0,1.0,0.0,24.48,82.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,11,0
26,115.0,55.0,177.0,80.0,301.0,62.0,0.0,1.0,0.0,26.48,97.0,False,new,experiments/results/BW_2_2/boolean/0.onnx,BW,2,12,0
