,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,5,5,6,6,173,2,0,1,0,16.69,13.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,1,0.03468208092485549
1,7,5,9,6,247,3,0,1,0,18.21,25.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,2,0.03643724696356275
2,7,5,9,6,174,3,0,1,0,18.21,17.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,3,0.05172413793103448
3,7,5,9,6,177,3,0,1,0,18.72,13.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,4,0.05084745762711865
4,7,5,9,6,208,3,0,1,0,18.72,14.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,5,0.04326923076923077
5,7,5,9,6,188,3,0,1,0,18.72,15.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,6,0.047872340425531915
6,7,5,9,6,173,3,0,1,0,18.21,15.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,7,0.05202312138728324
7,7,5,9,6,177,3,0,1,0,18.21,15.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,8,0.05084745762711865
8,7,5,9,6,177,3,0,1,0,19.2,15.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,9,0.05084745762711865
9,7,5,9,6,183,3,0,1,0,19.2,16.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,10,0.04918032786885246
10,7,5,9,6,184,3,0,1,0,18.72,18.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,11,0.04891304347826087
11,7,5,9,6,233,3,0,1,0,19.2,16.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,12,0.03862660944206009
12,7,5,9,6,180,3,0,1,0,19.2,18.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,13,0.05
13,7,5,9,6,178,3,0,1,0,19.2,14.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,14,0.05056179775280899
14,7,5,9,6,181,3,0,1,0,19.2,15.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,1,15,0.049723756906077346
15,11,11,14,14,192,4,0,1,0,20.18,23.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,1,0.07291666666666667
16,15,15,20,20,186,6,0,1,0,20.18,26.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,2,0.10752688172043011
17,19,19,26,26,217,8,0,1,0,20.18,55.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,3,0.11981566820276497
18,23,23,32,32,202,10,0,1,0,20.66,34.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,4,0.15841584158415842
19,27,27,38,38,200,12,0,1,0,20.66,31.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,5,0.19
20,31,31,44,44,255,14,0,1,0,21.14,58.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,6,0.17254901960784313
21,35,35,50,50,239,16,0,1,0,21.17,45.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,7,0.20920502092050208
22,39,39,56,56,223,18,0,1,0,21.62,43.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,8,0.25112107623318386
23,43,43,62,62,229,20,0,1,0,21.62,52.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,9,0.27074235807860264
24,47,47,68,68,229,22,0,1,0,22.18,52.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,10,0.29694323144104806
25,51,51,74,74,226,24,0,1,0,22.66,56.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,11,0.3274336283185841
26,55,55,80,80,242,26,0,1,0,23.14,68.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,12,0.3305785123966942
27,59,59,86,86,265,28,0,1,0,23.62,63.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,13,0.32452830188679244
28,63,63,92,92,270,30,0,1,0,24.18,62.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,14,0.34074074074074073
29,67,67,98,98,290,32,0,1,0,24.18,66.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,2,15,0.33793103448275863
30,23,23,30,30,191,8,0,1,0,20.18,29.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,1,0.15706806282722513
31,35,33,49,45,232,12,0,1,0,21.14,64.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,2,0.21120689655172414
32,45,43,64,60,251,14,0,1,0,21.65,74.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,3,0.2549800796812749
33,55,53,79,75,236,16,0,1,0,22.18,65.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,4,0.3347457627118644
34,65,63,94,90,266,18,0,1,0,23.14,88.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,5,0.3533834586466165
35,75,73,109,105,265,20,0,1,0,23.62,83.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,6,0.41132075471698115
36,85,83,124,120,331,22,0,1,0,24.66,113.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,7,0.37462235649546827
37,95,93,139,135,335,24,0,1,0,26.18,126.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,8,0.41492537313432837
38,105,103,154,150,299,26,0,1,0,27.14,109.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,9,0.5150501672240803
39,115,113,169,165,338,28,0,1,0,28.66,124.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,10,0.5
40,125,123,184,180,358,30,0,1,0,12.25,138.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,11,0.5139664804469274
41,135,133,199,195,390,32,0,1,0,17.3,156.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,12,0.5102564102564102
42,145,143,214,210,401,34,0,1,0,20.32,166.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,13,0.5336658354114713
43,155,153,229,225,346,36,0,1,0,22.36,138.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,14,0.661849710982659
44,165,163,244,240,417,38,0,1,0,25.4,160.0,false,False,new,experiments/results/BW_2_2/boolean_3/62.onnx,BW,3,15,0.5851318944844125
