,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,12.48,13.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,13.02,13.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,168.0,2.0,0.0,1.0,0.0,13.5,13.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,13.5,13.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,176.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.54,15.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,13.05,13.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,179.0,2.0,0.0,1.0,0.0,13.05,16.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,13.05,15.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,168.0,2.0,0.0,1.0,0.0,12.54,13.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,12.54,14.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,12.54,16.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.54,16.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,12.51,14.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,1,15
15,11.0,11.0,14.0,14.0,176.0,4.0,0.0,1.0,0.0,14.51,20.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,1
16,15.0,15.0,20.0,20.0,182.0,5.0,0.0,1.0,0.0,15.53,21.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,2
17,19.0,19.0,26.0,26.0,186.0,7.0,0.0,1.0,0.0,16.0,25.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,3
18,23.0,23.0,32.0,32.0,191.0,9.0,0.0,1.0,0.0,16.0,28.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,4
19,27.0,27.0,38.0,38.0,193.0,11.0,0.0,1.0,0.0,16.48,32.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,5
20,31.0,31.0,44.0,44.0,209.0,13.0,0.0,1.0,0.0,15.98,36.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,6
21,35.0,35.0,50.0,50.0,203.0,15.0,0.0,1.0,0.0,16.48,41.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,7
22,39.0,39.0,56.0,56.0,214.0,17.0,0.0,1.0,0.0,16.48,43.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,8
23,43.0,43.0,62.0,62.0,212.0,19.0,0.0,1.0,0.0,16.96,40.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,9
24,47.0,47.0,68.0,68.0,211.0,21.0,0.0,1.0,0.0,17.44,41.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,10
25,51.0,51.0,74.0,74.0,218.0,23.0,0.0,1.0,0.0,17.92,46.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,11
26,55.0,55.0,80.0,80.0,241.0,25.0,0.0,1.0,0.0,18.48,57.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,12
27,59.0,59.0,86.0,86.0,229.0,27.0,0.0,1.0,0.0,18.96,43.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,13
28,63.0,63.0,92.0,92.0,238.0,29.0,0.0,1.0,0.0,19.92,51.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,14
29,67.0,67.0,98.0,98.0,236.0,31.0,0.0,1.0,0.0,19.92,57.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,2,15
30,23.0,23.0,30.0,30.0,195.0,8.0,0.0,1.0,0.0,16.0,33.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,1
31,31.0,31.0,42.0,42.0,204.0,9.0,0.0,1.0,0.0,16.48,41.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,2
32,43.0,43.0,60.0,60.0,220.0,13.0,0.0,1.0,0.0,16.96,50.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,3
33,53.0,53.0,75.0,75.0,230.0,16.0,0.0,1.0,0.0,17.92,56.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,4
34,63.0,63.0,90.0,90.0,247.0,19.0,0.0,1.0,0.0,18.48,73.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,5
35,73.0,73.0,105.0,105.0,251.0,22.0,0.0,1.0,0.0,19.44,71.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,6
36,83.0,83.0,120.0,120.0,291.0,25.0,0.0,1.0,0.0,20.96,102.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,7
37,93.0,93.0,135.0,135.0,277.0,28.0,0.0,1.0,0.0,21.92,81.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,8
38,103.0,103.0,150.0,150.0,287.0,31.0,0.0,1.0,0.0,23.44,86.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,9
39,113.0,113.0,165.0,165.0,305.0,34.0,0.0,1.0,0.0,24.96,104.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,10
40,123.0,123.0,180.0,180.0,324.0,37.0,0.0,1.0,0.0,26.48,116.0,False,new,experiments/results/BW_2_2/boolean_4/85.onnx,BW,3,11
