,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.0,14.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,1,0.03488372093023256
1,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.0,14.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,2,0.03488372093023256
2,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,12.0,14.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,3,0.034482758620689655
3,5.0,5.0,6.0,6.0,168.0,2.0,0.0,1.0,0.0,12.03,14.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,4,0.03571428571428571
4,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.03,15.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,5,0.03488372093023256
5,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.03,15.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,6,0.03488372093023256
6,5.0,5.0,6.0,6.0,177.0,2.0,0.0,1.0,0.0,12.0,14.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,7,0.03389830508474576
7,5.0,5.0,6.0,6.0,175.0,2.0,0.0,1.0,0.0,12.0,15.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,8,0.03428571428571429
8,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,12.0,15.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,9,0.03468208092485549
9,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,12.0,12.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,10,0.03529411764705882
10,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,12.0,11.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,11,0.03488372093023256
11,5.0,5.0,6.0,6.0,175.0,2.0,0.0,1.0,0.0,12.0,14.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,12,0.03428571428571429
12,5.0,5.0,6.0,6.0,169.0,2.0,0.0,1.0,0.0,12.0,13.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,13,0.03550295857988166
13,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,12.0,13.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,14,0.03468208092485549
14,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,12.0,14.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,1,15,0.034482758620689655
15,11.0,11.0,14.0,14.0,175.0,4.0,0.0,1.0,0.0,15.02,15.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,1,0.08
16,15.0,15.0,20.0,20.0,188.0,6.0,0.0,1.0,0.0,16.0,24.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,2,0.10638297872340426
17,19.0,19.0,26.0,26.0,188.0,8.0,0.0,1.0,0.0,16.0,25.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,3,0.13829787234042554
18,23.0,23.0,32.0,32.0,194.0,10.0,0.0,1.0,0.0,15.5,28.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,4,0.16494845360824742
19,27.0,27.0,38.0,38.0,192.0,12.0,0.0,1.0,0.0,15.98,31.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,5,0.19791666666666666
20,31.0,31.0,44.0,44.0,200.0,14.0,0.0,1.0,0.0,15.98,33.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,6,0.22
21,35.0,35.0,50.0,50.0,208.0,16.0,0.0,1.0,0.0,16.48,43.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,7,0.2403846153846154
22,39.0,39.0,56.0,56.0,217.0,18.0,0.0,1.0,0.0,16.48,53.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,8,0.25806451612903225
23,43.0,43.0,62.0,62.0,222.0,20.0,0.0,1.0,0.0,16.96,54.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,9,0.27927927927927926
24,47.0,47.0,68.0,68.0,227.0,22.0,0.0,1.0,0.0,17.92,44.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,10,0.29955947136563876
25,51.0,51.0,74.0,74.0,221.0,24.0,0.0,1.0,0.0,17.92,52.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,11,0.334841628959276
26,55.0,55.0,80.0,80.0,244.0,26.0,0.0,1.0,0.0,18.48,61.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,12,0.32786885245901637
27,59.0,59.0,86.0,86.0,239.0,28.0,0.0,1.0,0.0,18.48,64.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,13,0.3598326359832636
28,63.0,63.0,92.0,92.0,236.0,30.0,0.0,1.0,0.0,19.44,59.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,14,0.3898305084745763
29,67.0,67.0,98.0,98.0,238.0,32.0,0.0,1.0,0.0,19.92,60.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,2,15,0.4117647058823529
30,23.0,23.0,30.0,30.0,192.0,8.0,0.0,1.0,0.0,15.5,30.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,3,1,0.15625
31,31.0,31.0,42.0,42.0,207.0,12.0,0.0,1.0,0.0,15.98,42.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,3,2,0.2028985507246377
32,39.0,39.0,54.0,54.0,232.0,16.0,0.0,1.0,0.0,16.48,56.0,false,False,new,experiments/results/BW_2_2/boolean_5/95.onnx,BW,3,3,0.23275862068965517
