,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,169.0,2.0,0.0,1.0,0.0,12.48,13.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,13.5,14.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,13.5,13.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,175.0,2.0,0.0,1.0,0.0,13.5,15.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,168.0,2.0,0.0,1.0,0.0,13.02,12.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,12.54,13.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,13.05,13.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,169.0,2.0,0.0,1.0,0.0,13.05,13.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,174.0,2.0,0.0,1.0,0.0,13.53,14.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,170.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,171.0,2.0,0.0,1.0,0.0,12.54,13.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,173.0,2.0,0.0,1.0,0.0,13.02,13.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,172.0,2.0,0.0,1.0,0.0,13.02,14.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,1,15
15,11.0,11.0,14.0,14.0,177.0,4.0,0.0,1.0,0.0,14.51,19.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,1
16,17.0,15.0,23.0,20.0,204.0,5.0,0.0,1.0,0.0,15.53,37.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,2
17,21.0,19.0,29.0,26.0,193.0,5.0,0.0,1.0,0.0,16.0,29.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,3
18,25.0,23.0,35.0,32.0,187.0,5.0,0.0,1.0,0.0,16.0,27.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,4
19,29.0,27.0,41.0,38.0,197.0,5.0,0.0,1.0,0.0,16.0,31.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,5
20,33.0,31.0,47.0,44.0,213.0,5.0,0.0,1.0,0.0,15.95,50.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,6
21,37.0,35.0,53.0,50.0,212.0,5.0,0.0,1.0,0.0,15.98,50.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,7
22,41.0,39.0,59.0,56.0,205.0,5.0,0.0,1.0,0.0,15.98,37.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,8
23,45.0,43.0,65.0,62.0,205.0,5.0,0.0,1.0,0.0,16.48,41.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,9
24,49.0,47.0,71.0,68.0,214.0,5.0,0.0,1.0,0.0,16.48,46.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,10
25,53.0,51.0,77.0,74.0,212.0,5.0,0.0,1.0,0.0,16.48,48.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,11
26,57.0,55.0,83.0,80.0,210.0,5.0,0.0,1.0,0.0,16.96,46.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,12
27,61.0,59.0,89.0,86.0,215.0,5.0,0.0,1.0,0.0,16.96,50.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,13
28,65.0,63.0,95.0,92.0,221.0,5.0,0.0,1.0,0.0,17.92,54.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,14
29,69.0,67.0,101.0,98.0,232.0,5.0,0.0,1.0,0.0,17.44,67.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,2,15
30,23.0,23.0,30.0,30.0,186.0,8.0,0.0,1.0,0.0,16.0,23.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,1
31,35.0,33.0,48.0,45.0,203.0,9.0,0.0,1.0,0.0,16.48,44.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,2
32,45.0,43.0,63.0,60.0,220.0,9.0,0.0,1.0,0.0,16.96,54.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,3
33,55.0,53.0,78.0,75.0,239.0,9.0,0.0,1.0,0.0,17.44,61.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,4
34,65.0,63.0,93.0,90.0,245.0,9.0,0.0,1.0,0.0,17.92,77.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,5
35,75.0,73.0,108.0,105.0,252.0,9.0,0.0,1.0,0.0,18.48,75.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,6
36,85.0,83.0,123.0,120.0,254.0,9.0,0.0,1.0,0.0,18.96,81.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,7
37,95.0,93.0,138.0,135.0,282.0,9.0,0.0,1.0,0.0,19.44,97.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,8
38,105.0,103.0,153.0,150.0,286.0,9.0,0.0,1.0,0.0,19.92,98.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,9
39,115.0,113.0,168.0,165.0,283.0,9.0,0.0,1.0,0.0,20.48,105.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,10
40,125.0,123.0,183.0,180.0,278.0,9.0,0.0,1.0,0.0,20.96,102.0,False,new,experiments/results/BW_2_2/eta5e-6/54.onnx,BW,3,11
