,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,158.0,2.0,0.0,1.0,0.0,15.7,8.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,140.0,2.0,0.0,1.0,0.0,16.24,8.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,142.0,2.0,0.0,1.0,0.0,16.24,9.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,140.0,2.0,0.0,1.0,0.0,16.24,8.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,149.0,2.0,0.0,1.0,0.0,16.24,10.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,140.0,2.0,0.0,1.0,0.0,16.24,8.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,140.0,2.0,0.0,1.0,0.0,16.24,8.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,142.0,2.0,0.0,1.0,0.0,16.24,9.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,159.0,2.0,0.0,1.0,0.0,16.24,9.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,142.0,2.0,0.0,1.0,0.0,16.24,10.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,142.0,2.0,0.0,1.0,0.0,16.72,9.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,162.0,2.0,0.0,1.0,0.0,16.72,9.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,143.0,2.0,0.0,1.0,0.0,16.72,9.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,143.0,2.0,0.0,1.0,0.0,16.72,10.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,149.0,2.0,0.0,1.0,0.0,17.7,7.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,1,15
15,16.0,11.0,23.0,14.0,171.0,7.0,0.0,1.0,0.0,18.69,12.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,1
16,21.0,15.0,30.0,20.0,175.0,8.0,0.0,1.0,0.0,19.2,18.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,2
17,28.0,19.0,42.0,26.0,170.0,12.0,0.0,1.0,0.0,20.18,31.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,3
18,32.0,31.0,48.0,44.0,189.0,14.0,0.0,1.0,0.0,19.65,30.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,4
19,35.0,27.0,52.0,38.0,172.0,15.0,0.0,1.0,0.0,20.18,33.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,5
20,39.0,39.0,58.0,56.0,175.0,17.0,0.0,1.0,0.0,20.66,34.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,6
21,43.0,35.0,64.0,50.0,177.0,19.0,0.0,1.0,0.0,20.66,29.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,7
22,47.0,39.0,70.0,56.0,211.0,21.0,0.0,1.0,0.0,21.14,34.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,8
23,51.0,51.0,76.0,74.0,227.0,23.0,0.0,1.0,0.0,21.62,64.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,9
24,57.0,57.0,85.0,83.0,207.0,27.0,0.0,1.0,0.0,22.18,53.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,10
25,59.0,59.0,88.0,86.0,207.0,27.0,0.0,1.0,0.0,22.66,43.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,11
26,63.0,55.0,94.0,80.0,200.0,29.0,0.0,1.0,0.0,23.14,48.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,12
27,67.0,59.0,100.0,86.0,248.0,31.0,0.0,1.0,0.0,23.7,71.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,13
28,71.0,63.0,106.0,92.0,233.0,33.0,0.0,1.0,0.0,24.66,42.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,14
29,75.0,67.0,112.0,98.0,205.0,35.0,0.0,1.0,0.0,25.14,49.0,True,new,experiments/results/BW_2_2/focused_2/6.onnx,BW,2,15
