,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,5,5,6,6,171,2,0,1,0,12.48,15.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,1,0.03508771929824561
1,5,5,6,6,170,2,0,1,0,13.02,14.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,2,0.03529411764705882
2,5,5,6,6,173,2,0,1,0,13.5,16.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,3,0.03468208092485549
3,5,5,6,6,174,2,0,1,0,12.54,15.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,4,0.034482758620689655
4,5,5,6,6,172,2,0,1,0,12.54,14.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,5,0.03488372093023256
5,5,5,6,6,176,2,0,1,0,12.54,14.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,6,0.03409090909090909
6,5,5,6,6,174,2,0,1,0,13.05,15.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,7,0.034482758620689655
7,5,5,6,6,171,2,0,1,0,13.05,11.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,8,0.03508771929824561
8,5,5,6,6,174,2,0,1,0,13.05,15.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,9,0.034482758620689655
9,5,5,6,6,171,2,0,1,0,13.02,15.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,10,0.03508771929824561
10,5,5,6,6,181,2,0,1,0,13.02,18.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,11,0.03314917127071823
11,5,5,6,6,173,2,0,1,0,12.54,14.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,12,0.03468208092485549
12,5,5,6,6,173,2,0,1,0,13.02,15.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,13,0.03468208092485549
13,5,5,6,6,173,2,0,1,0,12.54,14.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,14,0.03468208092485549
14,5,5,6,6,179,2,0,1,0,13.02,12.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,1,15,0.0335195530726257
15,11,11,14,14,176,4,0,1,0,14.51,19.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,2,1,0.07954545454545454
16,15,15,20,20,186,6,0,1,0,15.53,21.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,2,2,0.10752688172043011
17,19,19,26,26,195,8,0,1,0,16.0,27.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,2,3,0.13333333333333333
18,23,23,32,32,196,10,0,1,0,16.0,28.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,2,4,0.16326530612244897
19,27,27,38,38,200,12,0,1,0,15.98,31.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,2,5,0.19
20,31,31,44,44,207,14,0,1,0,15.98,41.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,2,6,0.21256038647342995
21,35,35,50,50,209,16,0,1,0,16.48,42.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,2,7,0.23923444976076555
22,39,39,56,56,207,18,0,1,0,16.96,38.0,false,False,new,experiments/results/BW_2_2/labelsThatReach/74.onnx,BW,2,8,0.27053140096618356
