,ra type,1 / ra distance,in open,refuse,accept,assign,approve,reject,action controllable,1 / depth,state portion explored,state portion controllable,state marked,child marked,child goal,child error,child none,child deadlock,child portion controllable,child portion explored,q
0,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-26.891304
1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.6666666,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.695383
2,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33333334,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.400106
3,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.831312
4,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.831312
5,1.0,0.33333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-26.04162
6,1.0,0.33333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-26.04162
7,1.0,0.33333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,-25.73257
8,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.421661
9,1.0,0.33333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,-24.128168
10,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-24.965246
11,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33333334,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333,0.6666666,-24.21205
12,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333334,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.845087
13,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.6666666,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.639318
14,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-24.965246
15,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.240597
16,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.59433
17,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33333334,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.904257
18,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.359932
19,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333,0.3333333,-25.067808
20,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,-25.192629
21,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.945637
22,1.0,0.33333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,-23.996164
23,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-25.173994
24,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33333334,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.904257
25,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.684862
26,1.0,0.33333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.614145
27,1.0,0.33333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-24.283224
28,1.0,0.33333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666667,0.6666666,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.858826
29,1.0,0.33333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,-24.128168
30,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-24.965246
31,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-23.57267
32,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333334,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.845087
33,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.6666666,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.639318
34,0.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666667,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333,1.0,-23.095367
35,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.421661
36,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333,0.3333333,-25.668715
37,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33333334,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.904257
38,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666667,0.6666666,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.615705
39,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333,0.6666666,-23.810232
40,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-23.738823
41,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.945637
42,1.0,0.33333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,-23.996164
43,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-25.173994
44,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33333334,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.904257
45,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.276857
46,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.333828
47,1.0,0.33333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-24.283224
48,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.11111111,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-20.563158
49,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.793999
50,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-24.965246
51,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-23.57267
52,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.11111111,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-20.563158
53,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.6666666,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-23.056602
54,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,-25.839792
55,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,-25.41279
56,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333,0.3333333,-25.40989
57,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33333334,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.400106
58,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666667,0.6666666,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,-23.35787
59,1.0,0.33333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333,0.6666666,-23.810232
60,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-23.738823
61,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,-25.945637
62,1.0,0.33333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.3333333,0.3333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-23.59594
