,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,37,32,77,64,206,27,0,3,0,20.18,33.0,new,experiments/results/BW_2_2/labels_2h_40/0.onnx,BW,2,2,2.4510176181793213,0,1e-05,40,0.1,20,True,10000,True,10000,True,True,0
1,37,18,77,29,171,19,0,1,0,21.14,38.0,new,experiments/results/BW_2_2/labels_2h_40/1.onnx,BW,2,2,85.52177143096924,50000,1e-05,40,0.1,20,True,10000,True,10000,True,True,1
2,37,15,74,20,189,22,0,1,0,21.14,42.0,new,experiments/results/BW_2_2/labels_2h_40/2.onnx,BW,2,2,170.758620262146,100000,1e-05,40,0.1,20,True,10000,True,10000,True,True,2
3,36,21,69,34,213,25,0,1,0,20.18,48.0,new,experiments/results/BW_2_2/labels_2h_40/3.onnx,BW,2,2,257.16511607170105,150000,1e-05,40,0.1,20,True,10000,True,10000,True,True,3
4,19,15,24,20,174,3,0,1,0,17.15,20.0,new,experiments/results/BW_2_2/labels_2h_40/4.onnx,BW,2,2,342.137654542923,200000,1e-05,40,0.1,20,True,10000,True,10000,True,True,4
5,20,15,28,20,167,4,0,1,0,17.15,19.0,new,experiments/results/BW_2_2/labels_2h_40/5.onnx,BW,2,2,428.169490814209,250000,1e-05,40,0.1,20,True,10000,True,10000,True,True,5
6,17,15,22,20,141,6,0,1,0,17.15,18.0,new,experiments/results/BW_2_2/labels_2h_40/6.onnx,BW,2,2,513.333074092865,300000,1e-05,40,0.1,20,True,10000,True,10000,True,True,6
7,17,15,22,20,140,6,0,1,0,17.15,15.0,new,experiments/results/BW_2_2/labels_2h_40/7.onnx,BW,2,2,600.1152865886688,350000,1e-05,40,0.1,20,True,10000,True,10000,True,True,7
8,28,15,45,20,194,17,0,1,0,18.18,28.0,new,experiments/results/BW_2_2/labels_2h_40/8.onnx,BW,2,2,687.7471017837524,400000,1e-05,40,0.1,20,True,10000,True,10000,True,True,8
9,15,15,20,20,166,5,0,1,0,16.67,15.0,new,experiments/results/BW_2_2/labels_2h_40/9.onnx,BW,2,2,773.4265100955963,450000,1e-05,40,0.1,20,True,10000,True,10000,True,True,9
10,34,30,74,60,199,35,0,1,0,19.62,33.0,new,experiments/results/BW_2_2/labels_2h_40/10.onnx,BW,2,2,858.5133271217346,500000,1e-05,40,0.1,20,True,10000,True,10000,True,True,10
11,25,15,31,20,163,6,0,1,0,17.63,33.0,new,experiments/results/BW_2_2/labels_2h_40/11.onnx,BW,2,2,944.1209909915924,550000,1e-05,40,0.1,20,True,10000,True,10000,True,True,11
12,27,15,35,20,196,7,0,1,0,17.7,31.0,new,experiments/results/BW_2_2/labels_2h_40/12.onnx,BW,2,2,1029.9763317108154,600000,1e-05,40,0.1,20,True,10000,True,10000,True,True,12
13,30,19,56,30,189,20,0,1,0,18.66,34.0,new,experiments/results/BW_2_2/labels_2h_40/13.onnx,BW,2,2,1115.4894905090332,650000,1e-05,40,0.1,20,True,10000,True,10000,True,True,13
