,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,5.0,5.0,6.0,6.0,167.0,2.0,0.0,1.0,0.0,12.48,12.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,1,0
1,7.0,5.0,9.0,6.0,173.0,3.0,0.0,1.0,0.0,13.5,14.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,2,0
2,9.0,5.0,12.0,6.0,174.0,4.0,0.0,1.0,0.0,14.0,16.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,3,0
3,11.0,5.0,15.0,6.0,180.0,5.0,0.0,1.0,0.0,14.51,18.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,4,0
4,13.0,5.0,18.0,6.0,183.0,6.0,0.0,1.0,0.0,14.51,22.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,5,0
5,15.0,5.0,21.0,6.0,178.0,7.0,0.0,1.0,0.0,15.02,21.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,6,0
6,17.0,5.0,24.0,6.0,181.0,8.0,0.0,1.0,0.0,15.02,21.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,7,0
7,19.0,5.0,27.0,6.0,185.0,9.0,0.0,1.0,0.0,15.02,23.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,8,0
8,21.0,5.0,30.0,6.0,184.0,10.0,0.0,1.0,0.0,15.98,24.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,9,0
9,23.0,5.0,33.0,6.0,185.0,11.0,0.0,1.0,0.0,15.5,26.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,10,0
10,25.0,5.0,36.0,6.0,190.0,12.0,0.0,1.0,0.0,15.5,29.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,11,0
11,27.0,5.0,39.0,6.0,196.0,13.0,0.0,1.0,0.0,15.5,25.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,12,0
12,29.0,5.0,42.0,6.0,195.0,14.0,0.0,1.0,0.0,15.5,33.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,13,0
13,31.0,5.0,45.0,6.0,199.0,15.0,0.0,1.0,0.0,15.98,37.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,14,0
14,33.0,5.0,48.0,6.0,210.0,16.0,0.0,1.0,0.0,15.98,36.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,1,15,0
15,16.0,14.0,28.0,23.0,186.0,12.0,0.0,1.0,0.0,16.0,25.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,1,0
16,35.0,23.0,72.0,40.0,217.0,36.0,0.0,1.0,0.0,16.96,48.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,2,0
17,64.0,19.0,150.0,26.0,263.0,79.0,0.0,1.0,0.0,20.96,75.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,3,0
18,97.0,23.0,232.0,32.0,309.0,128.0,0.0,1.0,0.0,26.96,101.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,4,0
19,144.0,27.0,370.0,38.0,383.0,217.0,0.0,1.0,0.0,29.61,137.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,5,0
20,195.0,31.0,514.0,44.0,480.0,304.0,0.0,1.0,0.0,51.71,197.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,6,0
21,252.0,35.0,667.0,50.0,563.0,395.0,0.0,1.0,0.0,82.69,236.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,7,0
22,319.0,39.0,860.0,56.0,729.0,517.0,0.0,1.0,0.0,133.79,299.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,8,0
23,388.0,43.0,1039.0,62.0,811.0,620.0,0.0,1.0,0.0,54.65,285.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,9,0
24,471.0,47.0,1295.0,68.0,1002.0,793.0,0.0,1.0,0.0,14.09,365.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,10,0
25,556.0,51.0,1521.0,74.0,1112.0,934.0,0.0,1.0,0.0,121.23,416.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,11,0
26,665.0,55.0,1892.0,80.0,1439.0,1189.0,0.0,1.0,0.0,33.92,490.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,12,0
27,765.0,59.0,2164.0,86.0,1660.0,1348.0,0.0,1.0,0.0,83.31,560.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,13,0
28,863.0,63.0,2396.0,92.0,1842.0,1485.0,0.0,1.0,0.0,112.15,566.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,14,0
29,1003.0,67.0,2892.0,98.0,2479.0,1841.0,0.0,1.0,0.0,112.69,623.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,2,15,0
30,53.0,29.0,111.0,48.0,250.0,56.0,0.0,1.0,0.0,18.96,73.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,3,1,0
31,164.0,33.0,381.0,49.0,385.0,198.0,0.0,1.0,0.0,27.62,144.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,3,2,0
32,452.0,154.0,1406.0,379.0,1112.0,890.0,0.0,1.0,0.0,71.0,415.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,3,3,0
33,788.0,83.0,2244.0,156.0,1947.0,1310.0,0.0,1.0,0.0,50.62,736.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,3,4,0
34,1233.0,69.0,3255.0,116.0,3237.0,1831.0,0.0,1.0,0.0,86.13,1133.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,3,5,0
35,,,,,,,,,,,,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,3,6,0
36,216.0,59.0,620.0,98.0,543.0,381.0,0.0,1.0,0.0,71.64,199.0,False,new,experiments/results/BW_2_2/no_TB/0.onnx,BW,4,1,0
