,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,170.0,1.0,0.0,1.0,0.0,12.48,13.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,172.0,1.0,0.0,1.0,0.0,13.5,14.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,170.0,1.0,0.0,1.0,0.0,13.5,12.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,167.0,1.0,0.0,1.0,0.0,13.5,14.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,170.0,1.0,0.0,1.0,0.0,12.54,14.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,171.0,1.0,0.0,1.0,0.0,12.54,14.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,168.0,1.0,0.0,1.0,0.0,12.54,13.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,174.0,1.0,0.0,1.0,0.0,13.05,15.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,170.0,1.0,0.0,1.0,0.0,13.05,13.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,173.0,1.0,0.0,1.0,0.0,13.05,14.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,175.0,1.0,0.0,1.0,0.0,12.54,16.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,172.0,1.0,0.0,1.0,0.0,12.54,15.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,172.0,1.0,0.0,1.0,0.0,12.54,14.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,174.0,1.0,0.0,1.0,0.0,12.54,16.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,174.0,1.0,0.0,1.0,0.0,12.51,13.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,1,15
15,16.0,11.0,21.0,14.0,181.0,3.0,0.0,1.0,0.0,15.53,22.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,1
16,22.0,15.0,29.0,20.0,185.0,6.0,0.0,2.0,0.0,16.0,26.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,2
17,26.0,19.0,35.0,26.0,198.0,8.0,0.0,2.0,0.0,16.0,31.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,3
18,30.0,23.0,41.0,32.0,199.0,10.0,0.0,2.0,0.0,16.0,38.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,4
19,34.0,27.0,47.0,38.0,220.0,12.0,0.0,2.0,0.0,16.48,45.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,5
20,38.0,31.0,53.0,44.0,215.0,14.0,0.0,2.0,0.0,15.98,47.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,6
21,42.0,35.0,59.0,50.0,213.0,16.0,0.0,2.0,0.0,16.48,41.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,7
22,46.0,39.0,65.0,56.0,216.0,18.0,0.0,2.0,0.0,16.96,47.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,8
23,50.0,43.0,71.0,62.0,234.0,20.0,0.0,2.0,0.0,16.96,68.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,9
24,54.0,47.0,77.0,68.0,231.0,22.0,0.0,2.0,0.0,17.44,60.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,10
25,58.0,51.0,83.0,74.0,242.0,24.0,0.0,2.0,0.0,18.48,65.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,11
26,62.0,55.0,89.0,80.0,235.0,26.0,0.0,2.0,0.0,18.48,58.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,12
27,66.0,59.0,95.0,86.0,237.0,28.0,0.0,2.0,0.0,19.44,58.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,13
28,70.0,63.0,101.0,92.0,243.0,30.0,0.0,2.0,0.0,19.92,68.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,14
29,74.0,67.0,107.0,98.0,248.0,32.0,0.0,2.0,0.0,20.48,67.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,2,15
30,36.0,32.0,49.0,44.0,208.0,8.0,0.0,1.0,0.0,16.0,41.0,False,new,experiments/results/BW_2_2/nomomentum1kk/215.onnx,BW,3,1
